name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Derma Clinic,derma-clinic,,"Mahakant Complex, M-1, Madalpur Gam, Ellisbridge, Ahmedabad, Gujarat 380006, India",Ahmedabad,Gujarat,India,380006,23.0200398,72.5694714,+917926575696,,http://www.derma-wellness.com/,"Skin care clinic, Laser hair removal service, Dermatologist","{""Monday"": ""4 to 7\u202fPM"", ""Tuesday"": ""4 to 7\u202fPM"", ""Wednesday"": ""4 to 7\u202fPM"", ""Thursday"": ""4 to 7\u202fPM"", ""Friday"": ""4 to 7\u202fPM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",5,40,ChIJcYwDNcGFXjkRAWxgDD6dyGU,https://www.google.com/maps/search/?api=1&query=Derma%20Clinic&query_place_id=ChIJcYwDNcGFXjkRAWxgDD6dyGU,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BvSaEjmL3U8bca4e3MZr8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=342.81168&pitch=0&thumbfov=100,,ahd.dermaclinic.1@antidote-temp.com,false,pending,unclaimed
Aastha Skin And Laser Clinic In Ahmedabad | Dr Gaurav Patel,aastha-skin-and-laser-clinic-in-ahmedabad-dr-gaurav-patel,,"F-7 ,shubh complex, near Rajasthan Hospitals, Ahmedabad, Shahibag, Ahmedabad, Gujarat 380004, India",Ahmedabad,Gujarat,India,380004,23.0540139,72.5957438,+919898183828,,http://www.aasthaskinclinic.in/,"Skin care clinic, Electrolysis hair removal service, Hair removal service, Laser hair removal service, Dermatologist, Tattoo removal service","{""Monday"": ""10:30\u202fAM to 6\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 6\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 6\u202fPM"", ""Thursday"": ""10:30\u202fAM to 6\u202fPM"", ""Friday"": ""10:30\u202fAM to 6\u202fPM"", ""Saturday"": ""10:30\u202fAM to 6\u202fPM"", ""Sunday"": ""Closed""}",4.9,635,ChIJk2CCjA2EXjkRvqMmjHhwe-o,https://www.google.com/maps/search/?api=1&query=Aastha%20Skin%20And%20Laser%20Clinic%20In%20Ahmedabad%20%7C%20Dr%20Gaurav%20Patel&query_place_id=ChIJk2CCjA2EXjkRvqMmjHhwe-o,https://lh3.googleusercontent.com/p/AF1QipPkQSVfOKK2j6AemwymWhmLe8orX8W-ytIfOjDj=w408-h292-k-no,Digital Payments,ahd.aasthaskinandlasercl.2@antidote-temp.com,false,pending,unclaimed
Aesthetica Skintreats,aesthetica-skintreats,,"Oppo. Kautilya appt., near Ladli shop, near Naranpura cross roads, Sanghavi Highschool Rd, Naranpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,Gujarat,India,380013,23.0526273,72.560896,+916352790421,,http://skintreats.in/,"Skin care clinic, Laser hair removal service, Dermatologist, Tattoo removal service, Venereologist","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.9,309,ChIJxVk4M4SEXjkRhLF5KK5dt84,https://www.google.com/maps/search/?api=1&query=Aesthetica%20Skintreats&query_place_id=ChIJxVk4M4SEXjkRhLF5KK5dt84,https://lh3.googleusercontent.com/p/AF1QipMlgEN9qrvuHuG3eri_ZC2vqXF55JQ6rMHkB67W=w408-h272-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ahd.aestheticaskintreats.3@antidote-temp.com,false,pending,unclaimed
AB Aesthetic and Dental Clinic in Ellisbridge Ahmedabad,ab-aesthetic-and-dental-clinic-in-ellisbridge-ahmedabad,,"Shop No 204, Mehta - 531, Paldi Rd, nr. V.S Hospital, opposite Mehta Restraunt, Ellisbridge, Ahmedabad, Gujarat 380006, India",Ahmedabad,Gujarat,India,380006,23.021313,72.5713714,+918128802509,,https://abaestheticanddentalclinic.com/,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dental implants provider, Dentist, Doctor, Medical clinic, Orthodontist, Periodontist, Teeth whitening service","{""Monday"": ""9\u202fAM to 9\u202fPM"", ""Tuesday"": ""9\u202fAM to 9\u202fPM"", ""Wednesday"": ""9\u202fAM to 9\u202fPM"", ""Thursday"": ""9\u202fAM to 9\u202fPM"", ""Friday"": ""9\u202fAM to 9\u202fPM"", ""Saturday"": ""9\u202fAM to 9\u202fPM"", ""Sunday"": ""4:30 to 7\u202fPM""}",5,254,ChIJ02FFZ_mFXjkRCEj_C3VItOE,https://www.google.com/maps/search/?api=1&query=AB%20Aesthetic%20and%20Dental%20Clinic%20in%20Ellisbridge%20Ahmedabad&query_place_id=ChIJ02FFZ_mFXjkRCEj_C3VItOE,https://lh3.googleusercontent.com/p/AF1QipOInhKnitSDHriX77l6VSEWWqv27K8xn537791y=w408-h272-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted, Appointment Required",ahd.abaestheticanddental.4@antidote-temp.com,false,pending,unclaimed
Positive Aesthetic clinic,positive-aesthetic-clinic,,"Bh, Shop No. 3, Girdhar Apartment Nr. Shrutikunj Society, Maninagar Railway Station Rd, Ahmedabad, Gujarat 380008, India",Ahmedabad,Gujarat,India,380008,22.9959842,72.6138653,,,,Skin care clinic,"{""Monday"": ""9\u202fAM to 8\u202fPM"", ""Tuesday"": ""9\u202fAM to 8\u202fPM"", ""Wednesday"": ""9\u202fAM to 8\u202fPM"", ""Thursday"": ""9\u202fAM to 8\u202fPM"", ""Friday"": ""9\u202fAM to 8\u202fPM"", ""Saturday"": ""9\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.7,52,ChIJD9qniOCFXjkRbbsnrFQxVsI,https://www.google.com/maps/search/?api=1&query=Positive%20Aesthetic%20clinic&query_place_id=ChIJD9qniOCFXjkRbbsnrFQxVsI,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3mE5_GaswsZ9t2ertTEYBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.60495&pitch=0&thumbfov=100,,ahd.positiveaestheticcli.5@antidote-temp.com,false,pending,unclaimed
"Vaama Skin & Aesthetic Clinic | Best Hair Transplant Clinic in Ahmedabad | Laser Hair Removal, Skin, Hair, Weight Loss Clinic",vaama-skin-aesthetic-clinic-best-hair-transplant-clinic-in-ahmedabad-laser-hair-removal-skin-hair-weight-loss-clinic,,"305,Ratna Artemus 2,Nr. Honest Restaurant, Road, opp. Domino's Pizza, Bhatta, Paldi, Ahmedabad, Gujarat 380007, India",Ahmedabad,Gujarat,India,380007,23.0065399,72.5566808,+919898632100,,http://www.vaamaclinic.com/,"Skin care clinic, Dermatologist, Hair removal service, Hair replacement service, Laser hair removal service, Hair transplantation clinic, Weight loss service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.9,573,ChIJ_____wKFXjkR1FaT7ivqZw0,https://www.google.com/maps/search/?api=1&query=Vaama%20Skin%20%26%20Aesthetic%20Clinic%20%7C%20Best%20Hair%20Transplant%20Clinic%20in%20Ahmedabad%20%7C%20Laser%20Hair%20Removal%2C%20Skin%2C%20Hair%2C%20Weight%20Loss%20Clinic&query_place_id=ChIJ_____wKFXjkR1FaT7ivqZw0,https://lh3.googleusercontent.com/p/AF1QipMWyA8zxVTurq0dyjh33oiaSAmZUIRySFfJpJYn=w426-h240-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ahd.vaamaskinaestheticcl.6@antidote-temp.com,false,pending,unclaimed
Skinfluent Clinic - Dr. Rutva Amlani - Dermatologist in Shahibaug : Skin | Hair | Laser,skinfluent-clinic-dr-rutva-amlani-dermatologist-in-shahibaug-skin-hair-laser,,"708, 7th Floor, A Park, Shanidev Temple, near Panchal Milan Trust, Jain Colony, Shahibag, Ahmedabad, Gujarat 380004, India",Ahmedabad,Gujarat,India,380004,23.051932,72.5922467,+918141149999,,https://skinfluentclinic.com/,"Skin care clinic, Dermatologist, Doctor, Hair removal service, Hair replacement service, Hair transplantation clinic, Hospital, Laser hair removal service, Medical clinic, Pediatric dermatologist","{""Monday"": ""9:30\u202fAM to 1:30\u202fPM, 3 to 8\u202fPM"", ""Tuesday"": ""9:30\u202fAM to 1:30\u202fPM, 3 to 8\u202fPM"", ""Wednesday"": ""9:30\u202fAM to 1:30\u202fPM, 3 to 8\u202fPM"", ""Thursday"": ""9:30\u202fAM to 1:30\u202fPM, 3 to 8\u202fPM"", ""Friday"": ""9:30\u202fAM to 1:30\u202fPM, 3 to 8\u202fPM"", ""Saturday"": ""9:30\u202fAM to 1:30\u202fPM, 3 to 8\u202fPM"", ""Sunday"": ""Closed""}",5,475,ChIJO5qRM3iFXjkRfnnnBo0B4KI,https://www.google.com/maps/search/?api=1&query=Skinfluent%20Clinic%20-%20Dr.%20Rutva%20Amlani%20-%20Dermatologist%20in%20Shahibaug%20%3A%20Skin%20%7C%20Hair%20%7C%20Laser&query_place_id=ChIJO5qRM3iFXjkRfnnnBo0B4KI,https://lh3.googleusercontent.com/p/AF1QipOYXHdBVFVG5j2mKAtljnNV4WLP8__NiwB7_rV6=w408-h725-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ahd.skinfluentclinicdrru.7@antidote-temp.com,false,pending,unclaimed
The Aesthetic Clinic Ahmedabad,the-aesthetic-clinic-ahmedabad,,"First floor, JAJU PLASTIC SURGERY CENTER, Sardar Patel Stadium Rd, behind Hindu Colony, nr. Somlalit School, Hindu Colony, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,Gujarat,India,380009,23.0418798,72.5591705,+917069088800,,,Laser hair removal service,"{""Monday"": ""8\u202fAM to 8\u202fPM"", ""Tuesday"": ""8\u202fAM to 8\u202fPM"", ""Wednesday"": ""8\u202fAM to 8\u202fPM"", ""Thursday"": ""8\u202fAM to 8\u202fPM"", ""Friday"": ""8\u202fAM to 8\u202fPM"", ""Saturday"": ""8\u202fAM to 8\u202fPM"", ""Sunday"": ""8\u202fAM to 8\u202fPM""}",,0,ChIJ0z1-aGSFXjkR4zptl8xIH1w,https://www.google.com/maps/search/?api=1&query=The%20Aesthetic%20Clinic%20Ahmedabad&query_place_id=ChIJ0z1-aGSFXjkR4zptl8xIH1w,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6Wi-vQOZlU2YWxP3FfuDtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.5948&pitch=0&thumbfov=100,Wheelchair Accessible,ahd.theaestheticclinicah.8@antidote-temp.com,false,pending,unclaimed
Swastik Skin Clinic,swastik-skin-clinic,,"103,first floor, Aman avenue, Mamta hostel, opposite Masty parantha, behind saint Xavier's ladies hostel, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",Ahmedabad,Gujarat,India,380009,23.0383825,72.5595784,,,https://swastikskinclinic.com/,Skin care clinic,"{""Monday"": ""3 to 8\u202fPM"", ""Tuesday"": ""3 to 8\u202fPM"", ""Wednesday"": ""3 to 8\u202fPM"", ""Thursday"": ""3 to 8\u202fPM"", ""Friday"": ""3 to 8\u202fPM"", ""Saturday"": ""3 to 8\u202fPM"", ""Sunday"": ""Closed""}",4.7,193,ChIJie65LZWFXjkRFBZvtzRIOSo,https://www.google.com/maps/search/?api=1&query=Swastik%20Skin%20Clinic&query_place_id=ChIJie65LZWFXjkRFBZvtzRIOSo,https://lh3.googleusercontent.com/p/AF1QipOmWQ_bTxaJjHDTQvgzeI2nGn_lidION17JbQXH=w408-h272-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",ahd.swastikskinclinic.9@antidote-temp.com,false,pending,unclaimed
Dr. Aishani's Aura Skin and Aesthetics Clinic - Best dermatologist - skin doctor - Laser hair removal treatment - in Shyamal,dr-aishanis-aura-skin-and-aesthetics-clinic-best-dermatologist-skin-doctor-laser-hair-removal-treatment-in-shyamal,,"12A, Sun Avenue One, Near, Shyamal Cross Rd, Manekbag Society, Ambawadi, Ahmedabad, Gujarat 380015, India",Ahmedabad,Gujarat,India,380015,23.016158,72.5382758,+919824511855,,http://draishani.com/,"Skin care clinic, Dermatologist, Laser hair removal service","{""Monday"": ""11\u202fAM to 7\u202fPM"", ""Tuesday"": ""11\u202fAM to 7\u202fPM"", ""Wednesday"": ""11\u202fAM to 7\u202fPM"", ""Thursday"": ""11\u202fAM to 7\u202fPM"", ""Friday"": ""11\u202fAM to 7\u202fPM"", ""Saturday"": ""11\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",5,126,ChIJn6QDfACFXjkR89dhY14fLU8,https://www.google.com/maps/search/?api=1&query=Dr.%20Aishani's%20Aura%20Skin%20and%20Aesthetics%20Clinic%20-%20Best%20dermatologist%20-%20skin%20doctor%20-%20Laser%20hair%20removal%20treatment%20-%20in%20Shyamal&query_place_id=ChIJn6QDfACFXjkR89dhY14fLU8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqYmpja5_Eijy1UmGYwFgBGp6OV9dRQ3iGrJKoTRjNK6KSGQAScMpQx1hUrrme0O_-TJAPuI7fZrid7RdP2qm1PMRg-oqwefPuM6Pc8ldnSqLhannYJkJALYIT0ffDDxqouRBx82Q=w408-h272-k-no,Credit Cards Accepted,ahd.draishanisauraskinan.10@antidote-temp.com,false,pending,unclaimed
