name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Berkowits Hair & Skin Clinic Banaswadi,berkowits-hair-skin-clinic-banaswadi,,"Maruthi Corner, No. 3, 2nd Floor, 9th main, Dodda Banaswadi Main Rd, Bengaluru, Karnataka 560043, India",Bengaluru,Karnataka,India,560043,13.0129108,77.6478881,919999514137,,https://berkowits.com/?utm_source=GoogleLocalListing&utm_medium=organic&utm_campaign=Banaswadi_Bengaluru_Hair_and_Skin_Clinic,"Skin care clinic, Dermatologist, Hair removal service, Hair replacement service, Laser hair removal service, Medical clinic, Hair transplantation clinic, Tattoo removal service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",4,68,ChIJ4XWVZMgXrjsRMzimvpbcj9U,https://www.google.com/maps/search/?api=1&query=Berkowits%20Hair%20%26%20Skin%20Clinic%20Banaswadi&query_place_id=ChIJ4XWVZMgXrjsRMzimvpbcj9U,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzFiHNUcK-9w91WUNiZKn1x1fPUj9AYh7xQRemTtnoDfvAWg8yOolk5PZYdIfkURc33N3hUW95AO2ZACnFTyZePV5wntjlXKmAJQj45vhnI5vS-UtN6Ro77Whs57WZAsyP59r-=w408-h272-k-no,Wheelchair Accessible,blr.berkowitshairskincli.811@antidote-temp.com,FALSE,pending,unclaimed
Syed Skin & Hair Cosmetology Laser Center,syed-skin-hair-cosmetology-laser-center,,"2nd Floor, and, 80 Feet Rd, opp. jb bakeryNO. 334, above F N SILK opp:, Giddappa Block, Ganganagar, Bengaluru, Karnataka 560032, India",Bengaluru,Karnataka,India,560032,13.0207616,77.592379,918023339810,,,Skin care clinic,"{""Monday"": ""10\u202fAM to 1\u202fPM, 6 to 8:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 1\u202fPM, 6 to 8:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 1\u202fPM, 6 to 8:30\u202fPM"", ""Thursday"": ""10\u202fAM to 2\u202fPM, 6 to 8:30\u202fPM"", ""Friday"": ""10\u202fAM to 12:30\u202fPM, 6 to 8:30\u202fPM"", ""Saturday"": ""10\u202fAM to 1\u202fPM, 6 to 8:30\u202fPM"", ""Sunday"": ""Closed""}",4,80,ChIJtyKS4bAXrjsRIifykFevCYs,https://www.google.com/maps/search/?api=1&query=Syed%20Skin%20%26%20Hair%20Cosmetology%20Laser%20Center&query_place_id=ChIJtyKS4bAXrjsRIifykFevCYs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbyD7Z9ERDQ5xovPmQYH5Dvn7KAXarkEAwtwIU5lJryg8Nbrkqp29ggL33iwbBvcSezO-ZAkcgsRHxFItGZLbLlAq20ykyDDDaVAt5xwUn0TBLuub6LXZPKntX_tsyfn4XxUgLSg=w408-h544-k-no,,blr.syedskinhaircosmetol.960@antidote-temp.com,FALSE,pending,unclaimed
ReeAge - Electronic City,reeage-electronic-city,,"46/1, 3rd floor, 1st Main Rd, Kudlu Gate, Munireddy layout, Garvebhavi Palya, Bengaluru, Karnataka 560068, India",Bengaluru,Karnataka,India,560068,12.892463,77.638254,919513315040,,https://www.reeage.in/,"Skin care clinic, Dermatologist, Hair removal service, Hair replacement service, Laser hair removal service, Nutritionist, Hair transplantation clinic, Tattoo removal service","{""Monday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Thursday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Friday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Sunday"": ""10:30\u202fAM to 7:30\u202fPM""}",4,89,ChIJNeyTwcMVrjsR22QIR64vwAk,https://www.google.com/maps/search/?api=1&query=ReeAge%20-%20Electronic%20City&query_place_id=ChIJNeyTwcMVrjsR22QIR64vwAk,https://lh3.googleusercontent.com/p/AF1QipPh5YC0zKicZhkOhWXpZ8LvwJJICbsOaVMktn9Z=w408-h408-k-no,,blr.reeageelectroniccity.519@antidote-temp.com,FALSE,pending,unclaimed
Tvacha Skin And Cosmetology Clinic,tvacha-skin-and-cosmetology-clinic,,"Global health & Dignostics, Symphony ventures building, Kaggadasapura Main Rd, above Health & Glow, opposite 5th Cross Road, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093, India",Bengaluru,Karnataka,India,560093,12.9850857,77.6747624,919342133135,,,Dermatologist,"{""Monday"": ""6 to 8\u202fPM"", ""Tuesday"": ""6 to 8\u202fPM"", ""Wednesday"": ""6 to 8\u202fPM"", ""Thursday"": ""6 to 8\u202fPM"", ""Friday"": ""6 to 8\u202fPM"", ""Saturday"": ""6 to 8\u202fPM"", ""Sunday"": ""Closed""}",4,98,ChIJYU9M80IRrjsRcTW_DCgIAL4,https://www.google.com/maps/search/?api=1&query=Tvacha%20Skin%20And%20Cosmetology%20Clinic&query_place_id=ChIJYU9M80IRrjsRcTW_DCgIAL4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqumGga1f7UH1quoCXhIvuM3xgXK3WegrtN9wsZwyoHLGpVj5ih7lsBRuSkKrq3IfAbDowOb_kjAJdWj_kJTEPes8i4n0mPRhoWlcBctBNrFdmJUPHZaCFZorU4VruOKaMpNl1qMw=w408-h725-k-no,,blr.tvachaskinandcosmeto.1198@antidote-temp.com,FALSE,pending,unclaimed
Cosme Skin and Hair Clinic,cosme-skin-and-hair-clinic,,"182 1ST FLOOR, 1st Main Rd, opposite BLUE DART COURIER, Sharada Colony, KHB Colony, Basaveshwar Nagar, Bengaluru, Karnataka 560079, India",Bengaluru,Karnataka,India,560079,12.9881655,77.5346348,919731607602,,,"Skin care clinic, Dermatologist","{""Monday"": ""10\u202fAM to 1:30\u202fPM, 5 to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 1:30\u202fPM, 5 to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 1:30\u202fPM, 5 to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 1:30\u202fPM, 5 to 9\u202fPM"", ""Friday"": ""10\u202fAM to 1:30\u202fPM, 5 to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 1:30\u202fPM, 5 to 9\u202fPM"", ""Sunday"": ""Closed""}",4,125,ChIJdanKFL89rjsRhcxQ0FBdgBY,https://www.google.com/maps/search/?api=1&query=Cosme%20Skin%20and%20Hair%20Clinic&query_place_id=ChIJdanKFL89rjsRhcxQ0FBdgBY,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnU8Zyld0jI3mp0pIqxiwkv_CzblT1C_uEahq7f2FH5ynwhFRWLhlndvjrFrDbRXAgWHDrEBBFR18GOuhld_Zz_sE-dIyu3p0X6IcoR2R2MFkJH3FMyzpOOVW775E_Gfhwz3SJHw=w408-h544-k-no,,blr.cosmeskinandhairclin.673@antidote-temp.com,FALSE,pending,unclaimed
RSCC - SLIMMING | SKIN | HAIR | LASER,rscc-slimming-skin-hair-laser,,"12, 2nd Floor, Ramamurthi Nagar Main Rd, above HDFC bank Opp: Holy Family church, Nagappa Reddy Layout, Dooravani Nagar, Bengaluru, Karnataka 560016, India",Bengaluru,Karnataka,India,560016,13.011392,77.6795997,,,http://www.rscc.in/,"Weight loss service, Hair removal service, Hair replacement service, Laser hair removal service, Skin care clinic",,4,134,ChIJuXWspHARrjsR6lIGmJ6V-sM,https://www.google.com/maps/search/?api=1&query=RSCC%20-%20SLIMMING%20%7C%20SKIN%20%7C%20HAIR%20%7C%20LASER&query_place_id=ChIJuXWspHARrjsR6lIGmJ6V-sM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aWh4rBm06q0Rf_OmGUqmBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.21138&pitch=0&thumbfov=100,,blr.rsccslimmingskinhair.793@antidote-temp.com,FALSE,pending,unclaimed
"Skin, Cosmetic & ENT Care Center",skin-cosmetic-ent-care-center,,"18th Main Rd, near GNR Kalyana Mandapam, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041, India",Bengaluru,Karnataka,India,560041,12.9220005,77.5893873,918026631108,,,"Skin care clinic, Otolaryngologist, Dermatologist","{""Monday"": ""9:30\u202fAM to 2\u202fPM, 3:30 to 7:30\u202fPM"", ""Tuesday"": ""9:30\u202fAM to 2\u202fPM, 3:30 to 7:30\u202fPM"", ""Wednesday"": ""9:30\u202fAM to 2\u202fPM, 3:30 to 7:30\u202fPM"", ""Thursday"": ""9:30\u202fAM to 2\u202fPM, 3:30 to 7:30\u202fPM"", ""Friday"": ""9:30\u202fAM to 2\u202fPM, 3:30 to 7:30\u202fPM"", ""Saturday"": ""9:30\u202fAM to 2\u202fPM"", ""Sunday"": ""Closed""}",4,142,ChIJcaGhCaAVrjsRhWM-wG1nNtk,https://www.google.com/maps/search/?api=1&query=Skin%2C%20Cosmetic%20%26%20ENT%20Care%20Center&query_place_id=ChIJcaGhCaAVrjsRhWM-wG1nNtk,https://lh3.googleusercontent.com/p/AF1QipPLGSoIYwkDfHPn_iCTGf8ABspu-ybzDaalLo2d=w408-h306-k-no,Wheelchair Accessible,blr.skincosmeticentcarec.967@antidote-temp.com,FALSE,pending,unclaimed
New Look Skin Hair And Laser Clinic,new-look-skin-hair-and-laser-clinic,,"No. 221,1st Floor, Indiranagar, 1st Main Rd, Stage 2, Domlur, Bengaluru, Karnataka 560071, India",Bengaluru,Karnataka,India,560071,12.9660085,77.6375576,919740720457,,https://newlookskincare.in/,"Skin care clinic, Hair transplantation clinic, Laser hair removal service, Dermatologist, Weight loss service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",4,143,ChIJbYyXNhwUrjsRv4oXg82Mw4c,https://www.google.com/maps/search/?api=1&query=New%20Look%20Skin%20Hair%20And%20Laser%20Clinic&query_place_id=ChIJbYyXNhwUrjsRv4oXg82Mw4c,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noh8NIyt_xbuykSiSpmLegKtCb3ld18cEblQPNngJJGytTVG4d3gKiTvedV697f3xS1LlcjS0BhW2ELryYKJX42rPnOP2oRxSLX0D7IGnmh9Z5QHfYQ0-PkkAhmlooFN4nq-QIO=w408-h291-k-no,Credit Cards Accepted,blr.newlookskinhairandla.273@antidote-temp.com,FALSE,pending,unclaimed
Hairline Hair Transplantation Clinic in RT Nagar - Best Trichology Treatment in Bangalore,hairline-hair-transplantation-clinic-in-rt-nagar-best-trichology-treatment-in-bangalore,,"93, 1st Floor, 3rd Main Rd, near Corporation Bank, Ganganagar, Rahmath Nagar, RT Nagar, Bengaluru, Karnataka 560032, India",Bengaluru,Karnataka,India,560032,13.0199373,77.5949687,919148874972,,http://hairline.co.in/,"Tattoo removal service, Cosmetic surgeon, Dermatologist, Electrolysis hair removal service, Hair removal service, Hair replacement service, Health consultant, Laser hair removal service, Skin care clinic, Hair transplantation clinic",,4,153,ChIJHcQHx7EXrjsRzGCBy2r1AyY,https://www.google.com/maps/search/?api=1&query=Hairline%20Hair%20Transplantation%20Clinic%20in%20RT%20Nagar%20-%20Best%20Trichology%20Treatment%20in%20Bangalore&query_place_id=ChIJHcQHx7EXrjsRzGCBy2r1AyY,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0tplFe8eF-dIup6BznjT7IB6-sMXPTsuSdU_OZfPyInIQcfPgjXxhChFD6HxCriKZQP3JQJHZtvGZEKif57p3yJ6elmyDTtaZz5YmXXZzlogJXBA70H2tnRT8dNZFfS2kzllg=w426-h240-k-no,,blr.hairlinehairtranspla.795@antidote-temp.com,FALSE,pending,unclaimed
Aruna Skin Clinic,aruna-skin-clinic,,"314, 7th Main Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Bengaluru,Karnataka,India,560043,13.0190734,77.6432659,918041601232,,,Doctor,"{""Monday"": ""10:30\u202fAM to 1\u202fPM, 5 to 8\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 1\u202fPM, 5 to 8\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 1\u202fPM, 5 to 8\u202fPM"", ""Thursday"": ""10:30\u202fAM to 1\u202fPM, 5 to 8\u202fPM"", ""Friday"": ""10:30\u202fAM to 1\u202fPM, 5 to 8\u202fPM"", ""Saturday"": ""10:30\u202fAM to 1\u202fPM, 5:30 to 8\u202fPM"", ""Sunday"": ""Closed""}",4,259,ChIJf34AvigXrjsRzRtacocUvik,https://www.google.com/maps/search/?api=1&query=Aruna%20Skin%20Clinic&query_place_id=ChIJf34AvigXrjsRzRtacocUvik,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqkGFkjypXOoKF9d_pqJ0SJYRPXg0e1kbUtpt85CdGJirx42pqsT3tcyHiLdcPo4MyO__Xshomy7vGwGD3drpEnYXbMvpMu7BGHvVqI6iO-aTVDMqn1fhuX9stVi_BOldERs0g=w408-h306-k-no,,blr.arunaskinclinic.1098@antidote-temp.com,FALSE,pending,unclaimed
