name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Chennai Plastic Surgery,chennai-plastic-surgery,,"New No. 12, Old, 10, Mc Nichols Road 3rd Ln, 4th Lane, Chetpet, Chennai, Tamil Nadu 600031, India",Chennai,Tamil Nadu,India,600031,13.0709521,80.2406935,919600058899,,http://www.thecosmeticsurgery.org/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Chennai-Plastic-Surgery&utm_content=website,"Plastic surgeon, Dermatologist, Hair removal service, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Skin care clinic, Weight loss service","{""Monday"": ""6\u202fAM to 7\u202fPM"", ""Tuesday"": ""6\u202fAM to 7\u202fPM"", ""Wednesday"": ""6\u202fAM to 7\u202fPM"", ""Thursday"": ""6\u202fAM to 7\u202fPM"", ""Friday"": ""6\u202fAM to 7\u202fPM"", ""Saturday"": ""6\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.9,1322,ChIJV3xs3XpmUjoR3xUXFHKsvg4,https://www.google.com/maps/search/?api=1&query=Chennai%20Plastic%20Surgery&query_place_id=ChIJV3xs3XpmUjoR3xUXFHKsvg4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr1tRkw2x7Dym634ev2pOPFn4D6qIPkORxGudJEf7ZVyZKfdvwZquBZUkJS86ssiShmOQs2O05Atyri47_dCPQZiYPSEHfM4MGQ6v_R0mn0WnkrD6tSrf0K_fOOgQq1tPmQzErs=w408-h271-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",che.chennaiplasticsurger.1@antidote-temp.com,FALSE,pending,unclaimed
"Tamira Plastic Surgery in Chennai - Hair Transplant , Gynecomastia , Liposuction",tamira-plastic-surgery-in-chennai-hair-transplant-gynecomastia-liposuction,,"27, Gopalapuram 1st St, Kanakasri Nagar, Gopalapuram, Chennai, Tamil Nadu 600086, India",Chennai,Tamil Nadu,India,600086,13.0471929,80.2572534,91180030001613,,https://www.tamiralife.com/,"Hair transplantation clinic, Cosmetic dentist, Cosmetic surgeon, Dermatologist, Hair removal service, Laser hair removal service, Plastic surgeon, Plastic surgery clinic, Skin care clinic, Weight loss service","{""Monday"": ""10\u202fAM to 6\u202fPM"", ""Tuesday"": ""10\u202fAM to 6\u202fPM"", ""Wednesday"": ""10\u202fAM to 6\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 6\u202fPM"", ""Saturday"": ""10\u202fAM to 6\u202fPM"", ""Sunday"": ""10\u202fAM to 6\u202fPM""}",4.7,1245,ChIJ-SbpHDVmUjoRHz6kFN8tz8c,https://www.google.com/maps/search/?api=1&query=Tamira%20Plastic%20Surgery%20in%20Chennai%20-%20Hair%20Transplant%20%2C%20Gynecomastia%20%2C%20Liposuction&query_place_id=ChIJ-SbpHDVmUjoRHz6kFN8tz8c,https://lh3.googleusercontent.com/p/AF1QipPPtwznOBOtUfoxxTBXdzcEjv30P5ofrrJQB9oy=w408-h264-k-no,"Wheelchair Accessible, Free Parking",che.tamiraplasticsurgery.2@antidote-temp.com,FALSE,pending,unclaimed
Dr.Aesthetix International Cosmetic Clinic Chennai,draesthetix-international-cosmetic-clinic-chennai,,"No.B7, Basement 7, Gems Court, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Poombukar Nagar, Tamil Nadu 600006, India",Chennai,Tamil Nadu,India,600006,13.0599075,80.2486418,919514495222,,https://draesthetix.com/,"Skin care clinic, Cosmetic dentist, Cosmetic surgeon, Dental clinic, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Permanent make-up clinic, Plastic surgery clinic, Weight loss service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.9,96,ChIJFTuWxg1nUjoRzi0JBJISI-Y,https://www.google.com/maps/search/?api=1&query=Dr.Aesthetix%20International%20Cosmetic%20Clinic%20Chennai&query_place_id=ChIJFTuWxg1nUjoRzi0JBJISI-Y,https://lh3.googleusercontent.com/p/AF1QipNqQDGV0A40BRx-kmcTOw0Nd-9DETH_Bf6R22zd=w572-h240-k-no,"Credit Cards Accepted, Appointment Required",che.draesthetixinternati.3@antidote-temp.com,FALSE,pending,unclaimed
Dr. Sasikumar T - Lipoma | Gynecomastia | Sebaceous Cyst | Tummy Tuck | Liposuction | Blepharoplasty | Breast Surgery,dr-sasikumar-t-lipoma-gynecomastia-sebaceous-cyst-tummy-tuck-liposuction-blepharoplasty-breast-surgery,,"No 18, Srilalithapuram, Lalithapuram St, Azad Nagar, Royapettah, Chennai, Tamil Nadu 600014, India",Chennai,Tamil Nadu,India,600014,13.0490477,80.2627486,918065105079,,https://clinics.pristyncare.com/Doctor-Details/dr-sasikumar-t-ihimxgdvnw-chennai-no-18-srilalithapuram-lalithapuram-st-azad-nagar-royapettah-chennai-tamil,"Plastic surgeon, Cosmetic surgeon, Doctor, Medical clinic, Plastic surgery clinic, Specialized clinic, Specialized hospital, Surgeon, Surgical center, Walk-in clinic","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",1,1,ChIJxxcDHNdnUjoRNX2Caxj6-Uo,https://www.google.com/maps/search/?api=1&query=Dr.%20Sasikumar%20T%20-%20Lipoma%20%7C%20Gynecomastia%20%7C%20Sebaceous%20Cyst%20%7C%20Tummy%20Tuck%20%7C%20Liposuction%20%7C%20Blepharoplasty%20%7C%20Breast%20Surgery&query_place_id=ChIJxxcDHNdnUjoRNX2Caxj6-Uo,https://lh3.googleusercontent.com/p/AF1QipOzzH613IUyawRc_uLC4PMIDSTV9r_f-aO1CWNG=w426-h240-k-no,"Digital Payments, Appointment Required",che.drsasikumartlipomagy.4@antidote-temp.com,FALSE,pending,unclaimed
"Best Plastic Surgeon - Dr. Manokaran G, 40+ yrs of Exp | Skin & Hair Specialist | Chennai",best-plastic-surgeon-dr-manokaran-g-40-yrs-of-exp-skin-hair-specialist-chennai,,"Apollo Hospitals Greams Road Greams Lane, 21, Greams Rd, Thousand Lights, Chennai, Tamil Nadu 600006, India",Chennai,Tamil Nadu,India,600006,13.0632,80.2515,918046961837,,https://www.apollo247.com/doctors/dr-Manokaran-G-e3b07484-a032-491c-807f-bcee4fb4094c,"Plastic surgeon, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Skin care clinic","{""Monday"": ""7\u202fAM to 9\u202fPM"", ""Tuesday"": ""7\u202fAM to 9\u202fPM"", ""Wednesday"": ""7\u202fAM to 9\u202fPM"", ""Thursday"": ""7\u202fAM to 9\u202fPM"", ""Friday"": ""7\u202fAM to 9\u202fPM"", ""Saturday"": ""7\u202fAM to 9\u202fPM"", ""Sunday"": ""9\u202fAM to 5\u202fPM""}",4.4,7,ChIJB1wBT9lnUjoRTMkTQ7nTluM,https://www.google.com/maps/search/?api=1&query=Best%20Plastic%20Surgeon%20-%20Dr.%20Manokaran%20G%2C%2040%2B%20yrs%20of%20Exp%20%7C%20Skin%20%26%20Hair%20Specialist%20%7C%20Chennai&query_place_id=ChIJB1wBT9lnUjoRTMkTQ7nTluM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N4zVXBgk8EBlIHki2dHPGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.15353&pitch=0&thumbfov=100,"Digital Payments, Appointment Required",che.bestplasticsurgeondr.5@antidote-temp.com,FALSE,pending,unclaimed
Aesthetics Skin & Hair Care Clinic - Chennai,aesthetics-skin-hair-care-clinic-chennai,,"6, 14, Bank St, Kilpauk, Chennai, Tamil Nadu 600010, India",Chennai,Tamil Nadu,India,600010,13.0810054,80.2346694,916380470440,,http://www.aestheticss.in/,"Skin care clinic, Dermatologist, Hair replacement service, Pediatric dermatologist, Surgical center, Venereologist","{""Monday"": ""11:30\u202fAM to 1:30\u202fPM, 5 to 8\u202fPM"", ""Tuesday"": ""11:30\u202fAM to 1:30\u202fPM, 5 to 8\u202fPM"", ""Wednesday"": ""11:30\u202fAM to 1:30\u202fPM, 5 to 8\u202fPM"", ""Thursday"": ""11:30\u202fAM to 1:30\u202fPM, 5 to 8\u202fPM"", ""Friday"": ""11:30\u202fAM to 1:30\u202fPM, 5 to 8\u202fPM"", ""Saturday"": ""11:30\u202fAM to 1:30\u202fPM, 5 to 8\u202fPM"", ""Sunday"": ""Closed""}",4.8,52,ChIJqXHqtAVlUjoRGXDNnMGOKEk,https://www.google.com/maps/search/?api=1&query=Aesthetics%20Skin%20%26%20Hair%20Care%20Clinic%20-%20Chennai&query_place_id=ChIJqXHqtAVlUjoRGXDNnMGOKEk,https://lh3.googleusercontent.com/p/AF1QipOkqkzjD6WRbGWJy3_HhMNmAoHh_fHzaLHWhUU0=w408-h306-k-no,"Digital Payments, Appointment Required",che.aestheticsskinhairca.6@antidote-temp.com,FALSE,pending,unclaimed
The Brown Aesthetic and Hair Transplant Clinic,the-brown-aesthetic-and-hair-transplant-clinic,,"101/4, Medavakkam Tank Rd, Sanyasipuram, Kilpauk, Tamil Nadu, Chennai, Tamil Nadu 600010, India",Chennai,Tamil Nadu,India,600010,13.0882151,80.2418432,919363223016,,,Hair transplantation clinic,"{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.9,88,ChIJGVhgKaplUjoRb_7sFc57aZs,https://www.google.com/maps/search/?api=1&query=The%20Brown%20Aesthetic%20and%20Hair%20Transplant%20Clinic&query_place_id=ChIJGVhgKaplUjoRb_7sFc57aZs,https://lh3.googleusercontent.com/p/AF1QipPPG_E6YBxWLQzBp1PjsOLz2v2xRd8A-0J0sAd2=w408-h272-k-no,"Free Parking, Credit Cards Accepted",che.thebrownaestheticand.7@antidote-temp.com,FALSE,pending,unclaimed
Dr Nirmal's Aesthetic Clinic,dr-nirmals-aesthetic-clinic,,"NO60, (OLD NO 142, BASIL RESTAURANT, A), RAJPADH, Habibullah Rd, near SGS SABHA, Satyamurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600017, India",Chennai,Tamil Nadu,India,600017,13.0496403,80.2417228,919363431309,,,"Skin care clinic, Cosmetic dentist, Hair replacement service, Permanent make-up clinic, Hair transplantation clinic","{""Monday"": ""10\u202fAM to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""11\u202fAM to 5\u202fPM""}",5,19,ChIJdSa2UPJlUjoRa8ekGMDrTMY,https://www.google.com/maps/search/?api=1&query=Dr%20Nirmal's%20Aesthetic%20Clinic&query_place_id=ChIJdSa2UPJlUjoRa8ekGMDrTMY,https://lh3.googleusercontent.com/p/AF1QipPs0SugqVnc9fnAgAPssYan5KJ50U6Yujc6GVYw=w426-h240-k-no,"Credit Cards Accepted, Appointment Required",che.drnirmalsaestheticcl.8@antidote-temp.com,FALSE,pending,unclaimed
Dr. Asha Queen(Complete Cosmetic Care Clinic),dr-asha-queencomplete-cosmetic-care-clinic,,"No.18, 4th Cross St E, Venkatasamy Nagar, Shenoy Nagar, Chennai, Tamil Nadu 600030, India",Chennai,Tamil Nadu,India,600030,13.0789927,80.2276093,917550040403,,,"Skin care clinic, Laser hair removal service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.8,129,ChIJrYXM0P5nUjoRuyr_rqx8E5Q,https://www.google.com/maps/search/?api=1&query=Dr.%20Asha%20Queen(Complete%20Cosmetic%20Care%20Clinic)&query_place_id=ChIJrYXM0P5nUjoRuyr_rqx8E5Q,https://lh3.googleusercontent.com/p/AF1QipO6IlysiMNMUnBW3BXpt9xUlDKiJ6DwUVcnYAll=w408-h345-k-no,Appointment Required,che.drashaqueencompletec.9@antidote-temp.com,FALSE,pending,unclaimed
ZI Clinic Aesthetic & Laser Clinic | Poes Garden,zi-clinic-aesthetic-laser-clinic-poes-garden,,"AURIGA by Sanghis Second Floor, 9/17 Kasturi Rangan Road, Poes Garden, Alwarpet, Chennai, Tamil Nadu 600018, India",Chennai,Tamil Nadu,India,600018,13.0431956,80.2563662,919339712345,,http://www.ziclinic.com/,"Skin care clinic, Hair transplantation clinic, Laser hair removal service, Dermatologist, Weight loss service","{""Monday"": ""11\u202fAM to 8\u202fPM"", ""Tuesday"": ""11\u202fAM to 8\u202fPM"", ""Wednesday"": ""11\u202fAM to 8\u202fPM"", ""Thursday"": ""11\u202fAM to 8\u202fPM"", ""Friday"": ""11\u202fAM to 8\u202fPM"", ""Saturday"": ""11\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.2,150,ChIJqw_IaTZmUjoRYh5NU2UJJuk,https://www.google.com/maps/search/?api=1&query=ZI%20Clinic%20Aesthetic%20%26%20Laser%20Clinic%20%7C%20Poes%20Garden&query_place_id=ChIJqw_IaTZmUjoRYh5NU2UJJuk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRrmPRZv7cRX_SHrv1J9IT4IaRT9srkJSchKuDv9wPqBXAU62ai54qv1O88DvqbS0DRJbHs_fKXVQSZYDQG1MOPLCkpyOfb2_EHWqrDeDrk6ZdOwX7DdZvD1UNFPuO_CpXy2MI=w408-h306-k-no,"Wheelchair Accessible, Credit Cards Accepted",che.ziclinicaestheticlas.10@antidote-temp.com,FALSE,pending,unclaimed
