"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair accessible entrance","additionalInfo/Accessibility/3/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/4/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Wi-Fi","additionalInfo/Amenities/1/Free Wi-Fi","additionalInfo/Amenities/1/Restroom","additionalInfo/Children/0/Good for kids","additionalInfo/Children/0/Nursing room","additionalInfo/Children/1/Nursing room","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free parking garage","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/Free street parking","additionalInfo/Parking/1/Free parking lot","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/2/Free street parking","additionalInfo/Parking/2/Paid parking lot","additionalInfo/Parking/3/On-site parking","additionalInfo/Payments/0/Checks","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/Debit cards","additionalInfo/Payments/0/Google Pay","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Debit cards","additionalInfo/Payments/1/Google Pay","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/Google Pay","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Payments/3/Credit cards","additionalInfo/Payments/3/NFC mobile payments","additionalInfo/Payments/4/Credit cards","additionalInfo/Planning/0/Appointment required","additionalInfo/Planning/0/Appointments recommended","additionalInfo/Planning/0/Quick visit","additionalInfo/Planning/1/Appointments recommended","additionalInfo/Planning/2/Accepts walk-ins","additionalInfo/Service options/0/Delivery","additionalInfo/Service options/0/Online classes","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/In-store pickup","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/1/Same-day delivery","additionalInfo/Service options/2/In-store shopping","additionalInfo/Service options/2/Same-day delivery","additionalInfo/Service options/3/Onsite services","additionalInfo/Service options/4/Same-day delivery","additionalOpeningHours/Delivery/0/day","additionalOpeningHours/Delivery/0/hours","additionalOpeningHours/Delivery/1/day","additionalOpeningHours/Delivery/1/hours","additionalOpeningHours/Delivery/2/day","additionalOpeningHours/Delivery/2/hours","additionalOpeningHours/Delivery/3/day","additionalOpeningHours/Delivery/3/hours","additionalOpeningHours/Delivery/4/day","additionalOpeningHours/Delivery/4/hours","additionalOpeningHours/Delivery/5/day","additionalOpeningHours/Delivery/5/hours","additionalOpeningHours/Delivery/6/day","additionalOpeningHours/Delivery/6/hours","additionalOpeningHours/Online service hours/0/day","additionalOpeningHours/Online service hours/0/hours","additionalOpeningHours/Online service hours/1/day","additionalOpeningHours/Online service hours/1/hours","additionalOpeningHours/Online service hours/2/day","additionalOpeningHours/Online service hours/2/hours","additionalOpeningHours/Online service hours/3/day","additionalOpeningHours/Online service hours/3/hours","additionalOpeningHours/Online service hours/4/day","additionalOpeningHours/Online service hours/4/hours","additionalOpeningHours/Online service hours/5/day","additionalOpeningHours/Online service hours/5/hours","additionalOpeningHours/Online service hours/6/day","additionalOpeningHours/Online service hours/6/hours","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,"true",,,,,"true",,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dr.YVRao Clinics, 10-50-2, I St floor, Waltair Main Rd, beside Lazarus Hospital, Visakhapatnam, Andhra Pradesh 530002, India","Plastic surgeon",,,,,,,,,,"Plastic surgeon","11818031722594047272","Visakhapatnam","false","IN","0x3a3943acd6bda0b1:0xa402153cb1841528",,"https://lh3.googleusercontent.com/p/AF1QipNjlTpEQq_KbyK51cCHSwcR8PRNrA0h_SYFz85Q=w426-h240-k-no","70","false","/g/11fj83wyxz","en","17.7169482","83.3082122","Ram Nagar","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9:30 AM to 7 PM","Thursday","9:30 AM to 7 PM","Friday","9:30 AM to 7 PM","Saturday","9:30 AM to 7:30 PM","Sunday","9 AM to 7 PM","false","+91 99630 55055","+919963055055","ChIJsaC91qxDOToRKBWEsTwVAqQ","530002",,"2","29",,,,,,"2025-06-20T10:19:01.013Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","Dr.YVRao Clinics, 10-50-2, I St floor, Waltair Main Rd, beside Lazarus Hospital","డా. య వి రావ్ క్లినిక్స్, వైజాగ్","false","Dr. Y V Rao Clinics, Vizag","4.6","https://www.google.com/maps/search/?api=1&query=Dr.%20Y%20V%20Rao%20Clinics%2C%20Vizag&query_place_id=ChIJsaC91qxDOToRKBWEsTwVAqQ","https://www.dryvrao.com/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DOOR NO.47, Sai Spoorthy Hospital - Multi Speciality And Trauma Centre, 935, 3rd Ln, Seetamma Peta, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016, India","Plastic surgery clinic",,,,,,,,,,"Plastic surgery clinic","17649342518934361079","Visakhapatnam","false","IN","0x3a3943425843548b:0xf4ef0f82c047d3f7",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MoVt_moug1EgX7nqs2znPg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=94.52466&pitch=0&thumbfov=100","1","false","/g/11r_x2r68p","en","17.7271376","83.3066757","Seetamma Peta, Dwaraka Nagar","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+91 70280 65165","+917028065165","ChIJi1RDWEJDOToR99NHwIIP7_Q","530016",,"4","3",,,,,,"2025-06-20T10:19:01.013Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","DOOR NO.47, Sai Spoorthy Hospital - Multi Speciality And Trauma Centre, 935, 3rd Ln",,"false","The Esthetic Clinics","5","https://www.google.com/maps/search/?api=1&query=The%20Esthetic%20Clinics&query_place_id=ChIJi1RDWEJDOToR99NHwIIP7_Q","https://www.theestheticclinic.com/"
,,,,"true",,,,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1st Floor, MVV Neeladri Building, Collector's Office Rd, Srirangapuram, Krishna Nagar, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002, India","Plastic surgeon","Cosmetic surgeon",,,,,,,,,"Plastic surgeon","8377751821410386775","Visakhapatnam","false","IN","0x3a39434a85ef5b03:0x7443c0e4f38c4357",,"https://lh3.googleusercontent.com/p/AF1QipPyD2J6Pk2DXBZCfIB3BJDQuIAXmqcO98pdkI4e=w408-h306-k-no","13","false","/g/11wwf6z_03","en","17.7089001","83.3098349","Srirangapuram, Krishna Nagar, Maharani Peta","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","9 AM to 1 PM","false","+91 90592 00868","+919059200868","ChIJA1vvhUpDOToRV0OM8-TAQ3Q","530002",,"5","34",,,,,,"2025-06-20T10:19:01.013Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","1st Floor, MVV Neeladri Building, Collector's Office Rd",,"false","Dr. Sreedhar Aesthetics","5","https://www.google.com/maps/search/?api=1&query=Dr.%20Sreedhar%20Aesthetics&query_place_id=ChIJA1vvhUpDOToRV0OM8-TAQ3Q","https://www.drsreedharaesthetics.in/"
,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"seethampeta, opposite Durga Ganapati temple, Visakhapatnam, Andhra Pradesh 532443, India","Dental clinic","Oral and maxillofacial surgeon",,,,,,,,,"Dental clinic","4704146544342846465","Visakhapatnam","false","IN","0x3a3943536d398c15:0x41487c5bc2efcc01",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0zsnA0-h4JW9y2jkyS6SuZJPWtOLHBLzztMI7gI89YfLseDw81HGq7mNlPUAlH-g0NhqklXdMNm-3Ek30EK5URrsFeNKb-fkyIp39vGyLazQzP2y5yxLCt49kmH7L42FVWtqR2Q=w408-h306-k-no","33","false","/g/11fktjccg4","en","17.7327186","83.3068291","Ganesh Nagar, Madhuranagar, Dwaraka Nagar","Monday","10 AM to 9 PM","Tuesday","10 AM to 9 PM","Wednesday","10 AM to 9 PM","Thursday","10 AM to 9 PM","Friday","10 AM to 9 PM","Saturday","10 AM to 9 PM","Sunday","10 AM to 2 PM","false",,,"ChIJFYw5bVNDOToRAczvwlt8SEE","532443",,"6","70",,,,,,"2025-06-20T10:19:01.013Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","seethampeta, opposite Durga Ganapati temple",,"false","Annapurna Cosmetic Dental And Facial Plastic Surgery Center","4.9","https://www.google.com/maps/search/?api=1&query=Annapurna%20Cosmetic%20Dental%20And%20Facial%20Plastic%20Surgery%20Center&query_place_id=ChIJFYw5bVNDOToRAczvwlt8SEE",
,,,"true",,,,,"true",,,,,,,,"true",,,,"true",,"true",,"true",,,,,,,,,,,,"true",,,,,"true",,,,,,,,"true",,,"true",,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laser hair Removal in, Vinayagar Kosala, beside Sarvani Sweets, Asilmetta Junction, Ram Nagar, Visakhapatnam, Andhra Pradesh 530003, India","Skin care clinic","Cosmetic surgeon","Hair removal service","Hair transplantation clinic","Laser hair removal service","Tattoo removal service",,,,,"Skin care clinic","5359493369123380182","Visakhapatnam","false","IN","0x3a394340b0000001:0x4a60bed2caa91bd6",,"https://lh3.googleusercontent.com/p/AF1QipP_OgVYuotuHxXZl0-VqSPJKqQxrYKEnNiPUiq9=w408-h725-k-no",,"false","/g/11smvsnmwg","en","17.724136","83.308877","Asilmetta Junction, Ram Nagar","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+91 98497 97776","+919849797776","ChIJAQAAsEBDOToR1hupytK-YEo","530003",,"7","223",,,,,,"2025-06-20T10:19:01.013Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","Laser hair Removal in, Vinayagar Kosala, beside Sarvani Sweets",,"false","VJ’s Cosmetology Skin Clinic Vizag - Acne, Pigmentation, Skin Whitening & Laser Hair Removal in Vizag | Skin Clinic in Vizag","5","https://www.google.com/maps/search/?api=1&query=VJ%E2%80%99s%20Cosmetology%20Skin%20Clinic%20Vizag%20-%20Acne%2C%20Pigmentation%2C%20Skin%20Whitening%20%26%20Laser%20Hair%20Removal%20in%20Vizag%20%7C%20Skin%20Clinic%20in%20Vizag&query_place_id=ChIJAQAAsEBDOToR1hupytK-YEo","http://vjcosmetologyclinics.com/"
,,,"true",,,,,"true",,,,,,,,"true",,,,"true",,"true",,"true",,,,,,,,,,,,,"true",,,,"true",,"true",,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4th Floor, hair clinic in, KGH Down Rd, opp. indus hospital, Jagadamba, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 530002, India","Plastic surgeon","Hair replacement service",,,,,,,,,"Plastic surgeon","13472993894760680259","Visakhapatnam","false","IN","0x3a39431aed6aaaab:0xbaf9b09076378b43",,"https://lh3.googleusercontent.com/p/AF1QipNH88la0eZPcOEHLi0FxVUgVdm2U6HKmhY5jd9_=w408-h272-k-no","55","false","/g/11hjbzhdnj","en","17.7109642","83.3026854","Jagadamba, Jagadamba Junction","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+91 98497 97776","+919849797776","ChIJq6pq7RpDOToRQ4s3dpCw-bo","530002",,"8","16",,,,,,"2025-06-20T10:19:01.014Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","4th Floor, hair clinic in, KGH Down Rd, opp. indus hospital",,"false","VJ Clinics - Hair Loss Treatment Clinic in Vizag | PRP Treatment | GFC Treatment | Best Plastic Surgeon in Vizag","4.8","https://www.google.com/maps/search/?api=1&query=VJ%20Clinics%20-%20Hair%20Loss%20Treatment%20Clinic%20in%20Vizag%20%7C%20PRP%20Treatment%20%7C%20GFC%20Treatment%20%7C%20Best%20Plastic%20Surgeon%20in%20Vizag&query_place_id=ChIJq6pq7RpDOToRQ4s3dpCw-bo","https://vjclinics.com/"
,"true",,,,,"true",,,,"true",,,,"true",,"true",,,,"true","true",,"true","true",,,,,,,,,,,,,,"true",,,,,,,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4th Floor, KGH Down Rd, opp. indus hospital, Jagadamba, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 530002, India","Hair transplantation clinic","Cosmetic surgeon","Dermatologist","Hair extension technician","Hair removal service","Hair replacement service","Laser hair removal service","Skin care clinic",,,"Hair transplantation clinic","14685277241591221604","Visakhapatnam","false","IN","0x3a39431aed6aaaab:0xcbcc95d8652c4d64",,"https://lh3.googleusercontent.com/p/AF1QipM6pYlegszeB9ogb2v4rcz7MD7L59QhV3-OtBKM=w408-h272-k-no","72","false","/g/11kc7yx7y7","en","17.7109642","83.3026854","Jagadamba, Jagadamba Junction","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+91 98497 97776","+919849797776","ChIJq6pq7RpDOToRZE0sZdiVzMs","530002",,"9","382",,,,,,"2025-06-20T10:19:01.014Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","4th Floor, KGH Down Rd, opp. indus hospital",,"false","Dr. VJs Cosmetic Surgery Hair Transplant - Best Liposuction & Gynecomastia Surgery in Vizag | Hair Clinic in Vizag","4.8","https://www.google.com/maps/search/?api=1&query=Dr.%20VJs%20Cosmetic%20Surgery%20Hair%20Transplant%20-%20Best%20Liposuction%20%26%20Gynecomastia%20Surgery%20in%20Vizag%20%7C%20Hair%20Clinic%20in%20Vizag&query_place_id=ChIJq6pq7RpDOToRZE0sZdiVzMs","https://vjclinics.com/"
,"true",,,,,"true",,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seven Hills Hospital, Andhra Pradesh 530003, India","Plastic surgeon","Surgeon",,,,,,,,,"Plastic surgeon","18256239287838103225","Visakhapatnam","false","IN","0x3a394381aa8ccc8f:0xfd5b30e8161ed6b9",,"https://lh3.googleusercontent.com/p/AF1QipNC1iNq3_Cj3fOl9QfYLrbQwIh3huNVHmKui3uB=w408-h408-k-no","11","false","/g/11fcvb3qdh","en","17.7173716","83.309408","Ram Nagar","Monday","10 AM to 8 PM","Tuesday","10 AM to 8 PM","Wednesday","10 AM to 8 PM","Thursday","10 AM to 8 PM","Friday","10 AM to 8 PM","Saturday","10 AM to 8 PM","Sunday","Closed","false","+91 91820 84160","+919182084160","ChIJj8yMqoFDOToRudYeFugwW_0","530003",,"10","410",,,,,,"2025-06-20T10:19:01.014Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","Seven Hills Hospital","డా. అంజలి సప్లె కాస్మెటిక్ సర్జన్ వైజాగ్","false","Dr. Anjali Saple","4.9","https://www.google.com/maps/search/?api=1&query=Dr.%20Anjali%20Saple&query_place_id=ChIJj8yMqoFDOToRudYeFugwW_0","https://www.dranjalisaple.com/"
,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chamber No. G3, 1st Floor BVS Residency, opp. Doctors Enclave, beside Baba Hospital, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002, India","Plastic surgeon","Cosmetic surgeon",,,,,,,,,"Plastic surgeon","12383445657641588853","Visakhapatnam","false","IN","0x3a39437e53c4c8bb:0xabdad6371f149875",,"https://lh3.googleusercontent.com/p/AF1QipOHabz5CC24-aDk7Bp_1Y9jbh8BF2LIbNgkxODH=w408-h326-k-no","5","false","/g/11gtftrgbx","en","17.7082797","83.308972","Srirangapuram, Krishna Nagar, Maharani Peta","Monday","10 AM to 9 PM","Tuesday","10 AM to 9 PM","Wednesday","10 AM to 9 PM","Thursday","10 AM to 9 PM","Friday","10 AM to 9 PM","Saturday","10 AM to 9 PM","Sunday","10 AM to 9 PM","false","+91 99858 54899","+919985854899","ChIJu8jEU35DOToRdZgUHzfW2qs","530002",,"11","11",,,,,,"2025-06-20T10:19:01.014Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","Chamber No. G3, 1st Floor BVS Residency, opp. Doctors Enclave, beside Baba Hospital","డా. కృష్ణ ప్రసాద్ ప్రుష్టి","false","Dr. Krishna Prasad Prusty","5","https://www.google.com/maps/search/?api=1&query=Dr.%20Krishna%20Prasad%20Prusty&query_place_id=ChIJu8jEU35DOToRdZgUHzfW2qs","https://www.visakhapatnamdoctors.com/dr-krishna-prasad-prusty-plastic-cosmetic-surgeon.html"
,"true",,,,,"true",,,,"true",,,,"true",,,"true",,,,,"true",,"true",,"true",,,"true",,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10-50-80, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India","Plastic surgeon","Cosmetic surgeon","Plastic surgery clinic","Transplant surgeon",,,,,,,"Plastic surgeon","15858912726431584227","Visakhapatnam","false","IN","0x3a39431c5eee14dd:0xdc162d19bee04fe3",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fZG2AcG5kC2guIbOVBitSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.174446&pitch=0&thumbfov=100","2","false","/g/11jbrj3904","en","17.7229199","83.3175028","Ram Nagar","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+91 80 6904 9772","+918069049772","ChIJ3RTuXhxDOToR40_gvhktFtw","530002",,"13","1",,,,,,"2025-06-20T10:19:01.014Z","https://www.google.com/maps/search/cosmetic%20surgery%20clinics/@17.721792596186205,83.32176448997323,14z?hl=en","cosmetic surgery clinics","Andhra Pradesh","10-50-80, Waltair Main Rd",,"false","Dr. Sunita G - Best Plastic surgeon in Visakhapatnam | Apollo Hospitals","5","https://www.google.com/maps/search/?api=1&query=Dr.%20Sunita%20G%20-%20Best%20Plastic%20surgeon%20in%20Visakhapatnam%20%7C%20Apollo%20Hospitals&query_place_id=ChIJ3RTuXhxDOToR40_gvhktFtw","https://www.askapollo.com/doctors/plastic-surgeon/visakhapatnam/dr-sunita-ghanta"
