name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Dr. Saloni Sinha ENT Clinic,dr-saloni-sinha-ent-clinic,,"Prabhu Specialist Clinic, A2/108, Major Deepak Tyagi Marg, Block A2, Janakpuri, New Delhi, Delhi, 110058, India",New Delhi,Delhi,India,110058,28.6227394,77.0724861,918860804677,,https://entwithdrsaloni.com/,Otolaryngologist,"{""Monday"": ""4:30 to 9\u202fPM"", ""Tuesday"": ""5:30 to 9\u202fPM"", ""Wednesday"": ""4 to 9\u202fPM"", ""Thursday"": ""Closed"", ""Friday"": ""4 to 9\u202fPM"", ""Saturday"": ""12:30 to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 2:30\u202fPM""}",5,1046,ChIJa4fSiBoFDTkR5_h7HiimO08,https://www.google.com/maps/search/?api=1&query=Dr.%20Saloni%20Sinha%20ENT%20Clinic&query_place_id=ChIJa4fSiBoFDTkR5_h7HiimO08,https://lh3.googleusercontent.com/p/AF1QipOkOo10IiTQ7rZuu98eF6kV4Iu4wVyuHbkZEU4h=w408-h726-k-no,"Wheelchair Accessible, Digital Payments",del.drsalonisinhaentclin.1181@antidote-temp.com,FALSE,pending,unclaimed
Aishanya Aesthetic Centre,aishanya-aesthetic-centre,,"Room No. 1, A2/108, Major Deepak Tyagi Marg, Block A2, Janakpuri, Delhi, 110058, India",New Delhi,Delhi,India,110058,28.622598,77.0725205,917042227844,,https://aishanyaaesthetic.com/,"Plastic surgery clinic, Cosmetic surgeon, Laser hair removal service, Skin care clinic","{""Monday"": ""12:30 to 8:30\u202fPM"", ""Tuesday"": ""12:30 to 8:30\u202fPM"", ""Wednesday"": ""12:30 to 8:30\u202fPM"", ""Thursday"": ""Closed"", ""Friday"": ""12:30 to 8:30\u202fPM"", ""Saturday"": ""12:30 to 9\u202fPM"", ""Sunday"": ""12 to 2\u202fPM""}",5,1001,ChIJH8g07xAFDTkRHBCFPKQmuPc,https://www.google.com/maps/search/?api=1&query=Aishanya%20Aesthetic%20Centre&query_place_id=ChIJH8g07xAFDTkRHBCFPKQmuPc,https://lh3.googleusercontent.com/p/AF1QipPEsfDMicyV-zh4qxbhu88tcrH2zxXqMOwE0eSz=w408-h606-k-no,"Credit Cards Accepted, Appointment Required",del.aishanyaaestheticcen.1@antidote-temp.com,FALSE,pending,unclaimed
Skinroots Clinic - Best Dermatologist & Hair Transplant Clinic in Delhi | Acne Treatment in Delhi,skinroots-clinic-best-dermatologist-hair-transplant-clinic-in-delhi-acne-treatment-in-delhi,,"C-38, Ground floor, Greater Kailash-1, C Block, Greater Kailash I, Greater Kailash, Delhi, New Delhi, Delhi 110048, India",New Delhi,Delhi,India,110048,28.5483391,77.2387811,919818895199,,https://skinrootsclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"Skin care clinic, Hair removal service, Laser hair removal service, Hair transplantation clinic, Tattoo removal service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",5,794,ChIJBy1efwfjDDkRpkmpwdy4D0k,https://www.google.com/maps/search/?api=1&query=Skinroots%20Clinic%20-%20Best%20Dermatologist%20%26%20Hair%20Transplant%20Clinic%20in%20Delhi%20%7C%20Acne%20Treatment%20in%20Delhi&query_place_id=ChIJBy1efwfjDDkRpkmpwdy4D0k,https://lh3.googleusercontent.com/p/AF1QipOpUxxSt9r2dI_aI1-l5VW-FFBmTKUZWrLfXoGp=w408-h306-k-no,,del.skinrootsclinicbestd.243@antidote-temp.com,FALSE,pending,unclaimed
AK Dermacare & Aesthetics | Laser Hair Removal | Best Dermatologist in Janakpuri,ak-dermacare-aesthetics-laser-hair-removal-best-dermatologist-in-janakpuri,,"159 A, NCR, Block C4H, Janakpuri, New Delhi, Delhi, 110058, India",New Delhi,Delhi,India,110058,28.6168045,77.0959055,911140515755,,https://www.akdermacare.com/,"Skin care clinic, Cosmetic surgeon, Facial spa, Hair transplantation clinic, Health and beauty shop, Infectious disease physician, Laser hair removal service, Medical spa, Dermatologist","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,662,ChIJ38el1YAdDTkRJqzOzn4XJvU,https://www.google.com/maps/search/?api=1&query=AK%20Dermacare%20%26%20Aesthetics%20%7C%20Laser%20Hair%20Removal%20%7C%20Best%20Dermatologist%20in%20Janakpuri&query_place_id=ChIJ38el1YAdDTkRJqzOzn4XJvU,https://lh3.googleusercontent.com/p/AF1QipOelpErLmhJpnefE-xp8DSEYOznvFUNw9CmGLk_=w408-h306-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted",del.akdermacareaesthetic.83@antidote-temp.com,FALSE,pending,unclaimed
Delhi Wellness Clinics,delhi-wellness-clinics,,"W-27, W Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",New Delhi,Delhi,India,110048,28.5532987,77.2350764,,,https://www.delhiwellnessclinics.com/,"Skin care clinic, Dermatologist, Hair transplantation clinic","{""Monday"": ""10:30\u202fAM to 8\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 8\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 8\u202fPM"", ""Thursday"": ""10:30\u202fAM to 8\u202fPM"", ""Friday"": ""10:30\u202fAM to 8\u202fPM"", ""Saturday"": ""10:30\u202fAM to 8\u202fPM"", ""Sunday"": ""10:30\u202fAM to 8\u202fPM""}",5,601,ChIJ1-qn95njDDkRccGLu6F9XtE,https://www.google.com/maps/search/?api=1&query=Delhi%20Wellness%20Clinics&query_place_id=ChIJ1-qn95njDDkRccGLu6F9XtE,https://lh3.googleusercontent.com/p/AF1QipOC6KsBUY1WZvj2D-1pVtj8CFfy_iCK04ztKp9k=w408-h272-k-no,"Credit Cards Accepted, Appointment Required",del.delhiwellnessclinics.229@antidote-temp.com,FALSE,pending,unclaimed
Skin Lovers Clinic,skin-lovers-clinic,,"12-A/90 , G/F , Street No 11-a, Vijay Mohalla, Maujpur, Delhi, 110053, India",New Delhi,Delhi,India,110053,28.6836246,77.2734922,911165210321,,https://skin-lovers.com/,"Skin care clinic, Hair transplantation clinic","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",5,587,ChIJTSFZUCX9DDkR-OyTdmCsPL4,https://www.google.com/maps/search/?api=1&query=Skin%20Lovers%20Clinic&query_place_id=ChIJTSFZUCX9DDkR-OyTdmCsPL4,https://lh3.googleusercontent.com/p/AF1QipMDS3QQnK0jJP5sJ3nZSIJQ9NN5wH6HUhkmnqwG=w408-h306-k-no,,del.skinloversclinic.139@antidote-temp.com,FALSE,pending,unclaimed
𝐌𝐲 𝐃𝐞𝐧𝐭𝐚𝐥 𝐂𝐞𝐧𝐭𝐫𝐞 (𝐃𝐞𝐧𝐭𝐚𝐥 𝐂𝐞𝐧𝐭𝐫𝐞 𝐃𝐰𝐚𝐫𝐤𝐚)| Best Dentist in Dwarka | Dental Clinic in Dwarka,𝐌𝐲-𝐃𝐞𝐧𝐭𝐚𝐥-𝐂𝐞𝐧𝐭𝐫𝐞-𝐃𝐞𝐧𝐭𝐚𝐥-𝐂𝐞𝐧𝐭𝐫𝐞-𝐃𝐰𝐚𝐫𝐤𝐚-best-dentist-in-dwarka-dental-clinic-in-dwarka,,"2nd Floor, City Centre Mall, 204, Pocket 8, Block B, Sector 12 Dwarka, Dwarka, New Delhi, Delhi, 110077, India",New Delhi,Delhi,India,110077,28.5926651,77.0408059,919643002279,,https://mydentalcentre.in/general-dentistry,"Dental clinic, Dental implants provider, Endodontist, Orthodontist, Prosthodontist","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 5\u202fPM""}",5,452,ChIJvdk1BvwbDTkRYUDS_yg0PaM,https://www.google.com/maps/search/?api=1&query=%F0%9D%90%8C%F0%9D%90%B2%20%F0%9D%90%83%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A5%20%F0%9D%90%82%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%AB%F0%9D%90%9E%20(%F0%9D%90%83%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A5%20%F0%9D%90%82%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%AB%F0%9D%90%9E%20%F0%9D%90%83%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%A4%F0%9D%90%9A)%7C%20Best%20Dentist%20in%20Dwarka%20%7C%20Dental%20Clinic%20in%20Dwarka&query_place_id=ChIJvdk1BvwbDTkRYUDS_yg0PaM,https://lh3.googleusercontent.com/p/AF1QipNb9ffcMduG-qv2vRmGkVFe0sJfm9pu0A9UpPug=w408-h408-k-no,"Credit Cards Accepted, Appointment Required",del.𝐌𝐲𝐃𝐞𝐧𝐭𝐚𝐥𝐂𝐞𝐧𝐭𝐫𝐞𝐃𝐞𝐧𝐭𝐚𝐥.735@antidote-temp.com,FALSE,pending,unclaimed
"Revamp Skin Aesthetics: PMU, Korean Glow, Peels, Lasers, Contouring, Mesotherapy, Fillers, Botox & more in Delhi.",revamp-skin-aesthetics-pmu-korean-glow-peels-lasers-contouring-mesotherapy-fillers-botox-more-in-delhi,,"A, 10, Block A, Lajpat Nagar II, Lajpat Nagar, Delhi, New Delhi, Delhi 110024, India",New Delhi,Delhi,India,110024,28.5706646,77.2439882,919643709000,,https://revampskinaesthetics.com/,"Skin care clinic, Permanent make-up clinic","{""Monday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM"", ""Tuesday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM"", ""Wednesday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM"", ""Thursday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM"", ""Friday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM"", ""Saturday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM"", ""Sunday"": ""12 to 7\u202fAM, 10\u202fAM to 12\u202fAM""}",5,429,ChIJV_pFxhfjDDkRi908CkLuK-I,https://www.google.com/maps/search/?api=1&query=Revamp%20Skin%20Aesthetics%3A%20PMU%2C%20Korean%20Glow%2C%20Peels%2C%20Lasers%2C%20Contouring%2C%20Mesotherapy%2C%20Fillers%2C%20Botox%20%26%20more%20in%20Delhi.&query_place_id=ChIJV_pFxhfjDDkRi908CkLuK-I,https://lh3.googleusercontent.com/p/AF1QipOtSEXxQ-mle2KTM_EoalschHHGFp2otsAnuzlw=w408-h306-k-no,"Wheelchair Accessible, Credit Cards Accepted",del.revampskinaesthetics.153@antidote-temp.com,FALSE,pending,unclaimed
MY CLINIC,my-clinic,,"M-6, Sailing Club Rd, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",New Delhi,Delhi,India,110025,28.5668931,77.2899198,919990878633,,,"Doctor, Diabetologist, Emergency care physician, Health consultant, Medical Center, Pain management physician","{""Monday"": ""6:30 to 8:30\u202fPM"", ""Tuesday"": ""6:30 to 8:30\u202fPM"", ""Wednesday"": ""6:30 to 8:30\u202fPM"", ""Thursday"": ""6:30 to 8:30\u202fPM"", ""Friday"": ""6:30 to 8:30\u202fPM"", ""Saturday"": ""6:30 to 8:30\u202fPM"", ""Sunday"": ""Closed""}",5,400,ChIJOQX_SfflDDkRt4zK2GG_fjg,https://www.google.com/maps/search/?api=1&query=MY%20CLINIC&query_place_id=ChIJOQX_SfflDDkRt4zK2GG_fjg,https://lh3.googleusercontent.com/p/AF1QipPiMDiSJHs-LZFVgywxtvjUq1e-8oG-V5Uo8E7X=w408-h306-k-no,"Free Parking, Digital Payments",del.myclinic.872@antidote-temp.com,FALSE,pending,unclaimed
"Dermaiims | Skin, Laser, Hair Transplant In Delhi | Acne Treatment, Botox, Filler, LHR | AIIMS Trained Dermatologist",dermaiims-skin-laser-hair-transplant-in-delhi-acne-treatment-botox-filler-lhr-aiims-trained-dermatologist,,"Ground floor and Basement, Landmark- Green fields school, B-4/1, Chaudhary Jhandu Singh Marg, opposite Safdarjung Enclave, B4 Block, Safdarjung Enclave, New Delhi, Delhi 110029, India",New Delhi,Delhi,India,110029,28.5657582,77.1945486,918447400400,,http://dermaiims.com/,"Skin care clinic, Dermatologist, Hair replacement service, Hair transplantation clinic","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,385,ChIJd_rJEZcdDTkRKqh-bn9G2hY,https://www.google.com/maps/search/?api=1&query=Dermaiims%20%7C%20Skin%2C%20Laser%2C%20Hair%20Transplant%20In%20Delhi%20%7C%20Acne%20Treatment%2C%20Botox%2C%20Filler%2C%20LHR%20%7C%20AIIMS%20Trained%20Dermatologist&query_place_id=ChIJd_rJEZcdDTkRKqh-bn9G2hY,https://lh3.googleusercontent.com/p/AF1QipOkpoKtSXxkPltZuqzKor0i7tfytMgxZUAfVYM=w408-h271-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted, Appointment Required",del.dermaiimsskinlaserha.1034@antidote-temp.com,FALSE,pending,unclaimed
