name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
One Aesthetics,one-aesthetics,,"7319 upper ground floor, 2, next to super mart, DLF Phase IV, Gurugram, Haryana 122009, India",Gurugram,Haryana,India,122009,28.4616029,77.0884127,919650453110,,https://oneaesthetics.in/,"Wellness center, Dental implants provider, Hair transplantation clinic, Pediatric dentist","{""Monday"": ""10:30\u202fAM to 7\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 7\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 7\u202fPM"", ""Thursday"": ""10:30\u202fAM to 7\u202fPM"", ""Friday"": ""10:30\u202fAM to 7\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",5,16,ChIJZ51AF_8ZDTkR8eAiKJCt0t0,https://www.google.com/maps/search/?api=1&query=One%20Aesthetics&query_place_id=ChIJZ51AF_8ZDTkR8eAiKJCt0t0,https://lh3.googleusercontent.com/p/AF1QipPPPG0EKnG08TCcdaN8lHDxLAXEofEp1Ca6hUDQ=w408-h306-k-no,Wheelchair Accessible,ggm.oneaesthetics.5@antidote-temp.com,FALSE,pending,unclaimed
Aesthetics by Dr. Riddhi,aesthetics-by-dr-riddhi,,"Shop number 218 , First Floor , Sapphire 90 Mall, near Holiday Inn, Sector 90, Gurugram, Haryana 122004, India",Gurugram,Haryana,India,122004,28.4042334,76.9362916,919910221388,,,"Cosmetic surgeon, Dental hygienist, Facial spa, Hair replacement service, Laser hair removal service, Skin care clinic, Tattoo removal service","{""Monday"": ""10\u202fAM to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 9\u202fPM""}",4.8,194,ChIJ4WepGTM9DTkRqFJ9lHsx6bc,https://www.google.com/maps/search/?api=1&query=Aesthetics%20by%20Dr.%20Riddhi&query_place_id=ChIJ4WepGTM9DTkRqFJ9lHsx6bc,https://lh3.googleusercontent.com/p/AF1QipOS127aY6jp_NpSXScNbavlFmgQ31VhfhnG2AzN=w408-h725-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ggm.aestheticsbydrriddhi.6@antidote-temp.com,FALSE,pending,unclaimed
GLAMDENT CLINIC,glamdent-clinic,,"Shop No-1, Ground floor, Spaze corporate forum, Sector 70, Gurugram, Haryana 122001, India",Gurugram,Haryana,India,122001,28.395164,77.0302144,919821946409,,https://glamdentclinic.com/,"Skin care clinic, Dental clinic, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Cosmetic surgeon","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,293,ChIJj4tsnFQjDTkR0MmgcAA6tf4,https://www.google.com/maps/search/?api=1&query=GLAMDENT%20CLINIC&query_place_id=ChIJj4tsnFQjDTkR0MmgcAA6tf4,https://lh3.googleusercontent.com/p/AF1QipPHHkA5w_J5svPuGM1LP8rryMPvCAeocELbPgOB=w408-h725-k-no,"Wheelchair Accessible, Credit Cards Accepted",ggm.glamdentclinic.29@antidote-temp.com,FALSE,pending,unclaimed
STUDIO RÉVÈRE - Dental and Skin Wellness,studio-révère-dental-and-skin-wellness,,"Unit No. 09;10, Lower Ground, R1, M3M Cornerwalk Golf Course Extension Road, Southern Peripheral Rd, Sector 74, Gurugram, Haryana 122018, India",Gurugram,Haryana,India,122018,28.4014166,77.0068824,919599913668,,http://studiorevere.in/,"Skin care clinic, Dental clinic, Wellness center","{""Monday"": ""10\u202fAM to 7:30\u202fPM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""10\u202fAM to 7:30\u202fPM"", ""Thursday"": ""10\u202fAM to 7:30\u202fPM"", ""Friday"": ""10\u202fAM to 7:30\u202fPM"", ""Saturday"": ""10\u202fAM to 7:30\u202fPM"", ""Sunday"": ""10\u202fAM to 7:30\u202fPM""}",5,45,ChIJqcYAwWA9DTkR6pUSvDDjkIQ,https://www.google.com/maps/search/?api=1&query=STUDIO%20R%C3%89V%C3%88RE%20-%20Dental%20and%20Skin%20Wellness&query_place_id=ChIJqcYAwWA9DTkR6pUSvDDjkIQ,https://lh3.googleusercontent.com/p/AF1QipMUQ59NFza3soknQyUrJc9EnSpkAADvEUjMFV0j=w425-h240-k-no,"Free Parking, Credit Cards Accepted, Appointment Required",ggm.studiorévèredentalan.62@antidote-temp.com,FALSE,pending,unclaimed
AESTHETICA DENTALS,aesthetica-dentals,,"Unit 5B, Tatvam Villa Road, Vipul Trade Center, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018, India",Gurugram,Haryana,India,122018,28.4066922,77.0418385,919999372046,,https://www.aestheticadentals.in/,"Dental clinic, Dental implants periodontist, Dental radiology, Orthodontist","{""Monday"": ""10\u202fAM to 2\u202fPM, 5 to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM""}",4.9,116,ChIJoe6NcpEiDTkR-668_scqyeI,https://www.google.com/maps/search/?api=1&query=AESTHETICA%20DENTALS&query_place_id=ChIJoe6NcpEiDTkR-668_scqyeI,https://lh3.googleusercontent.com/p/AF1QipMD1aZ0deunyT_6fm7rx7fgqs3w1zZyhYuOdFPz=w426-h240-k-no,Credit Cards Accepted,ggm.aestheticadentals.63@antidote-temp.com,FALSE,pending,unclaimed
Center for Dental Implants & Esthetics,center-for-dental-implants-esthetics,,"2nd Floor, M3M Cornerwalk, R1 - 257, Sector 74, Sector 73, Gurugram, Haryana 122004, India",Gurugram,Haryana,India,122004,28.4021091,77.0093064,919871631066,,https://cdieindia.com/,"Dentist, Dental clinic, Dental implants periodontist, Dental implants provider, Oral surgeon, Orthodontist, Pediatric dentist, Prosthodontist","{""Monday"": ""10\u202fAM to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 9\u202fPM""}",5,6,ChIJh7vPgR8ZDTkRfPpwTCFTaO4,https://www.google.com/maps/search/?api=1&query=Center%20for%20Dental%20Implants%20%26%20Esthetics&query_place_id=ChIJh7vPgR8ZDTkRfPpwTCFTaO4,https://lh3.googleusercontent.com/p/AF1QipNvEYOYnR5Hjyq_y8B1YVhZGxtRvDo3RmL8RMTA=w426-h240-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",ggm.centerfordentalimpla.64@antidote-temp.com,FALSE,pending,unclaimed
Rejove Facio-Dent Clinique Implant & Aesthetic Centre - on Apollo 24|7,rejove-facio-dent-clinique-implant-aesthetic-centre-on-apollo-247,,"SF-2-12, Second Floor, Reach 3 roads mall, Sector 70, Gurugram, Haryana 122008, India",Gurugram,Haryana,India,122008,28.3912858,77.0302767,918307911285,,,"Skin care clinic, Cosmetic surgeon, Laser hair removal service, Prosthodontist, Dental clinic","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.9,53,ChIJn4TBRPIjDTkRNl8MnE9xHUQ,https://www.google.com/maps/search/?api=1&query=Rejove%20Facio-Dent%20Clinique%20Implant%20%26%20Aesthetic%20Centre%20-%20on%20Apollo%2024%7C7&query_place_id=ChIJn4TBRPIjDTkRNl8MnE9xHUQ,https://lh3.googleusercontent.com/p/AF1QipP996cqC4V2mxwPP_B8e4aOHeHp9YKfxXESscSd=w408-h408-k-no,"Digital Payments, Appointment Required",ggm.rejovefaciodentclini.65@antidote-temp.com,FALSE,pending,unclaimed
GoDental Multispeciality Health and Aesthetic Clinic,godental-multispeciality-health-and-aesthetic-clinic,,"Shop No 76 2nd, Ss Omnia, Sector 86 Rd, Sector 86, Gurugram, Haryana 122004, India",Gurugram,Haryana,India,122004,28.4013312,76.9469797,918448010417,,,"Skin care clinic, Medical Center, Physician assistant, Dental clinic, Wellness center","{""Monday"": ""10\u202fAM to 8:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 8:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 8:30\u202fPM"", ""Thursday"": ""10\u202fAM to 8:30\u202fPM"", ""Friday"": ""10\u202fAM to 8:30\u202fPM"", ""Saturday"": ""10\u202fAM to 8:30\u202fPM"", ""Sunday"": ""9\u202fAM to 5\u202fPM""}",5,65,ChIJp75TtnY9DTkR1Al9XfSlnFM,https://www.google.com/maps/search/?api=1&query=GoDental%20Multispeciality%20Health%20and%20Aesthetic%20Clinic&query_place_id=ChIJp75TtnY9DTkR1Al9XfSlnFM,https://lh3.googleusercontent.com/p/AF1QipPbHQkoCQ5lrtbuYKXVQ_s_AZd_c78cDvLo95I8=w426-h240-k-no,"Digital Payments, Appointment Required",ggm.godentalmultispecial.68@antidote-temp.com,FALSE,pending,unclaimed
Aura Clinic Dental & Aesthetic - Best Dentist In Sector 83 Gurgaon,aura-clinic-dental-aesthetic-best-dentist-in-sector-83-gurgaon,,"street k 14, VATIKA INDIA NEXT, plot no 11, Sector 83, Gurugram, Haryana 122004, India",Gurugram,Haryana,India,122004,28.3960018,76.9719767,918588040120,,https://auraclinic.biz/,Dental clinic,"{""Monday"": ""Closed"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,64,ChIJCTN6-w09DTkRwTgCffMk0os,https://www.google.com/maps/search/?api=1&query=Aura%20Clinic%20Dental%20%26%20Aesthetic%20-%20Best%20Dentist%20In%20Sector%2083%20Gurgaon&query_place_id=ChIJCTN6-w09DTkRwTgCffMk0os,https://lh3.googleusercontent.com/p/AF1QipN76fGTGu87O-adLtT_fIzvveVrisBfqCoxoVwG=w408-h240-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",ggm.auraclinicdentalaest.69@antidote-temp.com,FALSE,pending,unclaimed
Dental Aesthetica,dental-aesthetica,,"F-45, Basement, South City II, near F Block, Market, Sector 50, Gurugram, Haryana 122018, India",Gurugram,Haryana,India,122018,28.4172869,77.0566747,919716262600,,https://www.dentalaesthetica.co.in/,"Dental clinic, Dental hygienist, Dentist, Hospital","{""Monday"": ""10\u202fAM to 8:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 8:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 8:30\u202fPM"", ""Thursday"": ""10\u202fAM to 8:30\u202fPM"", ""Friday"": ""10\u202fAM to 8:30\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM""}",4.7,49,ChIJU0xNW4QiDTkRBp_kjZE2LDE,https://www.google.com/maps/search/?api=1&query=Dental%20Aesthetica&query_place_id=ChIJU0xNW4QiDTkRBp_kjZE2LDE,https://lh3.googleusercontent.com/p/AF1QipP0FX1K2O_SgMxE4RqhZXwgkFFa31NkOajVkpI0=w858-h240-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ggm.dentalaesthetica.80@antidote-temp.com,FALSE,pending,unclaimed
