name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Revera Clinic,revera-clinic,,"#Prime plaza-304,Besides ""West Side"",HimayatNagar,Main Road, Hyderabad, Telangana 500029, India",Hyderabad,Telangana,India,500029,17.4015388,78.4848302,918341057464,,http://www.revera.in/,"Plastic surgeon, Cosmetic surgeon, Dermatologist, Obstetrician-gynecologist, Hair transplantation clinic, Laser hair removal service, Permanent make-up clinic, Plastic surgery clinic, Skin care clinic, Tattoo removal service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,1160,ChIJhcOH4tyZyzsRN1AHrG8xZ5I,https://www.google.com/maps/search/?api=1&query=Revera%20Clinic&query_place_id=ChIJhcOH4tyZyzsRN1AHrG8xZ5I,https://lh3.googleusercontent.com/p/AF1QipMZobC2ccqUGF7aMboIxFzFxuNTXhK2LampN8i9=w408-h312-k-no,"Wheelchair Accessible, Appointment Required",reveraclinic.48@antidote-temp.com,FALSE,pending,unclaimed
"Revera Clinic Gachibowli | Plastic Surgery, Breast Reduction, Cosmetic Gynecology, Permanent Makeup, Dermatology, Kondapur",revera-clinic-gachibowli-plastic-surgery-breast-reduction-cosmetic-gynecology-permanent-makeup-dermatology-kondapur,,"4th floor, Sri Tirumala's Subash Arcade 1-62/1, Survey No 39 Next to Sarath City Capital Mall (AMB Cinemas Gachibowli – Miyapur Road, Kondapur, District, Kondapur, Telangana 500084, India",Kondapur,Telangana,India,500084,17.4578294,78.365139,918341057464,,https://www.revera.in/procedures/,"Plastic surgeon, Cosmetic surgeon, Dermatologist, Obstetrician-gynecologist, Gynecologist, Laser hair removal service, Permanent make-up clinic, Plastic surgery clinic, Skin care clinic, Surgeon","{""Monday"": ""10\u202fAM to 9:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 9:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 9:30\u202fPM"", ""Thursday"": ""10\u202fAM to 9:30\u202fPM"", ""Friday"": ""10\u202fAM to 9:30\u202fPM"", ""Saturday"": ""10\u202fAM to 9:30\u202fPM"", ""Sunday"": ""10\u202fAM to 9:30\u202fPM""}",5,1014,ChIJx9o-_HSZyzsRBHoKYzx3eSE,https://www.google.com/maps/search/?api=1&query=Revera%20Clinic%20Gachibowli%20%7C%20Plastic%20Surgery%2C%20Breast%20Reduction%2C%20Cosmetic%20Gynecology%2C%20Permanent%20Makeup%2C%20Dermatology%2C%20Kondapur&query_place_id=ChIJx9o-_HSZyzsRBHoKYzx3eSE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npMcRPXIfbCpTk5Ig0VCl6qNwNQVfTYPRXbwrKTrMFb-fy6saflyqxK9KOJCkQ5oXGLgPtdrP-kKpliiXPClWCClBknZ-HchJYPwM7la_g0tJH8yGT43aFhl9yVY9vAlkAulIE=w408-h306-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted",reveraclinicgachibow.74@antidote-temp.com,FALSE,pending,unclaimed
Dr Sushma Raavi - Advanced Skin & Hair Clinic,dr-sushma-raavi-advanced-skin-hair-clinic,,"2nd floor, Guv-Vivilash Chambers, theNewYou, Opp KBR Park main Gate, Indo American Cancer Hospital Road 8-2, 293/104, Road No. 14, Banjara Hills, Hyderabad, Telangana 500034, India",Hyderabad,Telangana,India,500034,17.4221156,78.4283144,919491041038,,https://drsushmaraavi.com/,"Skin care clinic, Doctor, Laser hair removal service, Pediatric dermatologist, Dermatologist","{""Monday"": ""11\u202fAM to 4\u202fPM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""11\u202fAM to 4\u202fPM"", ""Thursday"": ""Closed"", ""Friday"": ""11\u202fAM to 4\u202fPM"", ""Saturday"": ""11\u202fAM to 4\u202fPM"", ""Sunday"": ""Closed""}",5,938,ChIJ-525K5mXyzsR5yUDZ9b8ROY,https://www.google.com/maps/search/?api=1&query=Dr%20Sushma%20Raavi%20-%20Advanced%20Skin%20%26%20Hair%20Clinic&query_place_id=ChIJ-525K5mXyzsR5yUDZ9b8ROY,https://lh3.googleusercontent.com/p/AF1QipOHanKx6V7GJAc-JbwJkSILRPNuw8NGkhhDYN19=w426-h240-k-no,,drsushmaraaviadvance.686@antidote-temp.com,FALSE,pending,unclaimed
"Orchid Cosmetic Clinics | Hair Transplant | Dermatologist | Skin Specialist in Kondapur, Hitech City Hyderabad",orchid-cosmetic-clinics-hair-transplant-dermatologist-skin-specialist-in-kondapur-hitech-city-hyderabad,,"1st floor, Sri Mytri Square, Sarath City Capital Mall, 104, Gachibowli - Miyapur Rd, opposite AMB cinemas, Laxmi Cyber City, Whitefields, Kondapur, Hyderabad, Telangana 500081, India","Kondapur, Hyderabad",Telangana,India,500081,17.4574706,78.3656685,919491941941,,https://orchidcosmeticclinics.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""Closed"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 9\u202fPM""}",5,835,ChIJTaGTfWqTyzsRxhTfRIyc1bs,https://www.google.com/maps/search/?api=1&query=Orchid%20Cosmetic%20Clinics%20%7C%20Hair%20Transplant%20%7C%20Dermatologist%20%7C%20Skin%20Specialist%20in%20Kondapur%2C%20Hitech%20City%20Hyderabad&query_place_id=ChIJTaGTfWqTyzsRxhTfRIyc1bs,https://lh3.googleusercontent.com/p/AF1QipNw1RwM0Ya9J_2R18OM8TO2Uy4CVEvM7ZuL50iH=w408-h725-k-no,Credit Cards Accepted,orchidcosmeticclinic.94@antidote-temp.com,FALSE,pending,unclaimed
Dr. B.R.N. Padmini | Best Plastic Surgeon in Hyderabad | Female Cosmetic Surgeon | Rhinoplasty & Liposuction | Breast Surgeon,dr-brn-padmini-best-plastic-surgeon-in-hyderabad-female-cosmetic-surgeon-rhinoplasty-liposuction-breast-surgeon,,"Survey No.74, Star Hospitals, Financial District, Nanakramguda, Hyderabad, Telangana 500008, India","Nanakramguda, Hyderabad",Telangana,India,500008,17.4190351,78.3540825,919000543354,,https://eleganceaesthetica.com/doctors/best-plastic-surgeon-in-hyderabad/,"Plastic surgeon, Cosmetic surgeon, Hair transplantation clinic, Plastic surgery clinic, Weight loss service","{""Monday"": ""8\u202fAM to 9\u202fPM"", ""Tuesday"": ""8\u202fAM to 9\u202fPM"", ""Wednesday"": ""8\u202fAM to 9\u202fPM"", ""Thursday"": ""8\u202fAM to 9\u202fPM"", ""Friday"": ""8\u202fAM to 9\u202fPM"", ""Saturday"": ""8\u202fAM to 9\u202fPM"", ""Sunday"": ""8\u202fAM to 9\u202fPM""}",5,586,ChIJ-7EgkzaTyzsRTBCQpkgagYM,https://www.google.com/maps/search/?api=1&query=Dr.%20B.R.N.%20Padmini%20%7C%20Best%20Plastic%20Surgeon%20in%20Hyderabad%20%7C%20Female%20Cosmetic%20Surgeon%20%7C%20Rhinoplasty%20%26%20Liposuction%20%7C%20Breast%20Surgeon&query_place_id=ChIJ-7EgkzaTyzsRTBCQpkgagYM,https://lh3.googleusercontent.com/p/AF1QipPT_o8Xz9AjFVZQwmnas9inMsUOTijCZQBmkNod=w408-h612-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",drbrnpadminibestplas.1015@antidote-temp.com,FALSE,pending,unclaimed
L'Avenir Skin & Hair Clinic - KPHB,lavenir-skin-hair-clinic-kphb,,"Green Hills Rd, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072, India",Hyderabad,Telangana,India,500072,17.46806,78.3959306,918008800480,,https://www.lavenirclinic.com/,"Tattoo removal service, Dermatologist, Hair removal service, Hospital, Laser hair removal service, Skin care clinic","{""Monday"": ""9:30\u202fAM to 1:30\u202fPM, 4 to 8:30\u202fPM"", ""Tuesday"": ""9:30\u202fAM to 1:30\u202fPM, 4 to 8:30\u202fPM"", ""Wednesday"": ""9:30\u202fAM to 1:30\u202fPM, 4 to 8:30\u202fPM"", ""Thursday"": ""Closed"", ""Friday"": ""9:30\u202fAM to 1:30\u202fPM, 4 to 8:30\u202fPM"", ""Saturday"": ""9:30\u202fAM to 1:30\u202fPM, 4 to 8:30\u202fPM"", ""Sunday"": ""10\u202fAM to 1\u202fPM, 4 to 8:30\u202fPM""}",5,576,ChIJVVE56ZKRyzsRqgNTjhycEZ0,https://www.google.com/maps/search/?api=1&query=L'Avenir%20Skin%20%26%20Hair%20Clinic%20-%20KPHB&query_place_id=ChIJVVE56ZKRyzsRqgNTjhycEZ0,https://lh3.googleusercontent.com/p/AF1QipN32iILZmmBZys82dnHBb9V9p_IYPGefrDMU3-b=w408-h544-k-no,Credit Cards Accepted,lavenirskinhairclini.389@antidote-temp.com,FALSE,pending,unclaimed
"Dr Ankita Harijee | Plastic, Reconstructive & Aesthetic Surgeon | Star Hospitals, Nanakramguda Hyderabad",dr-ankita-harijee-plastic-reconstructive-aesthetic-surgeon-star-hospitals-nanakramguda-hyderabad,,"Star Hospitals, Intercontinental Tower, Nanakramguda Rd, Financial District, Hyderabad, Makthakousarali, Telangana 500008, India","Hyderabad, Makthakousarali",Telangana,India,500008,17.4187553,78.3540162,,,https://starhospitals.in/specialities/plastic-surgery-hospital-in-hyderabad,"Plastic surgeon, Cosmetic surgeon","{""Monday"": ""10\u202fAM to 5\u202fPM"", ""Tuesday"": ""10\u202fAM to 5\u202fPM"", ""Wednesday"": ""10\u202fAM to 5\u202fPM"", ""Thursday"": ""10\u202fAM to 5\u202fPM"", ""Friday"": ""10\u202fAM to 5\u202fPM"", ""Saturday"": ""10\u202fAM to 5\u202fPM"", ""Sunday"": ""Closed""}",5,451,ChIJd5MNv9mTyzsRDLUv3G3LAuI,https://www.google.com/maps/search/?api=1&query=Dr%20Ankita%20Harijee%20%7C%20Plastic%2C%20Reconstructive%20%26%20Aesthetic%20Surgeon%20%7C%20Star%20Hospitals%2C%20Nanakramguda%20Hyderabad&query_place_id=ChIJd5MNv9mTyzsRDLUv3G3LAuI,https://lh3.googleusercontent.com/p/AF1QipPuu1JW5ztMG7sxdQBTsF1gfFyBHDwNy30yhNsw=w408-h544-k-no,"Wheelchair Accessible, Digital Payments",drankitaharijeeplast.747@antidote-temp.com,FALSE,pending,unclaimed
Youniq Plastic Surgery,youniq-plastic-surgery,,"1335/A, Cable Bridge Rd, Jubilee Hills, Hyderabad, Telangana 500033, India",Hyderabad,Telangana,India,500033,17.4256143,78.4085825,919055534567,,http://www.youniqsurgery.com/,"Plastic surgery clinic, Hair transplantation clinic, Laser hair removal service, Plastic surgeon, Private hospital, Skin care clinic, Surgical center","{""Monday"": ""9\u202fAM to 7\u202fPM"", ""Tuesday"": ""9\u202fAM to 7\u202fPM"", ""Wednesday"": ""9\u202fAM to 7\u202fPM"", ""Thursday"": ""9\u202fAM to 7\u202fPM"", ""Friday"": ""9\u202fAM to 7\u202fPM"", ""Saturday"": ""9\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",5,415,ChIJAVd2hjSRyzsRE3UUB8OOTRo,https://www.google.com/maps/search/?api=1&query=Youniq%20Plastic%20Surgery&query_place_id=ChIJAVd2hjSRyzsRE3UUB8OOTRo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUjdy88MoyOp2bJnSBtST7fzhqtUsMkOlro7c0WCVZMwFWEWo9TwKDQEXZJfNZwQ8jRJX_GE_M1Wqhd0RB_mDvCZbnpeKYNgA5xh0K1gSR3xrjVWr9-S6kJ96ihAcb_H6INtD2=w408-h306-k-no,,youniqplasticsurgery.53@antidote-temp.com,FALSE,pending,unclaimed
"Derma 360 Skin, Hair & Laser Clinic Jubilee Hills",derma-360-skin-hair-laser-clinic-jubilee-hills,,"Plot no 34, Apollo Life studio building, Guttala_Begumpet, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081, India",Hyderabad,Telangana,India,500081,17.4405836,78.3981454,919100068187,,https://www.derma360clinics.in/,"Skin care clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""9\u202fAM to 9\u202fPM"", ""Tuesday"": ""9\u202fAM to 9\u202fPM"", ""Wednesday"": ""9\u202fAM to 9\u202fPM"", ""Thursday"": ""9\u202fAM to 9\u202fPM"", ""Friday"": ""9\u202fAM to 9\u202fPM"", ""Saturday"": ""9\u202fAM to 9\u202fPM"", ""Sunday"": ""9\u202fAM to 9\u202fPM""}",5,378,ChIJJWXwsi-RyzsR55Mirlf82xw,https://www.google.com/maps/search/?api=1&query=Derma%20360%20Skin%2C%20Hair%20%26%20Laser%20Clinic%20Jubilee%20Hills&query_place_id=ChIJJWXwsi-RyzsR55Mirlf82xw,https://lh3.googleusercontent.com/p/AF1QipNbJPK8mnfeWIH8gO95ctjC9wd6xgankq48-e00=w408-h510-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted",derma360skinhairlase.461@antidote-temp.com,FALSE,pending,unclaimed
"Skin Bliss Skin & Hair Clinic - Jubilee Hills, Hyderabad",skin-bliss-skin-hair-clinic-jubilee-hills-hyderabad,,"3rd floor, 8-2-293, 564A-22/1, Road No. 92, near Viatris Laboratories, MLA Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",Hyderabad,Telangana,India,500033,17.4157552,78.4198011,919949384513,,https://skinblissclinics.com/,"Skin care clinic, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist, Dermatologist","{""Monday"": ""10\u202fAM to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 9\u202fPM""}",5,372,ChIJW0uHR5GXyzsRQPboi8xMGmI,https://www.google.com/maps/search/?api=1&query=Skin%20Bliss%20Skin%20%26%20Hair%20Clinic%20-%20Jubilee%20Hills%2C%20Hyderabad&query_place_id=ChIJW0uHR5GXyzsRQPboi8xMGmI,https://lh3.googleusercontent.com/p/AF1QipPWd4kMFmtOMJl5MvIba2om82yqmgOZFRcpFSct=w408-h306-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",skinblissskinhaircli.683@antidote-temp.com,FALSE,pending,unclaimed
