name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Diva Aesthetics & Cosmetics,diva-aesthetics-cosmetics,,"16, Mahar House, Gangapole Road Jorawar Singh Gate Subhash chowk, Amer Rd, Jaipur, Rajasthan 302002, India",Jaipur,Rajasthan,India,302002,26.9337846,75.8346903,919554275574,,http://divaaesthetic.com/,"Skin care clinic, Dermatologist, Laser hair removal service, Tattoo removal service","{""Monday"": ""11\u202fAM to 7\u202fPM"", ""Tuesday"": ""11\u202fAM to 7\u202fPM"", ""Wednesday"": ""11\u202fAM to 7\u202fPM"", ""Thursday"": ""11\u202fAM to 7\u202fPM"", ""Friday"": ""11\u202fAM to 7\u202fPM"", ""Saturday"": ""11\u202fAM to 7\u202fPM"", ""Sunday"": ""11\u202fAM to 2\u202fPM""}",4.8,69,ChIJhWp4_hOxbTkR1N7EbZxt55A,https://www.google.com/maps/search/?api=1&query=Diva%20Aesthetics%20%26%20Cosmetics&query_place_id=ChIJhWp4_hOxbTkR1N7EbZxt55A,https://lh3.googleusercontent.com/p/AF1QipP59MNAl23VrbFE1E2O82v4JGQaxy6PnnfXugHA=w408-h306-k-no,"Credit Cards Accepted, Appointment Required",jai.divaaestheticscosmet.1@antidote-temp.com,FALSE,pending,unclaimed
FolliSkin Aesthetic Clinic,folliskin-aesthetic-clinic,,"S-1, Luhadia Tower, Ashok Marg, C-Scheme, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,Rajasthan,India,302001,26.9143442,75.8077255,918369555325,,https://www.folliskin.com/,"Skin care clinic, Hair removal service, Hair replacement service, Hair transplantation clinic","{""Monday"": ""Closed"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",4.9,15,ChIJiSDcrP-3bTkRSJlflTnkfAk,https://www.google.com/maps/search/?api=1&query=FolliSkin%20Aesthetic%20Clinic&query_place_id=ChIJiSDcrP-3bTkRSJlflTnkfAk,https://lh3.googleusercontent.com/p/AF1QipNn2qRAYKqUDi-lTcfwUmfJ557zoRgC524cKTzT=w408-h906-k-no,,jai.folliskinaestheticcl.2@antidote-temp.com,FALSE,pending,unclaimed
Jaipur Aesthetics Clinic,jaipur-aesthetics-clinic,,"12 A-1, Vivekanand Marg, Dusadon Ka Bagh, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,Rajasthan,India,302001,26.9078609,75.814911,916350645134,,"https://wa.me/916350645134?text=Hi,%20I%20want%20to%20book%20an%20appointment","Skin care clinic, Laser hair removal service","{""Monday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Thursday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Friday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Sunday"": ""10:30\u202fAM to 7:30\u202fPM""}",5,60,ChIJn9HXeVS3bTkRK2tiX3qiaws,https://www.google.com/maps/search/?api=1&query=Jaipur%20Aesthetics%20Clinic&query_place_id=ChIJn9HXeVS3bTkRK2tiX3qiaws,https://lh3.googleusercontent.com/p/AF1QipNGsggcDqJlosIhkRyhhpjoePoEBXpKRQ1XH7LQ=w408-h612-k-no,"Digital Payments, Appointment Required",jai.jaipuraestheticsclin.3@antidote-temp.com,FALSE,pending,unclaimed
Kamya Aesthetics,kamya-aesthetics,,"Geeta Enclave, 203 - 204, Vinobha Marg, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,Rajasthan,India,302001,26.9163094,75.8071077,919773380524,,http://kamyaaesthetics.com/,Skin care clinic,"{""Monday"": ""10\u202fAM to 6\u202fPM"", ""Tuesday"": ""10\u202fAM to 6\u202fPM"", ""Wednesday"": ""10\u202fAM to 6\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 6\u202fPM"", ""Saturday"": ""10\u202fAM to 6\u202fPM"", ""Sunday"": ""10\u202fAM to 6\u202fPM""}",5,29,ChIJUeZ5d6q2bTkR_PSuxgWja5A,https://www.google.com/maps/search/?api=1&query=Kamya%20Aesthetics&query_place_id=ChIJUeZ5d6q2bTkR_PSuxgWja5A,https://lh3.googleusercontent.com/p/AF1QipOTUolWOgiAAA4qruAzDA78eDVLP5A3PiyQmyVs=w408-h613-k-no,,jai.kamyaaesthetics.4@antidote-temp.com,FALSE,pending,unclaimed
Clinic Dermatech,clinic-dermatech,,"Ground Floor, Ashok Marg, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,Rajasthan,India,302001,26.9137932,75.8064144,918588802669,,https://clinicdermatech.com/store-locator?keywords=Jaipur,"Laser hair removal service, Cosmetic surgeon, Dermatologist, Doctor, Facial spa, Hair removal service, Hair replacement service, Medical clinic, Skin care clinic, Weight loss service","{""Monday"": ""9\u202fAM to 8\u202fPM"", ""Tuesday"": ""9\u202fAM to 8\u202fPM"", ""Wednesday"": ""9\u202fAM to 8\u202fPM"", ""Thursday"": ""9\u202fAM to 8\u202fPM"", ""Friday"": ""9\u202fAM to 8\u202fPM"", ""Saturday"": ""9\u202fAM to 8\u202fPM"", ""Sunday"": ""9\u202fAM to 8\u202fPM""}",4.6,253,ChIJuQAXWfy1bTkRCrHirX5etm8,https://www.google.com/maps/search/?api=1&query=Clinic%20Dermatech&query_place_id=ChIJuQAXWfy1bTkRCrHirX5etm8,https://lh3.googleusercontent.com/p/AF1QipMup9eWG08xBzt-B3O5QbMSlXKvhXKatfTYWBzH=w408-h306-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",jai.clinicdermatech.5@antidote-temp.com,FALSE,pending,unclaimed
Aura Skin & Health Clinic,aura-skin-health-clinic,,"J-108, Ashok Chowk, Adarsh Nagar, Jaipur, Rajasthan 302004, India",Jaipur,Rajasthan,India,302004,26.9061458,75.8279794,918440066723,,,Medical clinic,"{""Monday"": ""3 to 8\u202fPM"", ""Tuesday"": ""3 to 8\u202fPM"", ""Wednesday"": ""3 to 8\u202fPM"", ""Thursday"": ""3 to 8\u202fPM"", ""Friday"": ""3 to 8\u202fPM"", ""Saturday"": ""3 to 8\u202fPM"", ""Sunday"": ""Closed""}",4.9,189,ChIJe2Et2Xe3bTkRY8nvwUhgAfo,https://www.google.com/maps/search/?api=1&query=Aura%20Skin%20%26%20Health%20Clinic&query_place_id=ChIJe2Et2Xe3bTkRY8nvwUhgAfo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqVnGVuhRlXoxhIHDyjhhVQM-i2wtY9FLpIY8KfnFQJD4T_2zO1B_xZ_3yFi8CMWof1sB3NAaVkUv7IbUymQO0KvCCzxACmGIAaVWBZ3jcS1J9gB56Ab1NgvOI40kSCZ--TECD=w408-h306-k-no,"Free Parking, Digital Payments, Appointment Required",jai.auraskinhealthclinic.7@antidote-temp.com,FALSE,pending,unclaimed
Revive Acne & Facial Aesthetic Clinic,revive-acne-facial-aesthetic-clinic,,"Nandan Apartment, C 72, Sarojini Marg, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,Rajasthan,India,302001,26.9104262,75.8082087,,,https://sites.google.com/view/reviveacneclinic/home,Skin care clinic,"{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",5,2,ChIJkUm9l2u3bTkRMmPH-vkpb7I,https://www.google.com/maps/search/?api=1&query=Revive%20Acne%20%26%20Facial%20Aesthetic%20Clinic&query_place_id=ChIJkUm9l2u3bTkRMmPH-vkpb7I,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y8zxo5jvNxdNa9wFJmd55Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=42.932243&pitch=0&thumbfov=100,"Wheelchair Accessible, Digital Payments, Appointment Required",jai.reviveacnefacialaest.8@antidote-temp.com,FALSE,pending,unclaimed
SKINOVATIVE AESTHETICS,skinovative-aesthetics,,"G1, Vishnu Paradise, Udai Marg, Tilak Nagar, Jaipur, Rajasthan 302004, India",Jaipur,Rajasthan,India,302004,26.8911659,75.8283605,,,,Skin care clinic,"{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""11\u202fAM to 5\u202fPM""}",4.8,21,ChIJiyV1Xya3bTkRSY-acA0LbJg,https://www.google.com/maps/search/?api=1&query=SKINOVATIVE%20AESTHETICS&query_place_id=ChIJiyV1Xya3bTkRSY-acA0LbJg,https://lh3.googleusercontent.com/p/AF1QipNGiy_b5NPKSvEyt1Q3H7YaqEFFpgCIbKz1qa2F=w408-h725-k-no,Credit Cards Accepted,jai.skinovativeaesthetic.9@antidote-temp.com,FALSE,pending,unclaimed
P-ESTHETICO Cosmetic & Aesthetic Equipment Dealer,p-esthetico-cosmetic-aesthetic-equipment-dealer,,"F, 143, Azad Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,Rajasthan,India,302001,26.9099836,75.7970603,919772281117,,https://www.pestheticoclinic.com/,Cosmetic surgeon,"{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,5,ChIJM2NwwFq1bTkRDwy0XCYKziQ,https://www.google.com/maps/search/?api=1&query=P-ESTHETICO%20Cosmetic%20%26%20Aesthetic%20Equipment%20Dealer&query_place_id=ChIJM2NwwFq1bTkRDwy0XCYKziQ,https://lh3.googleusercontent.com/p/AF1QipMXLiy-jLVx4aFfkdKUQmeiq9Oi4vMakR5_uqJ2=w408-h271-k-no,,jai.pestheticocosmeticae.10@antidote-temp.com,FALSE,pending,unclaimed
"Punarnawah Laser & Aesthetic Centre - Dermatology, Pigmentation Treatment and Skin Care Clinic in Jaipur",punarnawah-laser-aesthetic-centre-dermatology-pigmentation-treatment-and-skin-care-clinic-in-jaipur,,"2nd floor, Gaurav Square, Hawa Sadak Rd, Gaurav Nagar, Civil Lines, Jaipur, Rajasthan 302007, India",Jaipur,Rajasthan,India,302007,26.901694,75.7811258,917375022555,,http://www.punarnawah.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Facial spa, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Plastic surgeon, Tattoo removal service","{""Monday"": ""10\u202fAM to 6\u202fPM"", ""Tuesday"": ""10\u202fAM to 6\u202fPM"", ""Wednesday"": ""10\u202fAM to 6\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 6\u202fPM"", ""Saturday"": ""10\u202fAM to 6\u202fPM"", ""Sunday"": ""10\u202fAM to 6\u202fPM""}",4.8,615,ChIJfXhw1XO1bTkR6eNVRwrhY3I,https://www.google.com/maps/search/?api=1&query=Punarnawah%20Laser%20%26%20Aesthetic%20Centre%20-%20Dermatology%2C%20Pigmentation%20Treatment%20and%20Skin%20Care%20Clinic%20in%20Jaipur&query_place_id=ChIJfXhw1XO1bTkR6eNVRwrhY3I,https://lh3.googleusercontent.com/p/AF1QipNANHrhwBowPDq9kpe_ESwKNLswyiJ-WOTvXBbc=w408-h544-k-no,"Parking Available, Digital Payments, Appointment Required",jai.punarnawahlaseraesth.11@antidote-temp.com,FALSE,pending,unclaimed
