name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Cosmo Arts Clinic | Best Plastic Surgery Clinic in Kolkata,cosmo-arts-clinic-best-plastic-surgery-clinic-in-kolkata,,"Ground Floor, 199, Jodhpur Gardens, Lake Gardens, Kolkata, West Bengal 700045, India",Kolkata,West Bengal,India,700045,22.5033926,88.3582227,918420269595,,https://www.cosmoartsclinic.com/,"Plastic surgery clinic, Cosmetic surgeon, Hair transplantation clinic, Plastic surgeon","{""Monday"": ""11\u202fAM to 7\u202fPM"", ""Tuesday"": ""11\u202fAM to 7\u202fPM"", ""Wednesday"": ""11\u202fAM to 7\u202fPM"", ""Thursday"": ""11\u202fAM to 7\u202fPM"", ""Friday"": ""11\u202fAM to 7\u202fPM"", ""Saturday"": ""11\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.8,18,ChIJzdB2IoxxAjoRzMIltFo0x4A,https://www.google.com/maps/search/?api=1&query=Cosmo%20Arts%20Clinic%20%7C%20Best%20Plastic%20Surgery%20Clinic%20in%20Kolkata&query_place_id=ChIJzdB2IoxxAjoRzMIltFo0x4A,https://lh3.googleusercontent.com/p/AF1QipOyozi0CiO9x97h3gDA9MOojj1HBSGfIM_jmsyN=w426-h240-k-no,Credit Cards Accepted,kol.cosmoartsclinicbestp.1@antidote-temp.com,FALSE,pending,unclaimed
Cosmetic Surgery Clinic,cosmetic-surgery-clinic,,"Flat 5B, 12, Sir UN Brahmachari Sarani, Elgin, Kolkata, West Bengal 700017, India",Kolkata,West Bengal,India,700017,22.5429211,88.3561181,913322828500,,http://www.plasticsurgery-india.com/,"Plastic surgery clinic, Cosmetic surgeon, Dermatologist, Hair transplantation clinic, Laser hair removal service, Plastic surgeon, Skin care clinic","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.5,19,ChIJOSyuVxh3AjoRHaXeUIFu1m8,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Surgery%20Clinic&query_place_id=ChIJOSyuVxh3AjoRHaXeUIFu1m8,https://lh3.googleusercontent.com/p/AF1QipNHmlSO1efokR9NbBKSUsxq0-KMtqXlWANfhv4g=w408-h272-k-no,Wheelchair Accessible,kol.cosmeticsurgeryclini.2@antidote-temp.com,FALSE,pending,unclaimed
Kaayakalp Clinic,kaayakalp-clinic,,"P-158, 2nd floor, CIT Rd, Scheme VI-M, Kankurgachi, Kolkata, West Bengal 700054, India",Kolkata,West Bengal,India,700054,22.5777714,88.391227,919831662311,,https://kaayakalp.in/,"Hair transplantation clinic, Hair removal service, Laser hair removal service, Plastic surgery clinic","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 1:57\u202fPM""}",4.6,229,ChIJY7WTA3B2AjoRBXk1CVD-WyI,https://www.google.com/maps/search/?api=1&query=Kaayakalp%20Clinic&query_place_id=ChIJY7WTA3B2AjoRBXk1CVD-WyI,https://lh3.googleusercontent.com/p/AF1QipNuFHABRwcjI6lczHqXPmLoAgD_k7Kk1FzGhMDS=w408-h306-k-no,"Digital Payments, Appointment Required",kol.kaayakalpclinic.3@antidote-temp.com,FALSE,pending,unclaimed
Calcutta Cosmo Aid,calcutta-cosmo-aid,,"42 B, Harish Mukherjee Rd, Bhowanipore, Kolkata, West Bengal 700025, India",Kolkata,West Bengal,India,700025,22.536319,88.3437996,919830538370,,http://www.cosmoaid.com/,"Plastic surgery clinic, Cosmetic surgeon, Hair removal service, Hair replacement service, Laser hair removal service, Pediatric surgeon, Pediatrician, Plastic surgeon, Transplant surgeon","{""Monday"": ""10\u202fAM to 5:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 5:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 5:30\u202fPM"", ""Thursday"": ""10\u202fAM to 5:30\u202fPM"", ""Friday"": ""10\u202fAM to 5:30\u202fPM"", ""Saturday"": ""10\u202fAM to 5:30\u202fPM"", ""Sunday"": ""Closed""}",4.9,574,ChIJLa-aez93AjoRm5RiGaEEcw0,https://www.google.com/maps/search/?api=1&query=Calcutta%20Cosmo%20Aid&query_place_id=ChIJLa-aez93AjoRm5RiGaEEcw0,https://lh3.googleusercontent.com/p/AF1QipN8WB_Hqu88GH0lxDgk7dGZr-K7LTvchQfydvMv=w408-h257-k-no,,kol.calcuttacosmoaid.4@antidote-temp.com,FALSE,pending,unclaimed
Prof. Dr. Srinjoy Saha,prof-dr-srinjoy-saha,,"Apollo Gleneagles Hospital Day Care Building, 2nd Floor Surgery Wing 58 Canal Circular Road, Off, Eastern Metropolitan Bypass, Kolkata, West Bengal 700054, India",Kolkata,West Bengal,India,700054,22.5732088,88.4011607,919874633896,,https://www.apollohospitals.com/doctors/plastic-surgeon/kolkata/dr-srinjoy-saha/,"Plastic surgeon, Body shaping class, Cosmetic surgeon, Hair transplantation clinic, Hand surgeon, Oral and maxillofacial surgeon","{""Monday"": ""10\u202fAM to 5\u202fPM"", ""Tuesday"": ""10\u202fAM to 5\u202fPM"", ""Wednesday"": ""10\u202fAM to 5\u202fPM"", ""Thursday"": ""10\u202fAM to 5\u202fPM"", ""Friday"": ""10\u202fAM to 5\u202fPM"", ""Saturday"": ""10\u202fAM to 5\u202fPM"", ""Sunday"": ""Closed""}",4.1,114,ChIJ8YOfeM1wAjoRaCGulT7ok68,https://www.google.com/maps/search/?api=1&query=Prof.%20Dr.%20Srinjoy%20Saha&query_place_id=ChIJ8YOfeM1wAjoRaCGulT7ok68,https://lh3.googleusercontent.com/p/AF1QipMbExnguM7fE0OVAeNnbQOeS-uTQHpnFRqelgpz=w408-h272-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",kol.profdrsrinjoysaha.5@antidote-temp.com,FALSE,pending,unclaimed
Zenith Clinic Kolkata Plastic Surgeon |Gynecomastia surgery | Rhinoplasty | Lipoma | transgender surgery | Liposuction,zenith-clinic-kolkata-plastic-surgeon-gynecomastia-surgery-rhinoplasty-lipoma-transgender-surgery-liposuction,,"Sterling Hospital, 55/1, Bhupendra Bose Ave, Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700004, India",Kolkata,West Bengal,India,700004,22.599935,88.3677625,918225976859,,https://zenithplasticsurgery.in/,Plastic surgeon,"{""Monday"": ""9\u202fAM to 7\u202fPM"", ""Tuesday"": ""9\u202fAM to 7\u202fPM"", ""Wednesday"": ""9\u202fAM to 7\u202fPM"", ""Thursday"": ""9\u202fAM to 7\u202fPM"", ""Friday"": ""9\u202fAM to 7\u202fPM"", ""Saturday"": ""9\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.9,36,ChIJSXJBXk6d-DkR6eE_-y77vrg,https://www.google.com/maps/search/?api=1&query=Zenith%20Clinic%20Kolkata%20Plastic%20Surgeon%20%7CGynecomastia%20surgery%20%7C%20Rhinoplasty%20%7C%20Lipoma%20%7C%20transgender%20surgery%20%7C%20Liposuction&query_place_id=ChIJSXJBXk6d-DkR6eE_-y77vrg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyu6yx0EkTQIO820zl71Q4xQAiYdHtYLAQl_miTSBVwVi3hmWDnC9jUrpctQnZw9d47P0AIxb7AYijJyB4KShXBuDxQ4lIUPQZUnp3UYIpbwA32a22_YQo1QHtZu40FOyr45lyVg=w408-h544-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",kol.zenithclinickolkatap.6@antidote-temp.com,FALSE,pending,unclaimed
Anirvana Clinic,anirvana-clinic,,"8, 29, Fern Rd, Ballygunge Gardens, Gariahat, Kolkata, West Bengal 700019, India",Kolkata,West Bengal,India,700019,22.5187875,88.3673612,916289109687,,https://anirvana.in/,"Plastic surgeon, Cosmetic surgeon, Dermatologist, Plastic surgery clinic","{""Monday"": ""11\u202fAM to 8\u202fPM"", ""Tuesday"": ""11\u202fAM to 8\u202fPM"", ""Wednesday"": ""11\u202fAM to 8\u202fPM"", ""Thursday"": ""11\u202fAM to 8\u202fPM"", ""Friday"": ""11\u202fAM to 8\u202fPM"", ""Saturday"": ""11\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.8,524,ChIJ8QsX6lh3AjoRTQGhy-1c9XE,https://www.google.com/maps/search/?api=1&query=Anirvana%20Clinic&query_place_id=ChIJ8QsX6lh3AjoRTQGhy-1c9XE,https://lh3.googleusercontent.com/p/AF1QipMdRSf-W_h4Ueszhf594E5odyZn4FPR4sq--1Yj=w408-h306-k-no,"Free Parking, Appointment Required",kol.anirvanaclinic.7@antidote-temp.com,FALSE,pending,unclaimed
The Calcutta Aesthetic Surgery Clinic,the-calcutta-aesthetic-surgery-clinic,,"34/1M, 2nd Floor, Mayalaya Building,, Ballygunge Circular Road, Kolkata, West Bengal 700019, India",Kolkata,West Bengal,India,700019,22.5264939,88.3614008,919830040061,,,"Plastic surgeon, Hair transplantation clinic, Laser hair removal service, Plastic surgery clinic, Skin care clinic","{""Monday"": ""12:30 to 8\u202fPM"", ""Tuesday"": ""12:30 to 8\u202fPM"", ""Wednesday"": ""12:30 to 8\u202fPM"", ""Thursday"": ""12:30 to 8\u202fPM"", ""Friday"": ""12:30 to 8\u202fPM"", ""Saturday"": ""12:30 to 8\u202fPM"", ""Sunday"": ""Closed""}",3.2,6,ChIJD2Y31yN3AjoRMASVDbUwfFE,https://www.google.com/maps/search/?api=1&query=The%20Calcutta%20Aesthetic%20Surgery%20Clinic&query_place_id=ChIJD2Y31yN3AjoRMASVDbUwfFE,https://lh3.googleusercontent.com/p/AF1QipNccwE0kJY55eoOS6IW5-2Wl6ZW6hah1Bn_SUEW=w493-h240-k-no,Appointment Required,kol.thecalcuttaaesthetic.8@antidote-temp.com,FALSE,pending,unclaimed
Cosmetic Surgery Clinic,cosmetic-surgery-clinic,,"Maruthi Buildings, 12, Sir UN Brahmachari Sarani, Elgin, Kolkata, West Bengal 700017, India",Kolkata,West Bengal,India,700017,22.5429614,88.3561228,913322829126,,https://www.plasticsurgery-india.com/hair-transplant-treatment/,"Plastic surgery clinic, Medical clinic",,3.5,2,ChIJe6yzIVN2AjoRd-hP5GhAyjs,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Surgery%20Clinic&query_place_id=ChIJe6yzIVN2AjoRd-hP5GhAyjs,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kf7U9i5ybXYorfWpvm4cJQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.81852&pitch=0&thumbfov=100,,kol.cosmeticsurgeryclini.9@antidote-temp.com,FALSE,pending,unclaimed
Doctor,doctor,,"Apollo Multispeciality Hospitals, 58, Canal Circular Rd, Kadapara, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054, India",Kolkata,West Bengal,India,700054,22.5733,88.401,918046961837,,,"Doctor, Hospital, Plastic surgeon, Surgeon","{""Monday"": ""5:30\u202fAM to 11\u202fPM"", ""Tuesday"": ""5:30\u202fAM to 11\u202fPM"", ""Wednesday"": ""5:30\u202fAM to 11\u202fPM"", ""Thursday"": ""5:30\u202fAM to 11\u202fPM"", ""Friday"": ""5:30\u202fAM to 11\u202fPM"", ""Saturday"": ""5:30\u202fAM to 11\u202fPM"", ""Sunday"": ""5:30\u202fAM to 11\u202fPM""}",5,23,ChIJL22rg7J3AjoRgHpM2dCeLZU,https://www.google.com/maps/search/?api=1&query=Doctor&query_place_id=ChIJL22rg7J3AjoRgHpM2dCeLZU,https://lh3.googleusercontent.com/p/AF1QipN_aIvE26lft6xX2KrfEABCV7z1QAj5F1TAPicM=w427-h240-k-no,"Digital Payments, Appointment Required",kol.doctor.10@antidote-temp.com,FALSE,pending,unclaimed
