name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
"Dr. Y V Rao Clinics, Vizag",dr-y-v-rao-clinics-vizag,,"Dr.YVRao Clinics, 10-50-2, I St floor, Waltair Main Rd, beside Lazarus Hospital, Visakhapatnam, Andhra Pradesh 530002, India",Visakhapatnam,Andhra Pradesh,India,530002,17.7169482,83.3082122,919963055055,,https://www.dryvrao.com/,Plastic surgeon,"{""Monday"": ""9\u202fAM to 7\u202fPM"", ""Tuesday"": ""9\u202fAM to 7\u202fPM"", ""Wednesday"": ""9:30\u202fAM to 7\u202fPM"", ""Thursday"": ""9:30\u202fAM to 7\u202fPM"", ""Friday"": ""9:30\u202fAM to 7\u202fPM"", ""Saturday"": ""9:30\u202fAM to 7:30\u202fPM"", ""Sunday"": ""9\u202fAM to 7\u202fPM""}",4.6,29,ChIJsaC91qxDOToRKBWEsTwVAqQ,https://www.google.com/maps/search/?api=1&query=Dr.%20Y%20V%20Rao%20Clinics%2C%20Vizag&query_place_id=ChIJsaC91qxDOToRKBWEsTwVAqQ,https://lh3.googleusercontent.com/p/AF1QipNjlTpEQq_KbyK51cCHSwcR8PRNrA0h_SYFz85Q=w426-h240-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",vzg.dryvraoclinicsvizag.1@antidote-temp.com,FALSE,pending,unclaimed
The Esthetic Clinics,the-esthetic-clinics,,"DOOR NO.47, Sai Spoorthy Hospital - Multi Speciality And Trauma Centre, 935, 3rd Ln, Seetamma Peta, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016, India",Visakhapatnam,Andhra Pradesh,India,530016,17.7271376,83.3066757,917028065165,,https://www.theestheticclinic.com/,Plastic surgery clinic,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",5,3,ChIJi1RDWEJDOToR99NHwIIP7_Q,https://www.google.com/maps/search/?api=1&query=The%20Esthetic%20Clinics&query_place_id=ChIJi1RDWEJDOToR99NHwIIP7_Q,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MoVt_moug1EgX7nqs2znPg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=94.52466&pitch=0&thumbfov=100,,vzg.theestheticclinics.2@antidote-temp.com,FALSE,pending,unclaimed
Dr. Sreedhar Aesthetics,dr-sreedhar-aesthetics,,"1st Floor, MVV Neeladri Building, Collector's Office Rd, Srirangapuram, Krishna Nagar, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002, India",Visakhapatnam,Andhra Pradesh,India,530002,17.7089001,83.3098349,919059200868,,https://www.drsreedharaesthetics.in/,"Plastic surgeon, Cosmetic surgeon","{""Monday"": ""9\u202fAM to 9\u202fPM"", ""Tuesday"": ""9\u202fAM to 9\u202fPM"", ""Wednesday"": ""9\u202fAM to 9\u202fPM"", ""Thursday"": ""9\u202fAM to 9\u202fPM"", ""Friday"": ""9\u202fAM to 9\u202fPM"", ""Saturday"": ""9\u202fAM to 9\u202fPM"", ""Sunday"": ""9\u202fAM to 1\u202fPM""}",5,34,ChIJA1vvhUpDOToRV0OM8-TAQ3Q,https://www.google.com/maps/search/?api=1&query=Dr.%20Sreedhar%20Aesthetics&query_place_id=ChIJA1vvhUpDOToRV0OM8-TAQ3Q,https://lh3.googleusercontent.com/p/AF1QipPyD2J6Pk2DXBZCfIB3BJDQuIAXmqcO98pdkI4e=w408-h306-k-no,"Digital Payments, Appointment Required",vzg.drsreedharaesthetics.3@antidote-temp.com,FALSE,pending,unclaimed
"VJ’s Cosmetology Skin Clinic Vizag - Acne, Pigmentation, Skin Whitening & Laser Hair Removal in Vizag | Skin Clinic in Vizag",vjs-cosmetology-skin-clinic-vizag-acne-pigmentation-skin-whitening-laser-hair-removal-in-vizag-skin-clinic-in-vizag,,"Laser hair Removal in, Vinayagar Kosala, beside Sarvani Sweets, Asilmetta Junction, Ram Nagar, Visakhapatnam, Andhra Pradesh 530003, India",Visakhapatnam,Andhra Pradesh,India,530003,17.724136,83.308877,919849797776,,http://vjcosmetologyclinics.com/,"Skin care clinic, Cosmetic surgeon, Hair removal service, Hair transplantation clinic, Laser hair removal service, Tattoo removal service","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",5,223,ChIJAQAAsEBDOToR1hupytK-YEo,https://www.google.com/maps/search/?api=1&query=VJ%E2%80%99s%20Cosmetology%20Skin%20Clinic%20Vizag%20-%20Acne%2C%20Pigmentation%2C%20Skin%20Whitening%20%26%20Laser%20Hair%20Removal%20in%20Vizag%20%7C%20Skin%20Clinic%20in%20Vizag&query_place_id=ChIJAQAAsEBDOToR1hupytK-YEo,https://lh3.googleusercontent.com/p/AF1QipP_OgVYuotuHxXZl0-VqSPJKqQxrYKEnNiPUiq9=w408-h725-k-no,"Credit Cards Accepted, Appointment Required",vzg.vjscosmetologyskincl.5@antidote-temp.com,FALSE,pending,unclaimed
VJ Clinics - Hair Loss Treatment Clinic in Vizag | PRP Treatment | GFC Treatment | Best Plastic Surgeon in Vizag,vj-clinics-hair-loss-treatment-clinic-in-vizag-prp-treatment-gfc-treatment-best-plastic-surgeon-in-vizag,,"4th Floor, hair clinic in, KGH Down Rd, opp. indus hospital, Jagadamba, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 530002, India",Visakhapatnam,Andhra Pradesh,India,530002,17.7109642,83.3026854,919849797776,,https://vjclinics.com/,"Plastic surgeon, Hair replacement service","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",4.8,16,ChIJq6pq7RpDOToRQ4s3dpCw-bo,https://www.google.com/maps/search/?api=1&query=VJ%20Clinics%20-%20Hair%20Loss%20Treatment%20Clinic%20in%20Vizag%20%7C%20PRP%20Treatment%20%7C%20GFC%20Treatment%20%7C%20Best%20Plastic%20Surgeon%20in%20Vizag&query_place_id=ChIJq6pq7RpDOToRQ4s3dpCw-bo,https://lh3.googleusercontent.com/p/AF1QipNH88la0eZPcOEHLi0FxVUgVdm2U6HKmhY5jd9_=w408-h272-k-no,,vzg.vjclinicshairlosstre.6@antidote-temp.com,FALSE,pending,unclaimed
Dr. VJs Cosmetic Surgery Hair Transplant - Best Liposuction & Gynecomastia Surgery in Vizag | Hair Clinic in Vizag,dr-vjs-cosmetic-surgery-hair-transplant-best-liposuction-gynecomastia-surgery-in-vizag-hair-clinic-in-vizag,,"4th Floor, KGH Down Rd, opp. indus hospital, Jagadamba, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 530002, India",Visakhapatnam,Andhra Pradesh,India,530002,17.7109642,83.3026854,919849797776,,https://vjclinics.com/,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Hair extension technician, Hair removal service, Hair replacement service, Laser hair removal service, Skin care clinic","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",4.8,382,ChIJq6pq7RpDOToRZE0sZdiVzMs,https://www.google.com/maps/search/?api=1&query=Dr.%20VJs%20Cosmetic%20Surgery%20Hair%20Transplant%20-%20Best%20Liposuction%20%26%20Gynecomastia%20Surgery%20in%20Vizag%20%7C%20Hair%20Clinic%20in%20Vizag&query_place_id=ChIJq6pq7RpDOToRZE0sZdiVzMs,https://lh3.googleusercontent.com/p/AF1QipM6pYlegszeB9ogb2v4rcz7MD7L59QhV3-OtBKM=w408-h272-k-no,"Wheelchair Accessible, Digital Payments",vzg.drvjscosmeticsurgery.7@antidote-temp.com,FALSE,pending,unclaimed
Dr. Anjali Saple,dr-anjali-saple,,"Seven Hills Hospital, Andhra Pradesh 530003, India",Visakhapatnam,Andhra Pradesh,India,530003,17.7173716,83.309408,919182084160,,https://www.dranjalisaple.com/,"Plastic surgeon, Surgeon","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.9,410,ChIJj8yMqoFDOToRudYeFugwW_0,https://www.google.com/maps/search/?api=1&query=Dr.%20Anjali%20Saple&query_place_id=ChIJj8yMqoFDOToRudYeFugwW_0,https://lh3.googleusercontent.com/p/AF1QipNC1iNq3_Cj3fOl9QfYLrbQwIh3huNVHmKui3uB=w408-h408-k-no,Wheelchair Accessible,vzg.dranjalisaple.8@antidote-temp.com,FALSE,pending,unclaimed
Dr. Krishna Prasad Prusty,dr-krishna-prasad-prusty,,"Chamber No. G3, 1st Floor BVS Residency, opp. Doctors Enclave, beside Baba Hospital, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002, India",Visakhapatnam,Andhra Pradesh,India,530002,17.7082797,83.308972,919985854899,,https://www.visakhapatnamdoctors.com/dr-krishna-prasad-prusty-plastic-cosmetic-surgeon.html,"Plastic surgeon, Cosmetic surgeon","{""Monday"": ""10\u202fAM to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 9\u202fPM""}",5,11,ChIJu8jEU35DOToRdZgUHzfW2qs,https://www.google.com/maps/search/?api=1&query=Dr.%20Krishna%20Prasad%20Prusty&query_place_id=ChIJu8jEU35DOToRdZgUHzfW2qs,https://lh3.googleusercontent.com/p/AF1QipOHabz5CC24-aDk7Bp_1Y9jbh8BF2LIbNgkxODH=w408-h326-k-no,,vzg.drkrishnaprasadprust.9@antidote-temp.com,FALSE,pending,unclaimed
Dr. Sunita G - Best Plastic surgeon in Visakhapatnam | Apollo Hospitals,dr-sunita-g-best-plastic-surgeon-in-visakhapatnam-apollo-hospitals,,"10-50-80, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India",Visakhapatnam,Andhra Pradesh,India,530002,17.7229199,83.3175028,918069049772,,https://www.askapollo.com/doctors/plastic-surgeon/visakhapatnam/dr-sunita-ghanta,"Plastic surgeon, Cosmetic surgeon, Plastic surgery clinic, Transplant surgeon","{""Monday"": ""9\u202fAM to 6\u202fPM"", ""Tuesday"": ""9\u202fAM to 6\u202fPM"", ""Wednesday"": ""9\u202fAM to 6\u202fPM"", ""Thursday"": ""9\u202fAM to 6\u202fPM"", ""Friday"": ""9\u202fAM to 6\u202fPM"", ""Saturday"": ""9\u202fAM to 6\u202fPM"", ""Sunday"": ""Closed""}",5,1,ChIJ3RTuXhxDOToR40_gvhktFtw,https://www.google.com/maps/search/?api=1&query=Dr.%20Sunita%20G%20-%20Best%20Plastic%20surgeon%20in%20Visakhapatnam%20%7C%20Apollo%20Hospitals&query_place_id=ChIJ3RTuXhxDOToR40_gvhktFtw,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fZG2AcG5kC2guIbOVBitSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.174446&pitch=0&thumbfov=100,"Wheelchair Accessible, Digital Payments, Appointment Required",vzg.drsunitagbestplastic.10@antidote-temp.com,FALSE,pending,unclaimed
KALON Hair Transplant & Cosmetic Clinic | Best Hair Transplant Clinic in Visakhapatnam | Hair Clinic in Vizag,kalon-hair-transplant-cosmetic-clinic-best-hair-transplant-clinic-in-visakhapatnam-hair-clinic-in-vizag,,"50-81-41/7, first floor, kn plaza, Seethammapeta Main Rd, beside vijaya medical centre, Seetamma Peta, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016, India",Visakhapatnam,Andhra Pradesh,India,530016,17.7334444,83.3066998,918374414141,,http://kaloncosmeticclinics.com/,"Hair transplantation clinic, Laser hair removal service, Skin care clinic","{""Monday"": ""9:30\u202fAM to 9\u202fPM"", ""Tuesday"": ""9:30\u202fAM to 9\u202fPM"", ""Wednesday"": ""9:30\u202fAM to 9\u202fPM"", ""Thursday"": ""9:30\u202fAM to 9\u202fPM"", ""Friday"": ""9:30\u202fAM to 9\u202fPM"", ""Saturday"": ""9:30\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 6:30\u202fPM""}",5,59,ChIJ_____yRDOToR1VjlVjhQqVA,https://www.google.com/maps/search/?api=1&query=KALON%20Hair%20Transplant%20%26%20Cosmetic%20Clinic%20%7C%20Best%20Hair%20Transplant%20Clinic%20in%20Visakhapatnam%20%7C%20Hair%20Clinic%20in%20Vizag&query_place_id=ChIJ_____yRDOToR1VjlVjhQqVA,https://lh3.googleusercontent.com/p/AF1QipOw3G98v2HbafA5zdOpS9tkAdC3-y4NhRIIvrJF=w480-h240-k-no,Digital Payments,vzg.kalonhairtransplantc.12@antidote-temp.com,FALSE,pending,unclaimed
