name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Zenith Clinic Bangalore – Plastic Surgeon | Gynecomastia | Circumcision | Lipoma | Liposuction | Microtia,zenith-clinic-bangalore-plastic-surgeon-gynecomastia-circumcision-lipoma-liposuction-microtia,,"804, 3rd floor, Arka hospital HIG, Major Sandeep Unnikrishnan Rd, 3rd phase, Yelahanka New Town, Bengaluru, Karnataka 560064, India",Bengaluru,Karnataka,India,560064,13.0999968,77.579847,+919826241007,,https://zenithplasticsurgery.in/,"Plastic surgery clinic, Cosmetic surgeon, Doctor, Plastic surgeon, Skin care clinic, Surgical center","{""Monday"": ""9\u202fAM to 7\u202fPM"", ""Tuesday"": ""9\u202fAM to 7\u202fPM"", ""Wednesday"": ""9\u202fAM to 7\u202fPM"", ""Thursday"": ""9\u202fAM to 7\u202fPM"", ""Friday"": ""9\u202fAM to 7\u202fPM"", ""Saturday"": ""9\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.8,60,ChIJx-WltfQZrjsR7wxeETJiTtw,https://www.google.com/maps/search/?api=1&query=Zenith%20Clinic%20Bangalore%20%E2%80%93%20Plastic%20Surgeon%20%7C%20Gynecomastia%20%7C%20Circumcision%20%7C%20Lipoma%20%7C%20Liposuction%20%7C%20Microtia&query_place_id=ChIJx-WltfQZrjsR7wxeETJiTtw,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lnMctRTu-IjYTp0zJsPJrg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.73112&pitch=0&thumbfov=100,,blr.zenithclinicbangalor.1@antidote-temp.com,false,pending,unclaimed
KARO Aesthetic Clinic,karo-aesthetic-clinic,,"Varadarajaswamy Layout 122, M.S. Palya Rd, Singapura Village, Singapura, Bengaluru, Karnataka 560097, India",Bengaluru,Karnataka,India,560097,13.0818183,77.5409144,+916364654911,,http://www.karo-clinic.com/,"Cosmetic surgeon, Plastic surgeon, Skin care clinic","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.9,68,ChIJo3Hdm70jrjsRsL6J1aP6xaI,https://www.google.com/maps/search/?api=1&query=KARO%20Aesthetic%20Clinic&query_place_id=ChIJo3Hdm70jrjsRsL6J1aP6xaI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_UsjVj-hCWwT3JxUABPyTQP6Hp0UQqDG_NDaM6OYPwIQ9dN8gCAuT-YHNG_RoZ3OJHAAu__htMAz_pbzon13vmcDE5vwxaisfJ19OZtHz_6iJv6dOKI-7gwZV3t0mkt-F36ks=w408-h272-k-no,Wheelchair Accessible,blr.karoaestheticclinic.2@antidote-temp.com,false,pending,unclaimed
Surgiderma Aesthetics Skin Hair. Laser Cosmetic surgery,surgiderma-aesthetics-skin-hair-laser-cosmetic-surgery,,"No 717 Migh, near Sheshadripuram college bus stop, Sector A, 3rd stage, Yelahanka New Town, Bengaluru, Karnataka 560064, India",Bengaluru,Karnataka,India,560064,13.0996698,77.5888682,+918904434488,,http://www.surgiderma.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8140960163221277352,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist, Plastic surgeon, Plastic surgery clinic, Tattoo removal service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.9,53,ChIJWcj93SMZrjsRF75h-8jWawo,https://www.google.com/maps/search/?api=1&query=Surgiderma%20Aesthetics%20Skin%20Hair.%20Laser%20Cosmetic%20surgery&query_place_id=ChIJWcj93SMZrjsRF75h-8jWawo,https://lh3.googleusercontent.com/p/AF1QipMaxRkSG2axw20DGea8K-LUcPX9cvvk02oIe1vk=w408-h306-k-no,"Wheelchair Accessible, Digital Payments",blr.surgidermaaesthetics.3@antidote-temp.com,false,pending,unclaimed
Sun Cosmetic Clinic,sun-cosmetic-clinic,,"1215, 8th B Cross Rd, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064, India",Bengaluru,Karnataka,India,560064,13.0979982,77.582581,+919739879732,,http://suncosmeticclinic.com/,"Plastic surgery clinic, Hospital","{""Monday"": ""5:30 to 8\u202fPM"", ""Tuesday"": ""5:30 to 8\u202fPM"", ""Wednesday"": ""5:30 to 8\u202fPM"", ""Thursday"": ""5:30 to 8\u202fPM"", ""Friday"": ""5:30 to 8\u202fPM"", ""Saturday"": ""5:30 to 8\u202fPM"", ""Sunday"": ""Closed""}",4.6,56,ChIJF3pK2mAYrjsR_uFV2fBcOqM,https://www.google.com/maps/search/?api=1&query=Sun%20Cosmetic%20Clinic&query_place_id=ChIJF3pK2mAYrjsR_uFV2fBcOqM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFrL8SM6tQeWYPGJIEHcYD1JRc0woASAwJAVyNKkft7lme6ASuZjiJSKttI6zqEaXQ4FwK8UcSRqbSoVammLPtsUE_IveN2OcFifK80uDPKESsa0Ya2fOQCqE7mph2i4zQ33OEVg=w408-h306-k-no,,blr.suncosmeticclinic.4@antidote-temp.com,false,pending,unclaimed
SurgiDerma Hospital,surgiderma-hospital,,"No. 5ac, 927, 5th A Cross Rd, HRBR Layout 1st Block, Babusabpalya, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Bengaluru,Karnataka,India,560043,13.0226947,77.6479238,+918050620427,,https://www.surgiderma.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Doctor, Hair removal service, Hair transplantation clinic, Hospital, Pediatric dermatologist, Plastic surgeon, Plastic surgery clinic","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",4.8,763,ChIJxWs7gy4XrjsRKco5Fm8avnU,https://www.google.com/maps/search/?api=1&query=SurgiDerma%20Hospital&query_place_id=ChIJxWs7gy4XrjsRKco5Fm8avnU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogMerqCpfup-OKLGXgn-EPvsr8LKbGiRtuhUDM9wdy_C5dQNNdbHmlyu8bqAZV5vZxd7Kt6MLavzcLmOyobM5TSsX2G8D1RmGB2I8oylMYGacEuWbvRAFxmKtzIeg7GSxF44TP=w408-h544-k-no,"Wheelchair Accessible, Credit Cards Accepted",blr.surgidermahospital.5@antidote-temp.com,false,pending,unclaimed
AestheticsPlus Clinics,aestheticsplus-clinics,,"Suite 213, II Floor, Eva Mall, 60, Brigade Rd, above DECATHLON, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",Bengaluru,Karnataka,India,560025,12.9709975,77.6073701,+919606170075,,http://www.aestheticsplus.in/,"Plastic surgeon, Cosmetic surgeon, Hair transplantation clinic, Medical Center, Medical clinic, Medical spa, Plastic surgery clinic, Skin care clinic, Surgeon, Surgical center","{""Monday"": ""11\u202fAM to 6\u202fPM"", ""Tuesday"": ""11\u202fAM to 6\u202fPM"", ""Wednesday"": ""11\u202fAM to 6\u202fPM"", ""Thursday"": ""11\u202fAM to 6\u202fPM"", ""Friday"": ""11\u202fAM to 6\u202fPM"", ""Saturday"": ""11\u202fAM to 6\u202fPM"", ""Sunday"": ""Closed""}",4.7,71,ChIJG3If3NQVrjsRrsI1aaubjcA,https://www.google.com/maps/search/?api=1&query=AestheticsPlus%20Clinics&query_place_id=ChIJG3If3NQVrjsRrsI1aaubjcA,https://lh3.googleusercontent.com/p/AF1QipMHGHgV-DLf-S17Oqs4DzgKVEkPv8xd3P4irsw7=w408-h306-k-no,"Wheelchair Accessible, Appointment Required",blr.aestheticsplusclinic.6@antidote-temp.com,false,pending,unclaimed
Dr Sculpt - Dermatology and Plastic Surgery clinic,dr-sculpt-dermatology-and-plastic-surgery-clinic,,"844, 1st Floor, Sahakara Nagar Main Rd, Sahakar Nagar, Bengaluru, Karnataka 560092, India",Bengaluru,Karnataka,India,560092,13.0638553,77.5884926,+919538673888,,http://www.drsculptclinic.com/,"Skin care clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service, Plastic surgery clinic, Weight loss service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.5,129,ChIJr_-w0cIZrjsRRekbx4O8qX4,https://www.google.com/maps/search/?api=1&query=Dr%20Sculpt%20-%20Dermatology%20and%20Plastic%20Surgery%20clinic&query_place_id=ChIJr_-w0cIZrjsRRekbx4O8qX4,https://lh3.googleusercontent.com/p/AF1QipO5-tCz3q9D4hDefR2_ZqJVibKqQloiTtgs0V8L=w408-h306-k-no,Credit Cards Accepted,blr.drsculptdermatologya.7@antidote-temp.com,false,pending,unclaimed
VIVA SKINTECH,viva-skintech,,"1, 1st A Cross Rd, opposite New Town Club, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560065, India",Bengaluru,Karnataka,India,560065,13.0989302,77.5851063,+919900522522,,https://www.vivaskintech.com/,"Dermatologist, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Plastic surgeon, Plastic surgery clinic, Skin care clinic","{""Monday"": ""9\u202fAM to 9\u202fPM"", ""Tuesday"": ""9\u202fAM to 9\u202fPM"", ""Wednesday"": ""9\u202fAM to 9\u202fPM"", ""Thursday"": ""9\u202fAM to 9\u202fPM"", ""Friday"": ""9\u202fAM to 9\u202fPM"", ""Saturday"": ""9\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM""}",4.7,765,ChIJs4RPHXAZrjsRNxOR7Sjcxi8,https://www.google.com/maps/search/?api=1&query=VIVA%20SKINTECH&query_place_id=ChIJs4RPHXAZrjsRNxOR7Sjcxi8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomlfpLPqOblbF055kxMTqBICsE3CukLkX2IM7Bu6wCtnoJnHgKjJt5csfrPfsYfUcPWZP1pUltrVS1q0dyFwCROEikiXkgO4VgHxmMYM6D_ArQMtQ4bVTxQNumwc3f-dvjLkXe=w408-h306-k-no,Credit Cards Accepted,blr.vivaskintech.8@antidote-temp.com,false,pending,unclaimed
Kesari Surgery Clinic- Bangalore,kesari-surgery-clinic-bangalore,,"Main Road, 4th Phase, Self Financed Society 407 Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",Bengaluru,Karnataka,India,560064,13.1032143,77.5696988,,,https://kesarisurgeryclinic.com/,Medical clinic,"{""Monday"": ""7:30\u202fAM to 10:30\u202fPM"", ""Tuesday"": ""7:30\u202fAM to 10:30\u202fPM"", ""Wednesday"": ""7:30\u202fAM to 10:30\u202fPM"", ""Thursday"": ""7:30\u202fAM to 10:30\u202fPM"", ""Friday"": ""7:30\u202fAM to 10:30\u202fPM"", ""Saturday"": ""7:30\u202fAM to 10:30\u202fPM"", ""Sunday"": ""7:30\u202fAM to 10:30\u202fPM""}",5,80,ChIJ10oSFim1mWwR05hoFB3HII4,https://www.google.com/maps/search/?api=1&query=Kesari%20Surgery%20Clinic-%20Bangalore&query_place_id=ChIJ10oSFim1mWwR05hoFB3HII4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyHT_evaq7q6kVLTaOb-E_NVvJoUWhRx9t70btpHIg0owbPSaiHT-X7Ma5DmILO67KmzGO7Fa5-PeI59YZCsd1gHzVEHxehLBa6_qGL7YvRFLCcm6Q-hnnz3_krLJdw2XzHewV4Q=w408-h306-k-no,,blr.kesarisurgeryclinicb.9@antidote-temp.com,false,pending,unclaimed
Dr. Kartik Adhitya - Lipoma | Gynecomastia | Sebaceous Cyst | Tummy Tuck | Liposuction | Blepharoplasty | Breast Surgery,dr-kartik-adhitya-lipoma-gynecomastia-sebaceous-cyst-tummy-tuck-liposuction-blepharoplasty-breast-surgery,,"No 641/17/1/3, Kodigehalli Main Rd, Sahakar Nagar, Shanthivana, Sanjeevini Nagar, Bengaluru, Karnataka 560092, India",Bengaluru,Karnataka,India,560092,13.0580527,77.5861752,+918065105067,,https://doctors.pristyncare.com/pristyn-care-pristyn-care-malleshwaram-surgical-clinic-malleshwaram-bengaluru-77943/Doctor-Detail/dr-kartik-adhitya-uibz0mdmgn,"Plastic surgeon, Cosmetic surgeon, Doctor, Medical clinic, Plastic surgery clinic, Specialized clinic, Specialized hospital, Surgeon, Surgical center, Walk-in clinic","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",5,6,ChIJF_9vmAOFDTkRFk8hUADEXX4,https://www.google.com/maps/search/?api=1&query=Dr.%20Kartik%20Adhitya%20-%20Lipoma%20%7C%20Gynecomastia%20%7C%20Sebaceous%20Cyst%20%7C%20Tummy%20Tuck%20%7C%20Liposuction%20%7C%20Blepharoplasty%20%7C%20Breast%20Surgery&query_place_id=ChIJF_9vmAOFDTkRFk8hUADEXX4,https://lh3.googleusercontent.com/p/AF1QipNve-fdg9SHc2NyvI2jktdRlHPuEZfy6UMysRUd=w408-h544-k-no,"Digital Payments, Appointment Required",blr.drkartikadhityalipom.10@antidote-temp.com,false,pending,unclaimed
"Contura Clinic: Dermatology, Plastic Surgery, Dentistry & Hair Transplantation",contura-clinic-dermatology-plastic-surgery-dentistry-hair-transplantation,,"3C, 950, 3rd Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Bengaluru,Karnataka,India,560043,13.0185403,77.6502433,+917022543542,,http://www.conturacosmetic.com/,"Doctor, Dentist, Dermatologist, Hair transplantation clinic, Laser hair removal service, Plastic surgeon","{""Monday"": ""9\u202fAM to 6:30\u202fPM"", ""Tuesday"": ""9\u202fAM to 6:30\u202fPM"", ""Wednesday"": ""9\u202fAM to 6:30\u202fPM"", ""Thursday"": ""9\u202fAM to 6:30\u202fPM"", ""Friday"": ""9\u202fAM to 6:30\u202fPM"", ""Saturday"": ""9\u202fAM to 6:30\u202fPM"", ""Sunday"": ""Closed""}",4.7,755,ChIJS2mHhiQXrjsR8MGiR2Nnxrk,https://www.google.com/maps/search/?api=1&query=Contura%20Clinic%3A%20Dermatology%2C%20Plastic%20Surgery%2C%20Dentistry%20%26%20Hair%20Transplantation&query_place_id=ChIJS2mHhiQXrjsR8MGiR2Nnxrk,https://lh3.googleusercontent.com/p/AF1QipP1wwgkJ4UJUjXoQAx-mAZNuX_ziwlDO_gpzCEb=w408-h306-k-no,"Wheelchair Accessible, Appointment Required",blr.conturaclinicdermato.11@antidote-temp.com,false,pending,unclaimed
