name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Aishanya Aesthetic Centre,aishanya-aesthetic-centre,,"Room No. 1, A2/108, Major Deepak Tyagi Marg, Block A2, Janakpuri, Delhi, 110058, India",New Delhi,Delhi,India,110058,28.622598,77.0725205,+917042227844,,https://aishanyaaesthetic.com/,"Plastic surgery clinic, Cosmetic surgeon, Laser hair removal service, Skin care clinic","{""Monday"": ""12:30 to 8:30\u202fPM"", ""Tuesday"": ""12:30 to 8:30\u202fPM"", ""Wednesday"": ""12:30 to 8:30\u202fPM"", ""Thursday"": ""Closed"", ""Friday"": ""12:30 to 8:30\u202fPM"", ""Saturday"": ""12:30 to 9\u202fPM"", ""Sunday"": ""12 to 2\u202fPM""}",5,1001,ChIJH8g07xAFDTkRHBCFPKQmuPc,https://www.google.com/maps/search/?api=1&query=Aishanya%20Aesthetic%20Centre&query_place_id=ChIJH8g07xAFDTkRHBCFPKQmuPc,https://lh3.googleusercontent.com/p/AF1QipPEsfDMicyV-zh4qxbhu88tcrH2zxXqMOwE0eSz=w408-h606-k-no,"Credit Cards Accepted, Appointment Required",del.aishanyaaestheticcen.1@antidote-temp.com,false,pending,unclaimed
Skin Decor,skin-decor,,"A-4, Sector 19, Nanda Enclave, Dwarka, New Delhi, Delhi, 110075, India",New Delhi,Delhi,India,110075,28.5759137,77.0514016,+917827916023,,https://www.skindecor.in/,"Skin care clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service, Medical spa","{""Monday"": ""10\u202fAM to 6\u202fPM"", ""Tuesday"": ""10\u202fAM to 6\u202fPM"", ""Wednesday"": ""10\u202fAM to 6\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 6\u202fPM"", ""Saturday"": ""10\u202fAM to 6\u202fPM"", ""Sunday"": ""10\u202fAM to 6\u202fPM""}",4.9,536,ChIJC42C2P4bDTkR020wujsInkU,https://www.google.com/maps/search/?api=1&query=Skin%20Decor&query_place_id=ChIJC42C2P4bDTkR020wujsInkU,https://lh3.googleusercontent.com/p/AF1QipO7KVHcPKBSd9LpQLhLzHdsO7GmmHD1H89e5qy2=w426-h240-k-no,"Credit Cards Accepted, Appointment Required",del.skindecor.2@antidote-temp.com,false,pending,unclaimed
Approach Aesthetic Dermatologist - Fat Reduction | PRP Treatment | Anti Aging | Laser Hair | Best Skin Clinic in Janakpuri,approach-aesthetic-dermatologist-fat-reduction-prp-treatment-anti-aging-laser-hair-best-skin-clinic-in-janakpuri,,"332 Block, C4B, Block C4A, Block C 4B, Janakpuri, New Delhi, Delhi, 110064, India",New Delhi,Delhi,India,110064,28.6180787,77.0902727,+919953992531,,https://www.approachhealthcare.in/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Doctor, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Weight loss service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 5\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",4.9,43,ChIJg1CfUSwFDTkRjMHnivmJICg,https://www.google.com/maps/search/?api=1&query=Approach%20Aesthetic%20Dermatologist%20-%20Fat%20Reduction%20%7C%20PRP%20Treatment%20%7C%20Anti%20Aging%20%7C%20Laser%20Hair%20%7C%20Best%20Skin%20Clinic%20in%20Janakpuri&query_place_id=ChIJg1CfUSwFDTkRjMHnivmJICg,https://lh3.googleusercontent.com/p/AF1QipN0JCIDdtMLAhsSMuC9srVEE7hAFCPtNS01kj7c=w408-h321-k-no,Credit Cards Accepted,del.approachaestheticder.3@antidote-temp.com,false,pending,unclaimed
Skin Specialist in Delhi - Adorable Clinic,skin-specialist-in-delhi-adorable-clinic,,"METRO STATION, NAJAFGARH ROAD, LANDMARK:, WZ-108, opp. METRO PILLAR 480 2 ND FLOOR, near SUBASH NAGAR, Meenakshi Garden, Rajouri Garden, Delhi, 110027, India",New Delhi,Delhi,India,110027,28.6397003,77.1045054,,,https://bestskinspecialistnearme.com/,"Tattoo removal service, Hair removal service, Hair transplantation clinic, Skin care clinic, Laser hair removal service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",4.8,32,ChIJrQ8uUs0DDTkRIkYoRuC9FgA,https://www.google.com/maps/search/?api=1&query=Skin%20Specialist%20in%20Delhi%20-%20Adorable%20Clinic&query_place_id=ChIJrQ8uUs0DDTkRIkYoRuC9FgA,https://lh3.googleusercontent.com/p/AF1QipOT1ssXs-wZ_V4uannU0OtCT9E5JllsfNjf6_l2=w408-h408-k-no,Credit Cards Accepted,del.skinspecialistindelh.4@antidote-temp.com,false,pending,unclaimed
Soni Aesthetic & Multispecialty Centre,soni-aesthetic-multispecialty-centre,,"We - 49/50, central market, T-point, Rama Park Rd, Block MS, Mohan Garden, Nawada, New Delhi, Delhi, 110059, India",New Delhi,Delhi,India,110059,28.6284997,77.036383,+918700730485,,https://sonimultispecialitycentre.com/,Skin care clinic,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",4.9,42,ChIJ4Ylbr0AFDTkRSZCBXBA-Yv0,https://www.google.com/maps/search/?api=1&query=Soni%20Aesthetic%20%26%20Multispecialty%20Centre&query_place_id=ChIJ4Ylbr0AFDTkRSZCBXBA-Yv0,https://lh3.googleusercontent.com/p/AF1QipM1D7oLsoBgFKTmSBLY2AQFQ4lmuVakxN5mZ2ys=w408-h725-k-no,"Wheelchair Accessible, Digital Payments",del.soniaestheticmultisp.5@antidote-temp.com,false,pending,unclaimed
Soni Aesthetic & MultiSpeciality centre,soni-aesthetic-multispeciality-centre,,"Shop No - 341 & 342, 3rd Floor, Vardhman City Mall, Dwarka Phase 1, Sector 23, Dwarka, Delhi, 110075, India",New Delhi,Delhi,India,110075,28.5648638,77.0544788,+918700730485,,https://sonimultispecialitycentre.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair removal service, Hair transplantation clinic","{""Monday"": ""11\u202fAM to 8:30\u202fPM"", ""Tuesday"": ""11\u202fAM to 8:30\u202fPM"", ""Wednesday"": ""11\u202fAM to 8:30\u202fPM"", ""Thursday"": ""11\u202fAM to 8:30\u202fPM"", ""Friday"": ""11\u202fAM to 8:30\u202fPM"", ""Saturday"": ""11\u202fAM to 8:30\u202fPM"", ""Sunday"": ""11\u202fAM to 8:30\u202fPM""}",4.8,18,ChIJywOfqkcbDTkRGQ1DFmYyY2E,https://www.google.com/maps/search/?api=1&query=Soni%20Aesthetic%20%26%20MultiSpeciality%20centre&query_place_id=ChIJywOfqkcbDTkRGQ1DFmYyY2E,https://lh3.googleusercontent.com/p/AF1QipOlhEWn_rXYe9AuJLj6YLq5vu260u3KYxRD3CyP=w408-h391-k-no,Credit Cards Accepted,del.soniaestheticmultisp.6@antidote-temp.com,false,pending,unclaimed
Skin & Laser Spot | Acne | Hydra Facial | Laser Hair Removal Treatment In Dwarka,skin-laser-spot-acne-hydra-facial-laser-hair-removal-treatment-in-dwarka,,"Ground Floor, Manish Link Plaza, G-7, Sector 5 Market, Sector 5, Dwarka, New Delhi, Delhi, 110075, India",New Delhi,Delhi,India,110075,28.5954315,77.0523503,+917827362872,,https://skinlaserspot.com/skin-treatment.html,"Skin care clinic, Laser hair removal service, Dermatologist","{""Monday"": ""11\u202fAM to 7\u202fPM"", ""Tuesday"": ""11\u202fAM to 7\u202fPM"", ""Wednesday"": ""11\u202fAM to 7\u202fPM"", ""Thursday"": ""11\u202fAM to 7\u202fPM"", ""Friday"": ""11\u202fAM to 7\u202fPM"", ""Saturday"": ""11\u202fAM to 7\u202fPM"", ""Sunday"": ""11\u202fAM to 7\u202fPM""}",5,144,ChIJqTXNyCUbDTkRZnDuVXGo97I,https://www.google.com/maps/search/?api=1&query=Skin%20%26%20Laser%20Spot%20%7C%20Acne%20%7C%20Hydra%20Facial%20%7C%20Laser%20Hair%20Removal%20Treatment%20In%20Dwarka&query_place_id=ChIJqTXNyCUbDTkRZnDuVXGo97I,https://lh3.googleusercontent.com/p/AF1QipOYJRFApqAXR2-4-UDexL-xw8cBCTXImcW252xz=w408-h286-k-no,"Free Parking, Digital Payments, Appointment Required",del.skinlaserspotacnehyd.7@antidote-temp.com,false,pending,unclaimed
"Twacha Skin Clinic: Dermatologist in Dwarka, Delhi | Laser Hair Removal, Medifacials, Botox, Fillers & Hair Transplant",twacha-skin-clinic-dermatologist-in-dwarka-delhi-laser-hair-removal-medifacials-botox-fillers-hair-transplant,,"Twacha Skin & Hair Clinic-Plot-53, Sector 12A, Road, behind ISHWAR APARTMENT, Dwarka, New Delhi, Delhi 110078, India",New Delhi,Delhi,India,110078,28.5983977,77.0412269,+919350303663,,https://twachaclinic.com/,"Skin care clinic, Facial spa, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM""}",4.5,847,ChIJtxom4cwDDTkREbPev6g7h7o,https://www.google.com/maps/search/?api=1&query=Twacha%20Skin%20Clinic%3A%20Dermatologist%20in%20Dwarka%2C%20Delhi%20%7C%20Laser%20Hair%20Removal%2C%20Medifacials%2C%20Botox%2C%20Fillers%20%26%20Hair%20Transplant&query_place_id=ChIJtxom4cwDDTkREbPev6g7h7o,https://lh3.googleusercontent.com/p/AF1QipPqKgZQdluDGWHoD1D_OEL-0q5pdvy1Nbj9hmi_=w408-h544-k-no,"Free Parking, Credit Cards Accepted, Appointment Required",del.twachaskinclinicderm.8@antidote-temp.com,false,pending,unclaimed
Miss Noora Skin Clinic,miss-noora-skin-clinic,,"3rd floor, plot no-6, Block K, Gopal Nagar, Tihar Village, New Delhi, Delhi, 110018, India",New Delhi,Delhi,India,110018,28.6342488,77.1019111,+919718618662,,http://www.missnooraskinclinic.com/,"Skin care clinic, Dermatologist","{""Monday"": ""Closed"", ""Tuesday"": ""11:30\u202fAM to 8\u202fPM"", ""Wednesday"": ""11:30\u202fAM to 8\u202fPM"", ""Thursday"": ""11:30\u202fAM to 8\u202fPM"", ""Friday"": ""11:30\u202fAM to 8\u202fPM"", ""Saturday"": ""11:30\u202fAM to 8\u202fPM"", ""Sunday"": ""11:30\u202fAM to 8\u202fPM""}",4.8,54,ChIJySQf520FDTkRSQ7qLoBJJJw,https://www.google.com/maps/search/?api=1&query=Miss%20Noora%20Skin%20Clinic&query_place_id=ChIJySQf520FDTkRSQ7qLoBJJJw,https://lh3.googleusercontent.com/p/AF1QipOOl0rcTd1XGpjZ70w7JPqzUJIa71hKyrHaobjn=w408-h408-k-no,"Credit Cards Accepted, Appointment Required",del.missnooraskinclinic.9@antidote-temp.com,false,pending,unclaimed
Skin Plus | Best Skin Clinic in Delhi,skin-plus-best-skin-clinic-in-delhi,,"Upper Ground Floor, Plot Number 579, Shivaji Marg, adjacent to Hanuman Mandir, Tura Mandi, Tuda Mandi, Najafgarh, New Delhi, Delhi, 110043, India",New Delhi,Delhi,India,110043,28.6122555,76.9902206,+919899538207,,https://skinplus.in/,"Plastic surgery clinic, Cosmetic surgeon, Dermatologist, Hair removal service, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist, Plastic surgeon, Skin care clinic, Weight loss service","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",4.9,429,ChIJvardfx4PDTkRVjumv31Ktv4,https://www.google.com/maps/search/?api=1&query=Skin%20Plus%20%7C%20Best%20Skin%20Clinic%20in%20Delhi&query_place_id=ChIJvardfx4PDTkRVjumv31Ktv4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nreUOfYFnefGTlrG4E7q7wtQBfI-DWvLliHwr-sOSPyUwwxpfoiJwAcn0bkhV69P-eknSVn0QvwWSsXAnH6Lfn5y5PtIhrjMx2aLOtidnZrVLz7T4JMeV5atynq7QD8nv3m8zQ=w408-h544-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",del.skinplusbestskinclin.10@antidote-temp.com,false,pending,unclaimed
