name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Carve and Sculpt Cosmetic Surgery Clinic,carve-and-sculpt-cosmetic-surgery-clinic,,"Carve & Sculpt Cosmetic Surgery Clinic F- 212, First floor, Sapphire Mall, Sector 90, Gurugram, Haryana 122003, India",Gurugram,Haryana,India,122003,28.40432,76.9363357,+917838132866,,https://www.drchetnacosmeticsurgery.com/,"Cosmetic surgeon, Laser hair removal service, Plastic surgeon","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.6,149,ChIJ3Y5Q8z0bDTkRvgXs_5zszRA,https://www.google.com/maps/search/?api=1&query=Carve%20and%20Sculpt%20Cosmetic%20Surgery%20Clinic&query_place_id=ChIJ3Y5Q8z0bDTkRvgXs_5zszRA,https://lh3.googleusercontent.com/p/AF1QipMpiXzaqUTdbFjPSPVbtrVZHfWLI1DGHXbasjA=w459-h240-k-no,Wheelchair Accessible,ggm.carveandsculptcosmet.1@antidote-temp.com,false,pending,unclaimed
Recon Aesthetics,recon-aesthetics,,"A-26/1, Third Floor, near Dt Mega Mall, Sector 28, DLF Phase 1, Gurugram, Haryana 122002, India",Gurugram,Haryana,India,122002,28.4748859,77.0934511,+919981400999,,https://reconfacialsurgery.com/,"Plastic surgeon, Cosmetic surgeon, Dermatologist, Facial spa, Hair transplantation clinic, Laser hair removal service, Skin care clinic","{""Monday"": ""11\u202fAM to 7\u202fPM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""11\u202fAM to 7\u202fPM"", ""Thursday"": ""11\u202fAM to 7\u202fPM"", ""Friday"": ""11\u202fAM to 7\u202fPM"", ""Saturday"": ""11\u202fAM to 7\u202fPM"", ""Sunday"": ""11\u202fAM to 7\u202fPM""}",4.8,357,ChIJEWAeec8dYzkRvgrEOIa_afM,https://www.google.com/maps/search/?api=1&query=Recon%20Aesthetics&query_place_id=ChIJEWAeec8dYzkRvgrEOIa_afM,https://lh3.googleusercontent.com/p/AF1QipM4SL1MAXLxxjjweCF4niMcSG77ITjLWCTykQfX=w408-h611-k-no,Wheelchair Accessible,ggm.reconaesthetics.2@antidote-temp.com,false,pending,unclaimed
Dr. Rao Aesthetics,dr-rao-aesthetics,,"H.no, 18, near Sector 15 Part 1, Friends Colony, HVPNL Colony, Civil Lines, Gurugram, Haryana 122001, India",Gurugram,Haryana,India,122001,28.4554093,77.0367021,+918882126505,,http://www.drraoaesthetics.com/,"Plastic surgery clinic, Hair transplantation clinic, Skin care clinic","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.7,39,ChIJI2lD40QZDTkRCpCLnZfWziA,https://www.google.com/maps/search/?api=1&query=Dr.%20Rao%20Aesthetics&query_place_id=ChIJI2lD40QZDTkRCpCLnZfWziA,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4DUr5QR6I_KTIMQzbdg1yA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=122.29111&pitch=0&thumbfov=100,Wheelchair Accessible,ggm.drraoaesthetics.3@antidote-temp.com,false,pending,unclaimed
"Dr. Tushar Bharat Patil | Plastic, Aesthetic and Reconstructive Surgeon in Gurugram",dr-tushar-bharat-patil-plastic-aesthetic-and-reconstructive-surgeon-in-gurugram,,"Medanta–The Medicity, Gurugram, CH Baktawar Singh Rd, Medicity, Chowk, Sector 38, Gurugram, Haryana 122001, India",Gurugram,Haryana,India,122001,28.440029,77.040507,+911244834574,,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/plastic-surgery/doctor/dr-tushar-bharat-patil,Plastic surgeon,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Closed""}",4.9,79,ChIJZX67l3UZDTkRJBu5-VKMPxw,https://www.google.com/maps/search/?api=1&query=Dr.%20Tushar%20Bharat%20Patil%20%7C%20Plastic%2C%20Aesthetic%20and%20Reconstructive%20Surgeon%20in%20Gurugram&query_place_id=ChIJZX67l3UZDTkRJBu5-VKMPxw,https://lh3.googleusercontent.com/p/AF1QipPcABW9FT74Z0IP1OdG-Tkmwyq--XiKV8rogMXe=w408-h415-k-no,,ggm.drtusharbharatpatilp.4@antidote-temp.com,false,pending,unclaimed
One Aesthetics,one-aesthetics,,"7319 upper ground floor, 2, next to super mart, DLF Phase IV, Gurugram, Haryana 122009, India",Gurugram,Haryana,India,122009,28.4616029,77.0884127,+919650453110,,https://oneaesthetics.in/,"Wellness center, Dental implants provider, Hair transplantation clinic, Pediatric dentist","{""Monday"": ""10:30\u202fAM to 7\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 7\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 7\u202fPM"", ""Thursday"": ""10:30\u202fAM to 7\u202fPM"", ""Friday"": ""10:30\u202fAM to 7\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",5,16,ChIJZ51AF_8ZDTkR8eAiKJCt0t0,https://www.google.com/maps/search/?api=1&query=One%20Aesthetics&query_place_id=ChIJZ51AF_8ZDTkR8eAiKJCt0t0,https://lh3.googleusercontent.com/p/AF1QipPPPG0EKnG08TCcdaN8lHDxLAXEofEp1Ca6hUDQ=w408-h306-k-no,Wheelchair Accessible,ggm.oneaesthetics.5@antidote-temp.com,false,pending,unclaimed
Aesthetics by Dr. Riddhi,aesthetics-by-dr-riddhi,,"Shop number 218 , First Floor , Sapphire 90 Mall, near Holiday Inn, Sector 90, Gurugram, Haryana 122004, India",Gurugram,Haryana,India,122004,28.4042334,76.9362916,+919910221388,,,"Cosmetic surgeon, Dental hygienist, Facial spa, Hair replacement service, Laser hair removal service, Skin care clinic, Tattoo removal service","{""Monday"": ""10\u202fAM to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 9\u202fPM"", ""Friday"": ""10\u202fAM to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 9\u202fPM""}",4.8,194,ChIJ4WepGTM9DTkRqFJ9lHsx6bc,https://www.google.com/maps/search/?api=1&query=Aesthetics%20by%20Dr.%20Riddhi&query_place_id=ChIJ4WepGTM9DTkRqFJ9lHsx6bc,https://lh3.googleusercontent.com/p/AF1QipOS127aY6jp_NpSXScNbavlFmgQ31VhfhnG2AzN=w408-h725-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ggm.aestheticsbydrriddhi.6@antidote-temp.com,false,pending,unclaimed
"Delight Clinic - Best Skin Clinic in Gurgaon,Dermatologist/Fue/Acne Scar Treatment/Hair Transplant/Chemical Peels/Hair Doctor",delight-clinic-best-skin-clinic-in-gurgaondermatologistfueacne-scar-treatmenthair-transplantchemical-peelshair-doctor,,"Shop No. 59, 1st Floor, Main, Shaheed Major Vikas Yadav Marg, Kirti Nagar, Sector 15 Part 2, Gurugram, Haryana 122001, India",Gurugram,Haryana,India,122001,28.4555338,77.0379818,+919818455159,,https://www.delightclinic.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair transplantation clinic, Plastic surgeon","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""Closed""}",4.8,77,ChIJH6r8AYwYDTkRA38QFRUQl4o,https://www.google.com/maps/search/?api=1&query=Delight%20Clinic%20-%20Best%20Skin%20Clinic%20in%20Gurgaon%2CDermatologist%2FFue%2FAcne%20Scar%20Treatment%2FHair%20Transplant%2FChemical%20Peels%2FHair%20Doctor&query_place_id=ChIJH6r8AYwYDTkRA38QFRUQl4o,https://lh3.googleusercontent.com/p/AF1QipMDnfO1JJNArtbDX8xDQ1K0XOvW0ZxxWmS1lG_R=w408-h284-k-no,"Digital Payments, Appointment Required",ggm.delightclinicbestski.7@antidote-temp.com,false,pending,unclaimed
"Kutiz Skin Care Clinic in Gurgaon - Laser Hair Removal, Anti-Aging, Pigmentation & Wrinkle Removal Treatment In Gurgaon",kutiz-skin-care-clinic-in-gurgaon-laser-hair-removal-anti-aging-pigmentation-wrinkle-removal-treatment-in-gurgaon,,"368, Medicity, Islampur Colony, Sector 38, Gurugram, Haryana 122001, India",Gurugram,Haryana,India,122001,28.4348316,77.0444763,+919466183103,,http://kutizskincare.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"Skin care clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.8,321,ChIJpZsv_m8YDTkRW-xFWzJtex4,https://www.google.com/maps/search/?api=1&query=Kutiz%20Skin%20Care%20Clinic%20in%20Gurgaon%20-%20Laser%20Hair%20Removal%2C%20Anti-Aging%2C%20Pigmentation%20%26%20Wrinkle%20Removal%20Treatment%20In%20Gurgaon&query_place_id=ChIJpZsv_m8YDTkRW-xFWzJtex4,https://lh3.googleusercontent.com/p/AF1QipO50r-oeH5jE9t1v4pIic0cB6JlW-SW_Ryo5kYV=w426-h240-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",ggm.kutizskincareclinici.8@antidote-temp.com,false,pending,unclaimed
ARV Aesthetics,arv-aesthetics,,"240, The Sapphire, Orchid Petals, Block S, Uppal Southend, Sector 49, Gurugram, Haryana 122018, India",Gurugram,Haryana,India,122018,28.4118462,77.04862,+918506055000,,http://www.arvaesthetics.com/,"Skin care clinic, Dermatologist, Hair removal service, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.9,627,ChIJ42dnZI8iDTkRPeDWe5U6hoA,https://www.google.com/maps/search/?api=1&query=ARV%20Aesthetics&query_place_id=ChIJ42dnZI8iDTkRPeDWe5U6hoA,https://lh3.googleusercontent.com/p/AF1QipNHkrYf4oaNK3mKbCxCgzYRgfl0QTDy_1GdhYgw=w408-h271-k-no,"Wheelchair Accessible, Parking Available, Credit Cards Accepted, Appointment Required",ggm.arvaesthetics.9@antidote-temp.com,false,pending,unclaimed
"Laderma skin and laser clinic(laser hair removal,acne& hair fall treatment)",laderma-skin-and-laser-cliniclaser-hair-removalacne-hair-fall-treatment,,"VATIKA INDIA NEXT, Plot no 29 primrose avenue road cabin 2, Sector 82, Gurugram, Haryana 122004, India",Gurugram,Haryana,India,122004,28.3912615,76.9603333,+918826570735,,https://www.ladermaskinandhairclinic.com/,"Skin care clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service, Weight loss service",,4.9,47,ChIJf8nkWaobDTkRpEeOmwUIuMA,https://www.google.com/maps/search/?api=1&query=Laderma%20skin%20and%20laser%20clinic(laser%20hair%20removal%2Cacne%26%20hair%20fall%20treatment)&query_place_id=ChIJf8nkWaobDTkRpEeOmwUIuMA,https://lh3.googleusercontent.com/p/AF1QipPkwpBbH-TQ4Fad1MMT_bqvk_qfGgNZcB8XQ5MO=w408-h272-k-no,,ggm.ladermaskinandlaserc.10@antidote-temp.com,false,pending,unclaimed
