name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
"Wee Aesthetics - Dr. Vimal Kumar | Best Plastic & Cosmetic Surgeon for Skin & Hair in Kompally, Hyderabad",wee-aesthetics-dr-vimal-kumar-best-plastic-cosmetic-surgeon-for-skin-hair-in-kompally-hyderabad,,"SY no 1, HT Rd, above Yes bank, beside SPG Grand, Petbasheerabad, Pedda Bashirabad, Quthbullapur, Kompally, Hyderabad, Secunderabad, Telangana 500055, India","Hyderabad, Secunderabad",Telangana,India,500055,17.5155401,78.4816723,,,https://weeaesthetics.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Doctor, Hair removal service, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Plastic surgery clinic, Plastic surgeon","{""Monday"": ""9\u202fAM to 9\u202fPM"", ""Tuesday"": ""9\u202fAM to 9\u202fPM"", ""Wednesday"": ""9\u202fAM to 9\u202fPM"", ""Thursday"": ""9\u202fAM to 9\u202fPM"", ""Friday"": ""9\u202fAM to 9\u202fPM"", ""Saturday"": ""9\u202fAM to 9\u202fPM"", ""Sunday"": ""10\u202fAM to 12\u202fPM""}",4.8,20,ChIJJ2PxiNmbyzsRIm6dCBtLDG8,https://www.google.com/maps/search/?api=1&query=Wee%20Aesthetics%20-%20Dr.%20Vimal%20Kumar%20%7C%20Best%20Plastic%20%26%20Cosmetic%20Surgeon%20for%20Skin%20%26%20Hair%20in%20Kompally%2C%20Hyderabad&query_place_id=ChIJJ2PxiNmbyzsRIm6dCBtLDG8,https://lh3.googleusercontent.com/p/AF1QipP_Pwzn9Yo1PwuT6qODrw7Q3tv-d_da04qkZOLw=w408-h544-k-no,Digital Payments,weeaestheticsdrvimal.1@antidote-temp.com,false,pending,unclaimed
Veda skin hair and aesthetic center,veda-skin-hair-and-aesthetic-center,,"Sy. no. 93/B, 4th Floor, Rayudu's Tower, Kaveri Enclave, Plot no.6, above Swiss Castle, Petbasheerabad, Satyam Enclave, Kompally, Secunderabad, Telangana 500014, India","Secunderabad, Hyderabad",Telangana,India,500014,17.5244503,78.4832106,+917995842127,,https://vedaskinandhair.com/,"Skin care clinic, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Dermatologist, Skin care products vending machine, Tattoo removal service","{""Monday"": ""10\u202fAM to 2\u202fPM, 6 to 9\u202fPM"", ""Tuesday"": ""10\u202fAM to 2\u202fPM, 6 to 9\u202fPM"", ""Wednesday"": ""10\u202fAM to 2\u202fPM, 6 to 9\u202fPM"", ""Thursday"": ""10\u202fAM to 2\u202fPM, 6 to 9\u202fPM"", ""Friday"": ""10\u202fAM to 2\u202fPM, 6 to 9\u202fPM"", ""Saturday"": ""10\u202fAM to 2\u202fPM, 6 to 9\u202fPM"", ""Sunday"": ""Closed""}",4.9,662,ChIJHZCw2vWFyzsR9BpV6vK7RRo,https://www.google.com/maps/search/?api=1&query=Veda%20skin%20hair%20and%20aesthetic%20center&query_place_id=ChIJHZCw2vWFyzsR9BpV6vK7RRo,https://lh3.googleusercontent.com/p/AF1QipMY0XdCuZQZkTAnFCBUwuWbmpy-QKdvE9FMygDJ=w408-h272-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted, Appointment Required",vedaskinhairandaesth.2@antidote-temp.com,false,pending,unclaimed
Dyutih Clinic & Surgery - Kompally,dyutih-clinic-surgery-kompally,,"Plot No.1,2nd Floor,Ganga Enclave,Kompally Road.Suchitra, Petbasheerabad, Hyderabad, Telangana 500067, India","Hyderabad, Secunderabad",Telangana,India,500067,17.5205598,78.4828584,+917416304369,,https://dyutih.in/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair removal service, Hair transplantation clinic, Pain management physician, Plastic surgeon, Medical clinic","{""Monday"": ""10:30\u202fAM to 8:30\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 8:30\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 8:30\u202fPM"", ""Thursday"": ""10:30\u202fAM to 8:30\u202fPM"", ""Friday"": ""10:30\u202fAM to 8:30\u202fPM"", ""Saturday"": ""10:30\u202fAM to 8:30\u202fPM"", ""Sunday"": ""Closed""}",4.7,83,ChIJS2z-jQabyzsR-Db5Y6mqwfA,https://www.google.com/maps/search/?api=1&query=Dyutih%20Clinic%20%26%20Surgery%20-%20Kompally&query_place_id=ChIJS2z-jQabyzsR-Db5Y6mqwfA,https://lh3.googleusercontent.com/p/AF1QipOIrq3tc7II4tDHHGMr74lYF6NSfTZH7W_GOMdf=w408-h270-k-no,,dyutihclinicsurgeryk.3@antidote-temp.com,false,pending,unclaimed
Glam Aesthetics Premium Lounge - Best Aesthetics clinic in Jubilee Hills,glam-aesthetics-premium-lounge-best-aesthetics-clinic-in-jubilee-hills,,"3rd Floor, Nakshatra building, 8-2-293/82/a, Road No. 36, near Metro Pillar Number - 1647, Jubilee Hills, Hyderabad, Telangana 500088, India",Hyderabad,Telangana,India,500088,17.4310342,78.4085782,+917995959566,,https://glamaesthetics.in/,"Skin care clinic, Facial spa, Hair removal service, Hair transplantation clinic, Laser hair removal service, Permanent make-up clinic, Plastic surgery clinic, Tattoo removal service, Weight loss service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",5,94,ChIJm1vsh7fcmgIRyMKL13kRr8E,https://www.google.com/maps/search/?api=1&query=Glam%20Aesthetics%20Premium%20Lounge%20-%20Best%20Aesthetics%20clinic%20in%20Jubilee%20Hills&query_place_id=ChIJm1vsh7fcmgIRyMKL13kRr8E,https://lh3.googleusercontent.com/p/AF1QipPghdqF6AXq71krKfONMwONk-LAZONkaDovoMAx=w408-h306-k-no,"Credit Cards Accepted, Appointment Required",glamaestheticspremiu.4@antidote-temp.com,false,pending,unclaimed
ReeAge Aesthetic Clinic AS Rao nagar,reeage-aesthetic-clinic-as-rao-nagar,,"3rd Floor, Opp: Joyallukas, Sai Hanuman Plaza, Dr, Main road, Lakshmipuram Colony, Shivas Enclave, Brindavan Colony, A. S. Rao Nagar, Hyderabad, Secunderabad, Telangana 500062, India","Hyderabad, Secunderabad",Telangana,India,500062,17.4801857,78.557126,+919513315040,,https://reeage.in/,"Skin care clinic, Hair removal service, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Nutritionist, Tattoo removal service, Weight loss service","{""Monday"": ""10\u202fAM to 7:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 7:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 7:30\u202fPM"", ""Thursday"": ""10\u202fAM to 7:30\u202fPM"", ""Friday"": ""10\u202fAM to 7:30\u202fPM"", ""Saturday"": ""10\u202fAM to 7:30\u202fPM"", ""Sunday"": ""10\u202fAM to 7:30\u202fPM""}",4.5,54,ChIJl03rHf-byzsRPko1MqU4MYQ,https://www.google.com/maps/search/?api=1&query=ReeAge%20Aesthetic%20Clinic%20AS%20Rao%20nagar&query_place_id=ChIJl03rHf-byzsRPko1MqU4MYQ,https://lh3.googleusercontent.com/p/AF1QipNh9LraR_njVRNLYhKF-K39eyNJCaLtovxFR4XC=w511-h240-k-no,Credit Cards Accepted,reeageaestheticclini.5@antidote-temp.com,false,pending,unclaimed
IRA Skin & Hair Clinic | Kompally,ira-skin-hair-clinic-kompally,,"04-085/2/NR 2nd Floor, GR Plaza, beside Bharath Petroleum, near Gandhi Statue, Suchitra, Kompally, Secunderabad, Telangana 500055, India","Secunderabad, Hyderabad",Telangana,India,500055,17.5082914,78.4788631,+919581805555,,http://iraclinic.in/,"Skin care clinic, Hair removal service, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist, Dermatologist, Tattoo removal service","{""Monday"": ""10\u202fAM to 10\u202fPM"", ""Tuesday"": ""10\u202fAM to 10\u202fPM"", ""Wednesday"": ""10\u202fAM to 10\u202fPM"", ""Thursday"": ""10\u202fAM to 10\u202fPM"", ""Friday"": ""10\u202fAM to 10\u202fPM"", ""Saturday"": ""10\u202fAM to 10\u202fPM"", ""Sunday"": ""10\u202fAM to 10\u202fPM""}",4.6,591,ChIJQ3u-pKiayzsRN0SlgH59420,https://www.google.com/maps/search/?api=1&query=IRA%20Skin%20%26%20Hair%20Clinic%20%7C%20Kompally&query_place_id=ChIJQ3u-pKiayzsRN0SlgH59420,https://lh3.googleusercontent.com/p/AF1QipP2o6IbKLGEDVelcJIr0QelciihANf57qT7J7St=w426-h240-k-no,"Wheelchair Accessible, Credit Cards Accepted, Appointment Required",iraskinhairclinickom.6@antidote-temp.com,false,pending,unclaimed
Advanced GroHair & GloSkin Kompally,advanced-grohair-gloskin-kompally,,"1st Floor, 7A, NH 44, above G. Pulla Reddy Sweets, Ruby Block, Satyam Enclave, Kompally, Hyderabad, Telangana 500100, India",Hyderabad,Telangana,India,500100,17.5242354,78.4830752,+919649056789,,https://adgrohairgloskinkompally.com/,"Skin care clinic, Hair removal service, Hair transplantation clinic","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.9,97,ChIJXVb5tReFyzsRepU8xhTmulY,https://www.google.com/maps/search/?api=1&query=Advanced%20GroHair%20%26%20GloSkin%20Kompally&query_place_id=ChIJXVb5tReFyzsRepU8xhTmulY,https://lh3.googleusercontent.com/p/AF1QipN9AR8I-1SsWv-9OTHMV2NCKTCopeck8DKuoWo9=w533-h240-k-no,Credit Cards Accepted,advancedgrohairglosk.7@antidote-temp.com,false,pending,unclaimed
Riyaanz Aesthetic,riyaanz-aesthetic,,"road, 12, Banjara Valley St, opposite kaman, Banjara Hills, Hyderabad, Telangana 500034, India",Hyderabad,Telangana,India,500034,17.4109565,78.4383351,+917569387692,,http://www.riyaanz.com/,"Skin care clinic, Cosmetics store, Dermatologist, Facial spa, Hair removal service, Health consultant, Laser hair removal service, Medical clinic, Permanent make-up clinic, Weight loss service","{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",4.8,587,ChIJ159__ySXyzsRBLV_JDB003I,https://www.google.com/maps/search/?api=1&query=Riyaanz%20Aesthetic&query_place_id=ChIJ159__ySXyzsRBLV_JDB003I,https://lh3.googleusercontent.com/p/AF1QipMy4iLdSFetDwdNebdJ-WZJ9qZO51qLSRIDnkVq=w408-h408-k-no,"Wheelchair Accessible, Free Parking, Credit Cards Accepted, Appointment Required",riyaanzaesthetic.8@antidote-temp.com,false,pending,unclaimed
Aura Skin Care,aura-skin-care,,"beside Bandaru Mother & Child Hospital, Temple Alwal, Alwal, Secunderabad, Telangana 500010, India",Secunderabad,Telangana,India,500010,17.5030253,78.5122124,+918520927921,,,Skin care clinic,"{""Monday"": ""6 to 9\u202fPM"", ""Tuesday"": ""6 to 9\u202fPM"", ""Wednesday"": ""6 to 9\u202fPM"", ""Thursday"": ""6 to 9\u202fPM"", ""Friday"": ""6 to 9\u202fPM"", ""Saturday"": ""6 to 9\u202fPM"", ""Sunday"": ""Closed""}",4.9,259,ChIJ6R0ZEu2byzsRTByCDMLLAaE,https://www.google.com/maps/search/?api=1&query=Aura%20Skin%20Care&query_place_id=ChIJ6R0ZEu2byzsRTByCDMLLAaE,https://lh3.googleusercontent.com/p/AF1QipMDf1SPPIu3S-arzYt6ooh-D-el4GQ4KaKxr6Nh=w408-h928-k-no,Credit Cards Accepted,auraskincare.9@antidote-temp.com,false,pending,unclaimed
Manya Aesthetic Clinic in Jubilee Hills,manya-aesthetic-clinic-in-jubilee-hills,,"G F, No 8/2/293/82/A/1218 P N 1218 Co Op House bldg Society, Road No. 36, Jubilee Hills, Hyderabad, Telangana 500033, India",Hyderabad,Telangana,India,500033,17.4298711,78.4114844,+917799888879,,https://www.manyaesthetics.com/,"Skin care clinic, Dermatologist, Hair removal service, Hair transplantation clinic, Laser hair removal service, Tattoo removal service","{""Monday"": ""10:30\u202fAM to 7\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 7\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 7\u202fPM"", ""Thursday"": ""10:30\u202fAM to 7\u202fPM"", ""Friday"": ""10:30\u202fAM to 7\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7\u202fPM"", ""Sunday"": ""10:30\u202fAM to 7\u202fPM""}",4.7,145,ChIJn1BiakiRyzsRr4ekcxMVJ3Y,https://www.google.com/maps/search/?api=1&query=Manya%20Aesthetic%20Clinic%20in%20Jubilee%20Hills&query_place_id=ChIJn1BiakiRyzsRr4ekcxMVJ3Y,https://lh3.googleusercontent.com/p/AF1QipNN5_iVr6J7QcmzBfsd8BQrZDBaxnga3z1FoOJY=w408-h544-k-no,Credit Cards Accepted,manyaaestheticclinic.10@antidote-temp.com,false,pending,unclaimed
