name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
Plastikos Clinic: The Plastic Surgery Centre,plastikos-clinic-the-plastic-surgery-centre,,"A wing, Plastikos clinic, Lancelot building, 403, Swami Vivekananda Rd, Shastri Nagar, Sumer Nagar, Borivali West, Mumbai, Maharashtra 400090, India",Mumbai,Maharashtra,India,400090,19.2189446,72.8523863,+919137767350,,https://theplasticsurgeryclinic.co.in/contact,"Plastic surgeon, Cosmetic surgeon, Diabetes center, Hand surgeon, Lymph drainage therapist","{""Monday"": ""9\u202fAM to 9\u202fPM"", ""Tuesday"": ""9\u202fAM to 9\u202fPM"", ""Wednesday"": ""9\u202fAM to 9\u202fPM"", ""Thursday"": ""9\u202fAM to 9\u202fPM"", ""Friday"": ""9\u202fAM to 9\u202fPM"", ""Saturday"": ""9\u202fAM to 9\u202fPM"", ""Sunday"": ""Closed""}",3.7,6,ChIJJ3vbfzS35zsR74tkCk0jPUs,https://www.google.com/maps/search/?api=1&query=Plastikos%20Clinic%3A%20The%20Plastic%20Surgery%20Centre&query_place_id=ChIJJ3vbfzS35zsR74tkCk0jPUs,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JODI2fTVhvhKePMSiC7bKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.45863&pitch=0&thumbfov=100,,mum.plastikosclinicthepl.1@antidote-temp.com,false,pending,unclaimed
"Dr. Kiran Naik - Plastic Surgeon in Dahisar | Doctor For Tummy Tuck, Female Cosmetic & Breast Surgeon Mira Road, Borivali",dr-kiran-naik-plastic-surgeon-in-dahisar-doctor-for-tummy-tuck-female-cosmetic-breast-surgeon-mira-road-borivali,,"Total Woman, Shankheshwar nagar, Shiv Vallabh Rd, Ashok Van, Dahisar East, Mumbai, Maharashtra 400068, India",Mumbai,Maharashtra,India,400068,19.2424443,72.8666029,+919820145053,,https://thebeautydoctors.in/,"Plastic surgeon, Cosmetic surgeon","{""Monday"": ""7\u202fAM to 7\u202fPM"", ""Tuesday"": ""7\u202fAM to 7\u202fPM"", ""Wednesday"": ""7\u202fAM to 7\u202fPM"", ""Thursday"": ""7\u202fAM to 7\u202fPM"", ""Friday"": ""7\u202fAM to 7\u202fPM"", ""Saturday"": ""7\u202fAM to 7\u202fPM"", ""Sunday"": ""7\u202fAM to 7\u202fPM""}",5,18,ChIJf-nEbx-x5zsRRKzFoCG0mMk,https://www.google.com/maps/search/?api=1&query=Dr.%20Kiran%20Naik%20-%20Plastic%20Surgeon%20in%20Dahisar%20%7C%20Doctor%20For%20Tummy%20Tuck%2C%20Female%20Cosmetic%20%26%20Breast%20Surgeon%20Mira%20Road%2C%20Borivali&query_place_id=ChIJf-nEbx-x5zsRRKzFoCG0mMk,https://lh3.googleusercontent.com/p/AF1QipPPBorLYfWZszhIIw55syULlhlzecloJ5VPOXZK=w408-h408-k-no,Digital Payments,mum.drkirannaikplasticsu.2@antidote-temp.com,false,pending,unclaimed
Dr. Umang Kothari - Plastic Surgeon in Mumbai,dr-umang-kothari-plastic-surgeon-in-mumbai,,"2nd Floor, Mith Chowky, Lotus Link Square, 201 and 201A, New Link Rd, Malad, Malad West, Mumbai, Maharashtra 400064, India",Mumbai,Maharashtra,India,400064,19.1953678,72.8333309,+917710941181,,https://drumangkothari.com/,"Plastic surgeon, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""11\u202fAM to 6\u202fPM"", ""Tuesday"": ""11\u202fAM to 6\u202fPM"", ""Wednesday"": ""11\u202fAM to 6\u202fPM"", ""Thursday"": ""11\u202fAM to 6\u202fPM"", ""Friday"": ""11\u202fAM to 6\u202fPM"", ""Saturday"": ""11\u202fAM to 6\u202fPM"", ""Sunday"": ""Closed""}",4.9,69,ChIJFZSGye625zsRUiZQnNFLHcI,https://www.google.com/maps/search/?api=1&query=Dr.%20Umang%20Kothari%20-%20Plastic%20Surgeon%20in%20Mumbai&query_place_id=ChIJFZSGye625zsRUiZQnNFLHcI,https://lh3.googleusercontent.com/p/AF1QipMlaqazfxk11IiZUG-_a9qF0vrPwNeM4Z3vwaeP=w408-h408-k-no,"Digital Payments, Appointment Required",mum.drumangkothariplasti.3@antidote-temp.com,false,pending,unclaimed
Skinzome clinics,skinzome-clinics,,"Vini Elegance, 404, L.T. Rd, above Tanishq Jewellers, Mini Zaveri Bazaar, Mhatre Wadi, Borivali West, Mumbai, Maharashtra 400092, India",Mumbai,Maharashtra,India,400092,19.2284997,72.8527094,+919930700939,,https://www.gynecomastiasurgeonmumbai.com/,"Plastic surgery clinic, Cosmetic surgeon, Doctor, Hospital, Plastic surgeon, Surgeon, Surgical center","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",4.5,4,ChIJ4xrn1-Wx5zsRs-pIAWcPXcU,https://www.google.com/maps/search/?api=1&query=Skinzome%20clinics&query_place_id=ChIJ4xrn1-Wx5zsRs-pIAWcPXcU,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6gMvsSUfPaGyWEES1fNcxw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.9418&pitch=0&thumbfov=100,"Wheelchair Accessible, Free Parking",mum.skinzomeclinics.4@antidote-temp.com,false,pending,unclaimed
Craftsman Plastic Reconstruction and Cosmetic Surgery Centre | Mumbai,craftsman-plastic-reconstruction-and-cosmetic-surgery-centre-mumbai,,"A Wing Nirman Apts 5/6, Rani Sati Ngr, opp. HP petrol pump, Chincholi Phatak, Malad West, Mumbai, Maharashtra 400064, India",Mumbai,Maharashtra,India,400064,19.1785534,72.846703,+919004766707,,http://www.craftsmanclinics.com/,"Plastic surgery clinic, Cosmetic surgeon, Dermatologist, Doctor, Hair transplantation clinic, Skin care clinic, Surgical center, Weight loss service","{""Monday"": ""9\u202fAM to 8\u202fPM"", ""Tuesday"": ""9\u202fAM to 8\u202fPM"", ""Wednesday"": ""9\u202fAM to 8\u202fPM"", ""Thursday"": ""9\u202fAM to 8\u202fPM"", ""Friday"": ""9\u202fAM to 8\u202fPM"", ""Saturday"": ""9\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",4.9,134,ChIJwZduu3i35zsRWQOqmsCycis,https://www.google.com/maps/search/?api=1&query=Craftsman%20Plastic%20Reconstruction%20and%20Cosmetic%20Surgery%20Centre%20%7C%20Mumbai&query_place_id=ChIJwZduu3i35zsRWQOqmsCycis,https://lh3.googleusercontent.com/p/AF1QipPrsussL7yYDC1kTkiT98M3Cvh3cbGqw6PkU6CK=w408-h271-k-no,"Wheelchair Accessible, Free Parking",mum.craftsmanplasticreco.5@antidote-temp.com,false,pending,unclaimed
Dr. Mithilesh mishra cosmetic surgeon,dr-mithilesh-mishra-cosmetic-surgeon,,"1st floor reform aesthetics clinic, row house no 2 Shivalik tower, near HDFC bank, 90 Feet Rd, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2143479,72.8657866,+919029373937,,,Plastic surgery clinic,,4.6,20,ChIJwcZjfFy35zsRPWsGVHZPjAA,https://www.google.com/maps/search/?api=1&query=Dr.%20Mithilesh%20mishra%20cosmetic%20surgeon&query_place_id=ChIJwcZjfFy35zsRPWsGVHZPjAA,https://lh3.googleusercontent.com/p/AF1QipOxUTdgOsjwIjz33_p3rfd1smCbq5cQn9eBCTKU=w408-h409-k-no,,mum.drmithileshmishracos.6@antidote-temp.com,false,pending,unclaimed
The Hair And Shape Clinic,the-hair-and-shape-clinic,,"2nd Floor, mithchowky signal, Lotus Link Square, 201, building, New Link Rd, Malad West, Mumbai, Maharashtra 400064, India",Mumbai,Maharashtra,India,400064,19.1953621,72.8333618,+917900035194,,http://www.hairandshape.com/,"Hair transplantation clinic, Dermatologist","{""Monday"": ""9\u202fAM to 7\u202fPM"", ""Tuesday"": ""9\u202fAM to 7\u202fPM"", ""Wednesday"": ""9\u202fAM to 7\u202fPM"", ""Thursday"": ""9\u202fAM to 7\u202fPM"", ""Friday"": ""9\u202fAM to 7\u202fPM"", ""Saturday"": ""9\u202fAM to 5\u202fPM"", ""Sunday"": ""Closed""}",4.8,556,ChIJx7hrBOq25zsRRP1cGYKA3sY,https://www.google.com/maps/search/?api=1&query=The%20Hair%20And%20Shape%20Clinic&query_place_id=ChIJx7hrBOq25zsRRP1cGYKA3sY,https://lh3.googleusercontent.com/p/AF1QipNQWp1bpjXobGbEPnzDosWNkddxxCjWY4ajwRZk=w426-h240-k-no,,mum.thehairandshapeclini.7@antidote-temp.com,false,pending,unclaimed
The Spring Clinic,the-spring-clinic,,"Shop no 10, Northern Heights, Jan Kalyan, off Swami Vivekananda Road, M H B Colony, Shanti Nagar, Dahisar East, Mumbai, Maharashtra 400068, India",Mumbai,Maharashtra,India,400068,19.2486041,72.8644488,+918108052080,,,"Skin care clinic, Hair transplantation clinic, Laser hair removal service, Medical Center, Pain control clinic, Plastic surgeon, Specialized clinic, Sports medicine clinic","{""Monday"": ""9:30\u202fAM to 10\u202fPM"", ""Tuesday"": ""9:30\u202fAM to 10\u202fPM"", ""Wednesday"": ""9:30\u202fAM to 10\u202fPM"", ""Thursday"": ""9:30\u202fAM to 10\u202fPM"", ""Friday"": ""9:30\u202fAM to 10\u202fPM"", ""Saturday"": ""9:30\u202fAM to 10\u202fPM"", ""Sunday"": ""9:30\u202fAM to 1\u202fPM""}",4.6,222,ChIJcUKJFuSw5zsRAY1JJanmCRk,https://www.google.com/maps/search/?api=1&query=The%20Spring%20Clinic&query_place_id=ChIJcUKJFuSw5zsRAY1JJanmCRk,https://lh3.googleusercontent.com/p/AF1QipNXDBvnhOe_5obITqbdn39OHQqCuBzHfzpgsV4j=w427-h240-k-no,Credit Cards Accepted,mum.thespringclinic.8@antidote-temp.com,false,pending,unclaimed
Dr Nilesh Shende,dr-nilesh-shende,,"Anamaya Clinic, Saiprakash CHS, plot no 108, near new Jyoti medical, Sector 2 Charkop, Kandivali West, Mumbai, Maharashtra 400067, India",Mumbai,Maharashtra,India,400067,19.2145157,72.8240107,,,,Plastic surgeon,"{""Monday"": ""4 to 6:30\u202fPM"", ""Tuesday"": ""4 to 6:30\u202fPM"", ""Wednesday"": ""4 to 6:30\u202fPM"", ""Thursday"": ""4 to 6:30\u202fPM"", ""Friday"": ""4 to 6:30\u202fPM"", ""Saturday"": ""4 to 6:30\u202fPM"", ""Sunday"": ""Closed""}",5,2,ChIJZe6vDaa35zsRn2dpBXJC9Zg,https://www.google.com/maps/search/?api=1&query=Dr%20Nilesh%20Shende&query_place_id=ChIJZe6vDaa35zsRn2dpBXJC9Zg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=njoCUroPyt-2nPC40ZR_PQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=289.4435&pitch=0&thumbfov=100,Wheelchair Accessible,mum.drnileshshende.9@antidote-temp.com,false,pending,unclaimed
Dr. Debraj Shome,dr-debraj-shome,,"shop no 3B, Shraddha Building No 3 CHS, Thakur Complex, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2118143,72.8632662,+917028065165,,http://www.debrajshome.com/contact-us.html,"Plastic surgeon, Hospital, Plastic surgery clinic, Surgical center","{""Monday"": ""7\u202fAM to 8\u202fPM"", ""Tuesday"": ""7\u202fAM to 8\u202fPM"", ""Wednesday"": ""7\u202fAM to 8\u202fPM"", ""Thursday"": ""7\u202fAM to 8\u202fPM"", ""Friday"": ""7\u202fAM to 8\u202fPM"", ""Saturday"": ""7\u202fAM to 8\u202fPM"", ""Sunday"": ""Closed""}",3.1,36,ChIJTXMM3y-35zsR-K8EWWZPnD0,https://www.google.com/maps/search/?api=1&query=Dr.%20Debraj%20Shome&query_place_id=ChIJTXMM3y-35zsR-K8EWWZPnD0,https://lh3.googleusercontent.com/p/AF1QipNI75vHESheXoGcSvvp82-vsmasfB3kN0Y-t1cm=w408-h272-k-no,,mum.drdebrajshome.10@antidote-temp.com,false,pending,unclaimed
The Esthetic Clinics,the-esthetic-clinics,,"Shop no 3A, Sharadha Building-A, 3 CHS, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2113494,72.8629234,+917028065165,,http://www.theestheticclinic.com/,Skin care clinic,"{""Monday"": ""10\u202fAM to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 7\u202fPM"", ""Friday"": ""10\u202fAM to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 7\u202fPM""}",3.8,69,ChIJc6QK3y-35zsRWXFGTIb8lbs,https://www.google.com/maps/search/?api=1&query=The%20Esthetic%20Clinics&query_place_id=ChIJc6QK3y-35zsRWXFGTIb8lbs,https://lh3.googleusercontent.com/p/AF1QipM-YBWDugWTRAnGii1-XHD3kgItX5jrvMlmzDqa=w408-h271-k-no,,mum.theestheticclinics.11@antidote-temp.com,false,pending,unclaimed
Reform aesthetic clinic,reform-aesthetic-clinic,,"Row house, 2, 90 Feet Rd, near HDFC BANK, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2138345,72.866287,+918830286086,,,"Plastic surgery clinic, Cosmetic dentist, Dental clinic, Dermatologist, Hair removal service, Hair transplantation clinic, Laser hair removal service, Skin care clinic, Tattoo removal service",,5,23,ChIJp3RfRZC35zsRuY3sKEqvE2A,https://www.google.com/maps/search/?api=1&query=Reform%20aesthetic%20clinic&query_place_id=ChIJp3RfRZC35zsRuY3sKEqvE2A,https://lh3.googleusercontent.com/p/AF1QipPW_0fT21Jrepsv4quL4MeQ3hGz3StcXhjHZB20=w426-h240-k-no,,mum.reformaestheticclini.12@antidote-temp.com,false,pending,unclaimed
Dr. Samir Ahire,dr-samir-ahire,,"Bungalow no 02, SA Aesthetics Clinic, opposite Tapout fitness Gym, Near, Jankidevi School Rd, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400053, India",Mumbai,Maharashtra,India,400053,19.1354949,72.8249634,+919819685222,,,"Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Plastic surgeon, Skin care clinic","{""Monday"": ""Closed"", ""Tuesday"": ""10:30\u202fAM to 8\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 8\u202fPM"", ""Thursday"": ""10:30\u202fAM to 8\u202fPM"", ""Friday"": ""10:30\u202fAM to 8\u202fPM"", ""Saturday"": ""10:30\u202fAM to 8\u202fPM"", ""Sunday"": ""10:30\u202fAM to 8\u202fPM""}",4.9,97,ChIJq1ie1wv1eaERAndkEsMBVoM,https://www.google.com/maps/search/?api=1&query=Dr.%20Samir%20Ahire&query_place_id=ChIJq1ie1wv1eaERAndkEsMBVoM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SsMtSMQyx1HVYVs_gvYi1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.07389&pitch=0&thumbfov=100,Appointment Required,mum.drsamirahire.13@antidote-temp.com,false,pending,unclaimed
Aesthetic Story Clinic,aesthetic-story-clinic,,"Shop No. 1, Vishwadeep Heights, K T Soni Marg, Kandivali, Mahavir Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",Mumbai,Maharashtra,India,400067,19.2113839,72.8384086,+919819592440,,,"Skin care clinic, Homeopath, Hypnotherapy service, Laser hair removal service, Nutritionist, Weight loss service","{""Monday"": ""9 to 11\u202fAM, 3 to 9:30\u202fPM"", ""Tuesday"": ""9 to 11\u202fAM, 3 to 9:30\u202fPM"", ""Wednesday"": ""9 to 11\u202fAM, 3 to 9:30\u202fPM"", ""Thursday"": ""9 to 11\u202fAM, 3 to 9:30\u202fPM"", ""Friday"": ""9 to 11\u202fAM, 3 to 9:30\u202fPM"", ""Saturday"": ""9\u202fAM to 2:30\u202fPM, 6 to 9:30\u202fPM"", ""Sunday"": ""Closed""}",5,139,ChIJGTHdOc625zsRCts8s67TeEU,https://www.google.com/maps/search/?api=1&query=Aesthetic%20Story%20Clinic&query_place_id=ChIJGTHdOc625zsRCts8s67TeEU,https://lh3.googleusercontent.com/p/AF1QipMvu9nrhM-HqxUg0JacsriF2ylN_UH_03DPk1CS=w408-h680-k-no,"Credit Cards Accepted, Appointment Required",mum.aestheticstoryclinic.14@antidote-temp.com,false,pending,unclaimed
Dr.Ashwini's Aesthetic Clinic,drashwinis-aesthetic-clinic,,"M.G.Road signal Gayatri Health clinic, Om Sai Ratna Rajul Building, opposite Kamala Nagar, above Raju bhai Dhokalawala, Amrut Nagar, Patel Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",Mumbai,Maharashtra,India,400067,19.2058803,72.8432859,+918591377497,,https://drashwinis-aesthetic.bizportal.in/,Skin care clinic,"{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.7,250,ChIJPSKT2h635zsRz0b1cbZSwvA,https://www.google.com/maps/search/?api=1&query=Dr.Ashwini's%20Aesthetic%20Clinic&query_place_id=ChIJPSKT2h635zsRz0b1cbZSwvA,https://lh3.googleusercontent.com/p/AF1QipOQH29-CkyxnqtiDBFbCpIDEA98a-8XyGR9Bsq0=w408-h544-k-no,"Digital Payments, Appointment Required",mum.drashwinisaestheticc.15@antidote-temp.com,false,pending,unclaimed
Shape N Glow Aesthetic Center,shape-n-glow-aesthetic-center,,"Shape N glow, 4, 90 Feet Rd, near Nirmala college, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2139606,72.8663549,+918980915915,,http://shapenglow.com/,"Wellness center, Ayurvedic clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service, Tattoo removal service, Weight loss service","{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.4,83,ChIJ_4RR1jS35zsRP-mhm5Kmejw,https://www.google.com/maps/search/?api=1&query=Shape%20N%20Glow%20Aesthetic%20Center&query_place_id=ChIJ_4RR1jS35zsRP-mhm5Kmejw,https://lh3.googleusercontent.com/p/AF1QipNYZVCrdhA2-8WH8YsAscjCOK8I1MsK41r_D0rZ=w408-h272-k-no,"Wheelchair Accessible, Credit Cards Accepted",mum.shapenglowaestheticc.16@antidote-temp.com,false,pending,unclaimed
Dr. Namrata's Aesthetic Clinic | Skin Specialist in kandivali east,dr-namratas-aesthetic-clinic-skin-specialist-in-kandivali-east,,"Shop no 6 and 7, Mercury, CHS Ltd, Emp -1, opp. Banana Leaf Restaurant, Evershine Phase 3, Evershine Millennium Paradise, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2108374,72.8756792,+919321676664,,https://drnamratasaestheticclinic.com/,"Skin care clinic, Hair removal service, Hair transplantation clinic, Laser hair removal service, Weight loss service","{""Monday"": ""11\u202fAM to 8\u202fPM"", ""Tuesday"": ""11\u202fAM to 8\u202fPM"", ""Wednesday"": ""Closed"", ""Thursday"": ""11\u202fAM to 8\u202fPM"", ""Friday"": ""11\u202fAM to 8\u202fPM"", ""Saturday"": ""11\u202fAM to 8\u202fPM"", ""Sunday"": ""11\u202fAM to 8\u202fPM""}",4.9,143,ChIJJ4sqduC35zsR3R_A972qseU,https://www.google.com/maps/search/?api=1&query=Dr.%20Namrata's%20Aesthetic%20Clinic%20%7C%20Skin%20Specialist%20in%20kandivali%20east&query_place_id=ChIJJ4sqduC35zsR3R_A972qseU,https://lh3.googleusercontent.com/p/AF1QipMJRpjdT1vvH_eVQQNoYMSUOcz2i4cxbMMEcY4n=w408-h544-k-no,Credit Cards Accepted,mum.drnamratasaestheticc.17@antidote-temp.com,false,pending,unclaimed
Redefine Aesthetic Clinic,redefine-aesthetic-clinic,,"First Floor, Row House, 4, 90 Feet Rd, near HDFC Bank, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, India",Mumbai,Maharashtra,India,400101,19.2139715,72.8662795,+919699190666,,http://drrakheesharma.com/,Skin care clinic,"{""Monday"": ""11\u202fAM to 8\u202fPM"", ""Tuesday"": ""11\u202fAM to 8\u202fPM"", ""Wednesday"": ""11\u202fAM to 8\u202fPM"", ""Thursday"": ""11\u202fAM to 8\u202fPM"", ""Friday"": ""11\u202fAM to 8\u202fPM"", ""Saturday"": ""11\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",4.9,124,ChIJUXVMR6e35zsRd-HZjogbMpM,https://www.google.com/maps/search/?api=1&query=Redefine%20Aesthetic%20Clinic&query_place_id=ChIJUXVMR6e35zsRd-HZjogbMpM,https://lh3.googleusercontent.com/p/AF1QipMvObGiKKJkAi8JQLYcm1mOwjdh-hDBnXaTyZrW=w408-h510-k-no,Credit Cards Accepted,mum.redefineaestheticcli.18@antidote-temp.com,false,pending,unclaimed
Ethereal Aesthetic Clinic - Skin Clinic in Borivali West,ethereal-aesthetic-clinic-skin-clinic-in-borivali-west,,"Shop no.6, Ground Floor, Om, SHIVAM, Shimpoli Rd, opp. Bombay Clinic, near Reliance Mall, Rayani Gram, Borivali West, Mumbai, Maharashtra 400092, India",Mumbai,Maharashtra,India,400092,19.2224849,72.8493853,+917021477924,,https://www.etherealaesthetic.in/,"Skin care clinic, Dermatologist, Hair transplantation clinic, Laser hair removal service","{""Monday"": ""Closed"", ""Tuesday"": ""11\u202fAM to 9\u202fPM"", ""Wednesday"": ""11\u202fAM to 9\u202fPM"", ""Thursday"": ""11\u202fAM to 9\u202fPM"", ""Friday"": ""11\u202fAM to 9\u202fPM"", ""Saturday"": ""11\u202fAM to 9\u202fPM"", ""Sunday"": ""11\u202fAM to 9\u202fPM""}",5,18,ChIJtXqi-Nmx5zsRXrkeGsZtLyk,https://www.google.com/maps/search/?api=1&query=Ethereal%20Aesthetic%20Clinic%20-%20Skin%20Clinic%20in%20Borivali%20West&query_place_id=ChIJtXqi-Nmx5zsRXrkeGsZtLyk,https://lh3.googleusercontent.com/p/AF1QipOf_by_VZ5o6OTDTCQgAIEpDU82zfjIBqya85oY=w408-h612-k-no,"Free Parking, Credit Cards Accepted, Appointment Required",mum.etherealaestheticcli.19@antidote-temp.com,false,pending,unclaimed
Vaidehee Aesthetics & Wellness,vaidehee-aesthetics-wellness,,"Building No 3, Flat No. 02, Wing-J, Swami Vivekananda Rd, near Gandhi Motors, Sumer Nagar, Borivali West, Mumbai, Maharashtra 400092, India",Mumbai,Maharashtra,India,400092,19.2202845,72.8528442,+919321199881,,,"Skin care clinic, Laser hair removal service, Dermatologist, Hairdresser","{""Monday"": ""10\u202fAM to 7:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 7:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 7:30\u202fPM"", ""Thursday"": ""10\u202fAM to 7:30\u202fPM"", ""Friday"": ""10\u202fAM to 7:30\u202fPM"", ""Saturday"": ""10:30\u202fAM to 7:30\u202fPM"", ""Sunday"": ""10\u202fAM to 7:30\u202fPM""}",4.8,78,ChIJs2im8CG35zsRpzt1Qm1NjxM,https://www.google.com/maps/search/?api=1&query=Vaidehee%20Aesthetics%20%26%20Wellness&query_place_id=ChIJs2im8CG35zsRpzt1Qm1NjxM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6C2KopE7MJFl7PTEJS_lRyLf_Yk_kJneOQVZ_DVpVgVyOp36bL_5WfVvUg3KxDJ4QrTmSXYHGztCdW1hlIr3VsYoUEq5OcSFeuf2hK4O-yrFIxA5YQBXkZharsdgBiiPvl8Dv=w426-h240-k-no,"Wheelchair Accessible, Digital Payments, Appointment Required",mum.vaideheeaestheticswe.20@antidote-temp.com,false,pending,unclaimed
Dr Jigna Thakkar's The Aesthetic Zone,dr-jigna-thakkars-the-aesthetic-zone,,"Shop No. 9, Kamala nagar chs, Mahatma Gandhi Rd, Amrut Nagar, Kamala Nagar, Dahanukar Wadi, Kandivali West, Mumbai, Maharashtra 400067, India",Mumbai,Maharashtra,India,400067,19.2054399,72.8424524,+919221136467,,,Skin care clinic,"{""Monday"": ""Closed"", ""Tuesday"": ""11\u202fAM to 8\u202fPM"", ""Wednesday"": ""11\u202fAM to 8\u202fPM"", ""Thursday"": ""11\u202fAM to 8\u202fPM"", ""Friday"": ""11\u202fAM to 8\u202fPM"", ""Saturday"": ""11\u202fAM to 8\u202fPM"", ""Sunday"": ""11\u202fAM to 8\u202fPM""}",5,77,ChIJud117Km35zsRc6kA_-t9YRQ,https://www.google.com/maps/search/?api=1&query=Dr%20Jigna%20Thakkar's%20The%20Aesthetic%20Zone&query_place_id=ChIJud117Km35zsRc6kA_-t9YRQ,https://lh3.googleusercontent.com/p/AF1QipN0xGzeROtrY9h3-BmfiDLkamq3K0kGODVc-TPP=w408-h306-k-no,"Digital Payments, Appointment Required",mum.drjignathakkarstheae.21@antidote-temp.com,false,pending,unclaimed
